Metric|Essential True Mean|Essential True 95% CI low|Essential True 95% CI high|Essential False Mean|Essential False 95% CI low|Essential False 95% CI high|Permutation Test p-value|n|Essential True n|Essential False n
Hydrophob-Hydrophob|0.9693877551020408|0.9183673469387755|0.9897959183673469|0.9536423841059603|0.9238410596026491|0.9735099337748344|0.7505249475052495|1|98|302
StrHydrophob-StrHydrophob|0.9285714285714286|0.8673469387755102|0.9693877551020408|0.8841059602649006|0.8443708609271523|0.9172185430463576|0.28717128287171284|1|98|302
Aromatic-Aromatic|0.3469387755102041|0.25510204081632654|0.4489795918367347|0.5397350993377483|0.48344370860927155|0.5960264900662252|0.0017998200179982|1|98|302
Hydrophil-Hydrophil|0.8163265306122449|0.7244897959183674|0.8877551020408163|0.7880794701986755|0.7384105960264901|0.8311258278145696|0.6579342065793421|1|98|302
Hydrophob-Aromatic|0.826530612244898|0.7346938775510204|0.8877551020408163|0.8112582781456954|0.7615894039735099|0.8509933774834437|0.8615138486151385|1|98|302
Hydrophob-Charged|0.9183673469387755|0.8469387755102041|0.9591836734693877|0.8940397350993378|0.8543046357615894|0.9264694428034662|0.6283371662833717|1|98|302
Hydrophob-NegCharged|0.7244897959183674|0.6326530612244898|0.8061224489795918|0.7417218543046358|0.6887417218543046|0.7880794701986755|0.8335166483351665|1|98|302
Hydrophob-PosCharged|0.8673469387755102|0.7857142857142857|0.9285714285714286|0.8311258278145696|0.7847682119205298|0.8708609271523179|0.5093490650934906|1|98|302
PosCharged-PosCharged|0.40816326530612246|0.3163265306122449|0.5102040816326531|0.39403973509933776|0.34105960264900664|0.4470198675496689|0.8953104689531047|1|98|302
NegCharged-NegCharged|0.16326530612244897|0.10204081632653061|0.24489795918367346|0.18543046357615894|0.1423841059602649|0.23178807947019867|0.7411258874112588|1|98|302
FF-FY-SY-TY-HC|0.3163265306122449|0.22448979591836735|0.40816326530612246|0.46357615894039733|0.40945148086830446|0.5198675496688742|0.011998800119988001|1|98|302
FF|0.04081632653061224|0.01020408163265306|0.10204081632653061|0.17218543046357615|0.13245033112582782|0.2185430463576159|0.0013998600139986002|1|98|302
FY|0.15306122448979592|0.09183673469387756|0.23469387755102042|0.24834437086092714|0.20198675496688742|0.2980132450331126|0.0603939606039396|1|98|302
TY|0.17346938775510204|0.11224489795918367|0.25510204081632654|0.2052980132450331|0.16225165562913907|0.25496688741721857|0.5985401459854015|1|98|302
SY|0.08163265306122448|0.04081632653061224|0.15306122448979592|0.15894039735099338|0.12251655629139073|0.2052980132450331|0.07539246075392461|1|98|302
HC|0.08163265306122448|0.04081632653061224|0.15306122448979592|0.15894039735099338|0.12251655629139073|0.20198675496688742|0.07479252074792521|1|98|302
MR|0.16326530612244897|0.10204081632653061|0.24489795918367346|0.11920529801324503|0.08609271523178808|0.15894039735099338|0.33696630336966304|1|98|302
Hydrophob-Hydrophob|0.8775510204081632|0.7959183673469388|0.9285714285714286|0.8874172185430463|0.847682119205298|0.9205298013245033|0.8977102289771023|2|98|302
StrHydrophob-StrHydrophob|0.7755102040816326|0.6836734693877551|0.8469387755102041|0.8211920529801324|0.7748344370860927|0.8609271523178808|0.3945605439456054|2|98|302
Aromatic-Aromatic|0.1836734693877551|0.11224489795918367|0.2755102040816326|0.3708609271523179|0.31788079470198677|0.4271523178807947|0.00019998000199980003|2|98|302
Hydrophil-Hydrophil|0.6836734693877551|0.5918367346938775|0.7653061224489796|0.6490066225165563|0.5927152317880795|0.7019867549668874|0.6153384661533846|2|98|302
