Metric|Essential True Mean|Essential True 95% CI low|Essential True 95% CI high|Essential False Mean|Essential False 95% CI low|Essential False 95% CI high|Permutation Test p-value|n|Essential True n|Essential False n
Hydrophob-Hydrophob|0.9661016949152542|0.8813559322033898|1.0|0.9602649006622517|0.9205298013245033|0.9867549668874173|1.0|1|59|151
StrHydrophob-StrHydrophob|0.8983050847457628|0.7966101694915254|0.9661016949152542|0.8741721854304636|0.8145695364238411|0.9205298013245033|0.8161183881611839|1|59|151
Aromatic-Aromatic|0.2542372881355932|0.15254237288135594|0.3728813559322034|0.5298013245033113|0.4503311258278146|0.609271523178808|0.0007999200079992001|1|59|151
Hydrophil-Hydrophil|0.7288135593220338|0.6101694915254238|0.8305084745762712|0.7483443708609272|0.6754966887417219|0.8145695364238411|0.8957104289571043|1|59|151
Hydrophob-Aromatic|0.7457627118644068|0.6271186440677966|0.847457627118644|0.7814569536423841|0.7086092715231788|0.8410596026490066|0.7027297270272973|1|59|151
Hydrophob-Charged|0.8983050847457628|0.7966101694915254|0.9661016949152542|0.8940397350993378|0.8344370860927153|0.9337748344370861|1.0|1|59|151
Hydrophob-NegCharged|0.6101694915254238|0.4745762711864407|0.7288135593220338|0.7152317880794702|0.6357615894039735|0.7814569536423841|0.20377962203779623|1|59|151
Hydrophob-PosCharged|0.8135593220338984|0.6949152542372882|0.8983050847457628|0.8211920529801324|0.7549668874172185|0.8741721854304636|1.0|1|59|151
PosCharged-PosCharged|0.2711864406779661|0.1694915254237288|0.3898305084745763|0.3708609271523179|0.2980132450331126|0.4503311258278146|0.22037796220377961|1|59|151
NegCharged-NegCharged|0.15254237288135594|0.06779661016949153|0.2711864406779661|0.2119205298013245|0.152317880794702|0.2847682119205298|0.44355564443555645|1|59|151
FF-FY-SY-TY-HC|0.2033898305084746|0.11864406779661017|0.3220338983050847|0.423841059602649|0.3443708609271523|0.5033112582781457|0.0029997000299970002|1|59|151
FF|0.05084745762711865|0.01694915254237288|0.13559322033898305|0.15894039735099338|0.10596026490066225|0.2251655629139073|0.053394660533946606|1|59|151
FY|0.11864406779661017|0.05084745762711865|0.22033898305084745|0.24503311258278146|0.17880794701986755|0.31788079470198677|0.057394260573942604|1|59|151
TY|0.0847457627118644|0.03389830508474576|0.1864406779661017|0.19205298013245034|0.13245033112582782|0.2582781456953642|0.07699230076992301|1|59|151
SY|0.05084745762711865|0.01694915254237288|0.13559322033898305|0.13245033112582782|0.08609271523178808|0.19205298013245034|0.1357864213578642|1|59|151
HC|0.05084745762711865|0.01694915254237288|0.13559322033898305|0.13245033112582782|0.08609271523178808|0.19205298013245034|0.1321867813218678|1|59|151
MR|0.06779661016949153|0.01694915254237288|0.15254237288135594|0.13245033112582782|0.08609271523178808|0.19205298013245034|0.2903709629037096|1|59|151
Hydrophob-Hydrophob|0.8135593220338984|0.6949152542372882|0.8983050847457628|0.8874172185430463|0.8278145695364238|0.9271523178807947|0.23477652234776522|2|59|151
StrHydrophob-StrHydrophob|0.711864406779661|0.5917656247283505|0.8135593220338984|0.8079470198675497|0.7417218543046358|0.8675496688741722|0.19638036196380362|2|59|151
Aromatic-Aromatic|0.0847457627118644|0.03389830508474576|0.1864406779661017|0.3509933774834437|0.2781456953642384|0.4304635761589404|0.00039996000399960006|2|59|151
Hydrophil-Hydrophil|0.5932203389830508|0.4576271186440678|0.711864406779661|0.609271523178808|0.5298013245033113|0.6887417218543046|0.9659034096590341|2|59|151
Hydrophob-Aromatic|0.6101694915254238|0.4745762711864407|0.7288135593220338|0.7483443708609272|0.6754966887417219|0.8145695364238411|0.06999300069993|2|59|151
Hydrophob-Charged|0.6949152542372882|0.576271186440678|0.7966101694915254|0.8211920529801324|0.7549668874172185|0.8741721854304636|0.0765923407659234|2|59|151
Hydrophob-NegCharged|0.4745762711864407|0.3559322033898305|0.6101694915254238|0.5629139072847682|0.48344370860927155|0.6423841059602649|0.3143685631436856|2|59|151
Hydrophob-PosCharged|0.6101694915254238|0.4745762711864407|0.7288135593220338|0.7218543046357616|0.6490066225165563|0.7880794701986755|0.16498350164983502|2|59|151
PosCharged-PosCharged|0.1016949152542373|0.03389830508474576|0.2033898305084746|0.152317880794702|0.09933774834437085|0.2185430463576159|0.4781521847815218|2|59|151
NegCharged-NegCharged|0.06779661016949153|0.01694915254237288|0.15254237288135594|0.07947019867549669|0.046357615894039736|0.13245033112582782|1.0|2|59|151
FF-FY-SY-TY-HC|0.1016949152542373|0.03389830508474576|0.2033898305084746|0.25165562913907286|0.18543046357615894|0.32450331125827814|0.0211978802119788|2|59|151
FF|0.0|||0.09271523178807947|0.052980132450331126|0.1456953642384106|0.018198180181981802|2|59|151
FY|0.0|||0.08609271523178808|0.046357615894039736|0.1390728476821192|0.023997600239976002|2|59|151
TY|0.0|||0.052980132450331126|0.026490066225165563|0.09933774834437085|0.13338666133386662|2|59|151
SY|0.0|||0.059602649006622516|0.026490066225165563|0.10596026490066225|0.098990100989901|2|59|151
HC|0.0|||0.059602649006622516|0.026490066225165563|0.10596026490066225|0.10018998100189981|2|59|151
MR|0.05084745762711865|0.01694915254237288|0.13559322033898305|0.019867549668874173|0.006622516556291391|0.059602649006622516|0.44255574442555745|2|59|151
Hydrophob-Hydrophob|0.7627118644067796|0.6440677966101694|0.864406779661017|0.8278145695364238|0.7615894039735099|0.8807947019867549|0.37396260373962603|3|59|151
StrHydrophob-StrHydrophob|0.6101694915254238|0.4745762711864407|0.7288135593220338|0.695364238410596|0.6225165562913907|0.7615894039735099|0.3023697630236976|3|59|151
Aromatic-Aromatic|0.05084745762711865|0.01694915254237288|0.13559322033898305|0.2119205298013245|0.152317880794702|0.2847682119205298|0.005599440055994401|3|59|151
