,Metric,Essential,Essential_lb,Essential_ub,Essential_n,NonEssential,NonEssential_lb,NonEssential_ub,NonEssential_n,pvalues
72,Hydrophob-Hydrophob,0.7857142857142857,0.09183673469387754,0.0714285714285714,98,0.7913907284768212,0.04635761589403975,0.04304635761589404,302,1.0
73,StrHydrophob-StrHydrophob,0.5816326530612245,0.10204081632653061,0.09412263140349786,98,0.6258278145695364,0.056291390728476776,0.052980132450331174,302,1.0
74,Aromatic-Aromatic,0.04081632653061224,0.030612244897959183,0.06122448979591837,98,0.152317880794702,0.036423841059602655,0.04304635761589404,302,0.023997600239976002
75,Hydrophil-Hydrophil,0.41836734693877553,0.10204081632653061,0.10204081632653061,98,0.4139072847682119,0.05298013245033112,0.05629139072847683,302,1.0
76,Hydrophob-Aromatic,0.5306122448979592,0.10204081632653067,0.10204081632653061,98,0.6125827814569537,0.05629139072847689,0.05298013245033106,302,0.8171182881711829
77,Hydrophob-Charged,0.6122448979591837,0.10204081632653061,0.09183673469387754,98,0.6192052980132451,0.05629139072847689,0.056291390728476776,302,1.0
78,Hydrophob-NegCharged,0.2857142857142857,0.08163265306122447,0.09183673469387754,98,0.3609271523178808,0.04966887417218546,0.05629139072847683,302,0.8171182881711829
79,Hydrophob-PosCharged,0.5102040816326531,0.10204081632653061,0.09183673469387754,98,0.5066225165562914,0.05629139072847683,0.056291390728476776,302,1.0
80,PosCharged-PosCharged,0.061224489795918366,0.04081632653061225,0.061224489795918366,98,0.04304635761589404,0.01986754966887417,0.029801324503311258,302,1.0
81,NegCharged-NegCharged,0.0,,,98,0.0,,,302,1.0
82,FF-FY-SY-TY-HC,0.01020408163265306,0.01020408163265306,0.04081632653061225,98,0.10596026490066225,0.029801324503311258,0.03973509933774834,302,0.017998200179982
83,FF-FY-SY-HC,0.01020408163265306,0.01020408163265306,0.05102040816326531,98,0.10596026490066225,0.029801324503311258,0.03973509933774834,302,0.017998200179982
84,FF,0.0,,,98,0.006622516556291391,0.006622516556291391,0.016556291390728478,302,1.0
85,FY,0.0,,,98,0.023178807947019868,0.013245033112582781,0.023178807947019868,302,0.8447155284471554
86,TY,0.0,,,98,0.009933774834437087,0.006622516556291392,0.016556291390728478,302,1.0
87,SY,0.0,,,98,0.0,,,302,1.0
88,HC,0.0,,,98,0.0,,,302,1.0
89,MR,0.01020408163265306,0.01020408163265306,0.05102040816326531,98,0.0,,,302,1.0
