,x,Ny_avg,Ny_ci,Ry_avg,Ry_ci
0,380.0,732.875,130.4759858053389,751.875,86.27648997192108
1,383.0,657.625,78.05158420477446,666.125,105.92018302417627
2,386.0,669.75,129.2275718935398,692.75,122.16081793070967
3,389.0,697.5,141.64305842504245,665.875,87.42445751547446
4,392.0,685.0,128.46366548561502,707.25,94.61045443025839
5,395.0,702.25,113.0593374626793,712.625,119.68541513849962
6,398.0,718.375,148.31747889872923,771.75,104.24325343877175
7,401.0,786.75,135.0537916442926,845.125,104.67576616330543
8,404.0,889.625,122.23459185874921,905.5,125.1501632040486
9,407.0,948.0,133.0943191875596,1058.875,119.79845521489413
10,410.0,1131.125,146.5421322414649,1228.875,85.07706578082603
11,413.0,1330.75,107.48591460047217,1578.0,87.77362217659699
12,416.0,1607.625,116.78969730620504,2025.875,106.51693748824643
13,419.0,1930.0,166.55603831743835,2641.125,109.76570785939931
14,422.0,2169.25,149.1387065369014,3338.75,140.96668538168868
15,425.0,2578.5,137.88690546966376,4248.625,157.4078525578537
16,428.0,3122.0,159.0557661639464,5391.625,179.36876092808077
17,431.0,3627.875,154.0835512696764,6613.875,279.63880519676627
18,434.0,4159.625,242.6150616653364,8190.5,238.428934800288
19,437.0,4799.375,249.62048062383622,9483.75,310.1637588234641
20,440.0,5535.375,281.1035102002018,10968.125,318.99271672230225
21,443.0,6196.625,316.95405557726343,12735.875,390.76254819503225
22,446.0,7064.0,423.01149718417815,14522.125,415.08371682333546
23,449.0,8155.5,521.7197771792822,16627.75,681.8161823669925
24,452.0,9107.625,586.266206212566,18697.125,589.1697769080446
25,455.0,10524.125,604.3229255719783,21263.875,719.7108788755905
26,458.0,12150.0,701.1384642137385,23738.5,825.3923826580906
27,461.0,13807.25,870.7237784667993,27009.875,872.2131746722672
28,464.0,16440.0,943.0198628342882,31546.625,908.8002759940574
29,467.0,18676.125,1156.3094418328835,35446.625,1153.8775868335752
30,470.0,21641.375,1088.1837070306074,40383.75,1352.1997132034526
31,473.0,25001.5,1576.192452811521,45206.5,1425.757918178959
32,476.0,28006.125,1610.5128041005682,49249.0,1756.2327328688527
33,479.0,30561.625,1759.2403042497845,52377.125,1940.2447787900046
34,482.0,33002.5,1967.733389168868,55679.125,1681.7170293399165
35,485.0,35839.0,2150.4519638903816,58884.0,1916.8018388972814
36,488.0,37994.375,2054.5196010617356,61897.125,2141.029906557093
37,491.0,40393.625,2249.392004430725,64377.875,1938.1457868467674
38,494.0,42866.625,2352.116778839196,66736.625,2262.03422256315
39,497.0,44745.5,2357.4907019646967,68393.75,2135.871941476712
40,500.0,46667.75,2366.774963486706,69906.0,2275.9857558209806
41,503.0,48460.625,2637.172988163058,70963.75,2267.48416597283
42,506.0,49580.0,2759.44682253527,71893.875,2416.4232489512
43,509.0,51012.125,2774.9875100659237,72021.0,2410.893616068531
44,512.0,51568.5,2770.5092248898936,72039.0,2209.103334783142
45,515.0,52218.5,2838.2169843495053,71873.25,2274.259074597153
46,518.0,52798.25,2901.3572542238744,71405.25,1918.7527136365175
47,521.0,52915.625,2866.5060503942555,71071.0,2138.091207327227
48,524.0,53240.625,2945.975499091408,70432.375,2229.5604667281114
49,527.0,53306.375,2673.4696804334385,69426.625,2112.7318396206542
50,530.0,52843.5,2596.143005768364,68385.5,2185.048292326739
51,533.0,52350.0,2712.662924397353,66901.125,2079.695121928182
52,536.0,51504.875,2948.9697205417137,65131.0,2041.6596041211176
53,539.0,50305.25,2796.5661215117902,63160.25,1916.7614027409616
54,542.0,49233.625,2725.4119999638356,61200.875,1955.0804870188526
55,545.0,47620.625,2537.7280931665778,58999.375,1778.8969656354116
56,548.0,46610.375,2525.5297564762272,56690.75,1778.5793097828107
57,551.0,45118.875,2360.797255202546,54607.25,1489.5787134581037
58,554.0,43944.375,2337.084984312054,52777.5,1673.974579630766
59,557.0,42294.0,2145.232647290265,50343.0,1572.0504372315793
60,560.0,40892.5,2227.915740967328,48602.625,1386.0967591935546
61,563.0,39232.5,2064.3957036140137,46429.125,1346.369382440003
62,566.0,37601.125,2016.3165224666177,44160.75,1405.2492553235884
63,569.0,36108.5,1921.6911995037078,41931.125,1244.0548731755664
64,572.0,34181.0,1796.0695506995264,39427.125,1130.4200405255892
65,575.0,32842.125,1737.0634226826248,37833.75,1047.8553334251344
66,578.0,31151.875,1582.1221510432986,35742.25,1115.4402420737292
67,581.0,29661.25,1421.5075979176122,33875.625,1013.8628670815767
68,584.0,28095.75,1502.4495807638605,31960.875,1045.8131102027144
69,587.0,26857.5,1172.0686307977019,30370.0,1044.4677293722384
70,590.0,25518.875,1339.5648927811876,28799.375,875.620946983839
71,593.0,24271.375,1230.158244737999,27167.5,739.1982533123303
72,596.0,23035.375,1142.19194115826,25851.75,727.8834755903584
73,599.0,21964.0,1116.874306692566,24362.75,810.1310014667381
74,602.0,20429.0,1003.9529632408082,22888.375,693.466424743747
75,605.0,19227.875,933.6240840787445,21400.75,691.1187060755192
76,608.0,18133.75,971.9020458551879,20193.625,579.86360025171
77,611.0,17230.125,867.9840994637373,19045.25,600.2810741956637
78,614.0,16246.125,771.316690161619,17864.75,596.4141184508462
79,617.0,15025.25,776.2390912196447,16561.0,521.8478145494144
80,620.0,13877.75,634.1843574919677,15090.875,486.15117784684526
81,623.0,13216.875,667.4145758985752,14406.0,471.9949003961801
82,626.0,12280.75,609.399640783862,13420.5,418.46444669768533
83,629.0,11415.25,433.4481048378225,12478.625,326.12710750085614
84,632.0,10458.125,518.3570600675513,11211.875,372.5697587994428
85,635.0,9566.25,493.6905934261863,10387.125,332.32485600971074
86,638.0,8827.5,447.68613419448224,9442.875,331.14365994515884
87,641.0,8275.875,441.9378207077043,8821.5,254.07480453598697
88,644.0,7658.875,426.89848344995903,8251.75,293.90765112106214
89,647.0,7130.0,354.0742508994406,7486.375,233.90326878193684
90,650.0,6474.75,326.9972238987665,7014.25,235.32214927095154
91,653.0,5899.375,321.201996252942,6368.75,234.49834271802433
92,656.0,5360.625,238.29671251797618,5767.125,202.8959294117923
93,659.0,4913.875,259.4415668736892,5260.25,140.66958284398228
94,662.0,4617.625,266.7621243671503,4904.75,154.2429211908929
95,665.0,4144.625,216.65757059672526,4516.625,135.89526885390455
96,668.0,3824.75,217.23218968997205,4005.25,142.5233671630726
97,671.0,3533.75,237.60851055359944,3663.0,110.67656368897617
98,674.0,3325.0,179.85302986049467,3457.0,132.16018538122592
99,677.0,3070.75,236.43598031496813,3137.5,112.71224933431148
100,680.0,2727.875,100.61564923944483,2880.5,128.00493877190831
101,683.0,2556.5,160.9830849810004,2635.75,85.02435467264658
