class,mean_Ess,lower_ci_Ess,upper_ci_Ess,mean_NonEss,lower_ci_NonEss,upper_ci_NonEss,pvalue,buff,spa
pureArom,0.0182512937280066,0.0155221486234734,0.0211136410681018,0.0375461338531514,0.0353151397011046,0.0398960363872644,0.0,C,0
SHphob,0.4181781204719519,0.4083988822190023,0.4278643138066653,0.4255284275503573,0.4200454840805718,0.4303768680961663,0.2076,C,10
WHphob,0.2386411716000828,0.2305940799006416,0.246742392879321,0.2599342755035737,0.2549057829759584,0.2648148148148148,0.0001,C,10
Hphil,0.3005598219830263,0.2913475470916994,0.3092553301593873,0.2818748538011696,0.2770289148797921,0.2866154970760234,0.0002,C,10
Arom,0.1458252949699855,0.1387885530945974,0.1531773959842682,0.1793914554905783,0.175211176088369,0.1836590318388563,0.0,C,10
pureHphob,0.4591170565100392,0.4494902711653902,0.4690566135375698,0.495256270305393,0.4893754061078622,0.5009429824561403,0.0,C,10
pureHphil,0.122292589525978,0.1160189401780169,0.1286509004346926,0.1090433398310591,0.1054905782975958,0.11237897985705,0.0003,C,10
pureArom,0.0182053405092113,0.0155247360794866,0.0209092320430552,0.0375889213775178,0.0356059129304743,0.0397993827160493,0.0,C,10
SHphob,0.4182153798385426,0.408093562409439,0.4282783067687849,0.4254647173489279,0.4203996101364522,0.4309291747888239,0.2036,C,20
WHphob,0.2387845166632167,0.2298695922169323,0.2466388946387911,0.2599861273554256,0.2551981806367771,0.2647498375568551,0.0001,C,20
Hphil,0.3008396812254191,0.2916580418132892,0.3106033947422894,0.2819972059779077,0.2770947043534763,0.2871678037686809,0.0005,C,20
Arom,0.1458588283999172,0.1389955495756572,0.1529703995032084,0.1795291747888239,0.1755027615334633,0.1835607537361923,0.0,C,20
pureHphob,0.4591765679983439,0.4492858621403436,0.4689531152970399,0.4951479857050033,0.4898294346978558,0.500780539311241,0.0,C,20
pureHphil,0.1221161250258745,0.1158145311529704,0.1285448147381494,0.1089793372319688,0.1057171864847303,0.11237897985705,0.0001,C,20
pureArom,0.0182180707927965,0.0157317325605464,0.020906644587042,0.0376714424951267,0.0355742365172189,0.0398635477582846,0.0,C,20
SHphob,0.4180399503208444,0.4081970606499689,0.4273442351480024,0.425503151397011,0.419882228719948,0.4312881741390513,0.1982,C,30
WHphob,0.2387532601945766,0.2299705030014489,0.2473633823225005,0.2599792722547108,0.255327322936972,0.2647506497725796,0.0,C,30
Hphil,0.3008697992134134,0.2919685365348789,0.309565824880977,0.2821620207927225,0.2771929824561403,0.2868429174788824,0.0004,C,30
Arom,0.1458234320016559,0.1383745601324777,0.1526599047816187,0.1794843079922027,0.1753070175438596,0.1838856400259909,0.0,C,30
pureHphob,0.4593164976195404,0.4501112606085696,0.4687461188159801,0.495169330734243,0.4897011046133853,0.5005547433398311,0.0,C,30
pureHphil,0.1219716414820948,0.1160189401780169,0.1284413164976195,0.1090622157244964,0.1057496751137102,0.1124431448992852,0.0003,C,30
pureArom,0.0182784102670254,0.0158352308010763,0.0211136410681018,0.0375618583495776,0.0353801169590643,0.0397019168291098,0.0,C,30
SHphob,0.4181189194783687,0.4088154626371352,0.427558993997102,0.4254169915529565,0.4196872969460689,0.4308357699805068,0.2073,C,40
WHphob,0.2387152763403022,0.2302835851790519,0.247567791347547,0.2601083170890188,0.2554256010396361,0.2649455815464587,0.0,C,40
Hphil,0.3006820534050921,0.2914484578762161,0.3102877251086731,0.2820942170240415,0.2769972384665367,0.2871028265107213,0.0004,C,40
Arom,0.1459950320844545,0.1391016352722003,0.1526624922376319,0.1795496426250812,0.1753411306042885,0.1837897985705003,0.0,C,40
pureHphob,0.4592765472986958,0.4495937694059201,0.4693671082591595,0.4951179337231968,0.4895378492527615,0.5006846978557504,0.0,C,40
pureHphil,0.1220843510660318,0.1160215276340302,0.1285474021941627,0.1089945094217024,0.1056522092267706,0.1125414230019493,0.0002,C,40
pureArom,0.018296108466156,0.0157317325605464,0.020906644587042,0.037614424951267,0.0354775828460039,0.0397985705003248,0.0,C,40
SHphob,0.4181238873939142,0.4088180500931484,0.4275538190850755,0.42543784242108,0.4197430211322723,0.4306695147404122,0.2044,C,50
WHphob,0.238756261643552,0.2302835851790519,0.2472598840819706,0.2601934516044873,0.2555089029480824,0.2649042851552309,0.0,C,50
Hphil,0.3010165597184848,0.2917589525978059,0.3099772303870834,0.2817962431515784,0.276903698147665,0.2866235650926167,0.0005,C,50
Arom,0.1459978265369488,0.1389955495756572,0.153487890705858,0.1795947364988259,0.1752217584137751,0.1840969866944951,0.0,C,50
pureHphob,0.4596222314220657,0.4494902711653902,0.4690540260815566,0.4954071223584659,0.4895944756065745,0.5014022958518132,0.0,C,50
pureHphil,0.1222515007244877,0.115915441937487,0.1289588077002691,0.1090129141664492,0.1058195277850247,0.1123475410905296,0.0002,C,50
pureArom,0.0181823638998137,0.0157317325605464,0.020906644587042,0.0378009718236368,0.0357422384555178,0.0400143490738325,0.0,C,50
SHphob,0.4184339681225418,0.408093562409439,0.4285888014903746,0.4250039265273526,0.4200369359776388,0.4302550578996406,0.2418,C,60
WHphob,0.2387798592423929,0.2310080728627613,0.2468458911198509,0.2596340010648209,0.25482497005191,0.2646745640889125,0.0,C,60
Hphil,0.3007830676878493,0.2918624508383358,0.3100807286276133,0.2829335485159058,0.2779848263010781,0.2880007986157327,0.0006,C,60
Arom,0.1460194576692196,0.139202546056717,0.1530738977437383,0.179271895381339,0.1748943497936909,0.1841150339411686,0.0,C,60
pureHphob,0.4592326640447112,0.4483543779755744,0.4690566135375698,0.4942505989617995,0.4884849594037003,0.4998344536137362,0.0,C,60
pureHphil,0.1220565100393293,0.1155014489753674,0.1286483129786793,0.1097404831625183,0.1062158924530813,0.1132046120058565,0.0007,C,60
pureArom,0.0182001655971848,0.0155247360794866,0.020906644587042,0.0379763742845734,0.0359044323173166,0.0401637162252096,0.0,C,60
SHphob,0.4161655224200815,0.4054923836086677,0.4259815490238146,0.4208549925800297,0.414811674086637,0.4266482934068263,0.4579,C,70
WHphob,0.2402065007509118,0.2312781591933061,0.2487690409783308,0.261315242739029,0.256377641156102,0.2662727015758603,0.0001,C,70
Hphil,0.3008772795537438,0.2918901523278266,0.3097001716369877,0.2849011023955904,0.2796622146844746,0.2899477068758391,0.0023,C,70
Arom,0.1461854752199098,0.1390232782664664,0.1537223771722806,0.1804609921560313,0.1756050809130097,0.1849692601229595,0.0,C,70
pureHphob,0.4594279124651362,0.4494743617249517,0.4697543445612529,0.4913977457423503,0.4852651756059642,0.496997562009752,0.0,C,70
pureHphil,0.1235561038403776,0.1166058785668311,0.1301222913537867,0.1114140343438626,0.1078360186559253,0.1150095399618401,0.002,C,70
pureArom,0.018283522849174,0.0155519201888006,0.0210255310019309,0.0382936541587166,0.0362156384707794,0.0405280545544484,0.0,C,70
SHphob,0.4142992907801419,0.4036643026004728,0.4244739952718676,0.4148509657594382,0.4085590430201932,0.4212906057945566,0.906,C,80
WHphob,0.2388516548463357,0.2299024822695035,0.2477541371158392,0.2599162862159789,0.2546532045654082,0.2655421422300263,0.0001,C,80
Hphil,0.3028484633569739,0.2937352245862884,0.3120596926713948,0.2915377085162423,0.2856442054433714,0.2974550043898156,0.0471,C,80
Arom,0.1466621749408983,0.1390070921985815,0.1539007092198581,0.1785409569798068,0.1736139157155399,0.1834942932396839,0.0,C,80
pureHphob,0.4548437352245863,0.4444385342789598,0.4656087470449172,0.4821151448639157,0.4758099209833187,0.4890704565408252,0.0,C,80
pureHphil,0.1241482269503546,0.116903073286052,0.1313268321513002,0.1163339771729587,0.1123342844600526,0.1203259438103599,0.0592,C,80
pureArom,0.0181760047281323,0.0152482269503546,0.0211613475177304,0.0369254609306409,0.0344600526777875,0.039553336259877,0.0,C,80
SHphob,0.4047333648691265,0.3927704194260485,0.4170648060548723,0.4066938107703814,0.3970643231114435,0.41595222513089,0.7933,C,90
WHphob,0.2388508356985178,0.2284768211920529,0.249763481551561,0.2622165295437547,0.2544853216155572,0.2705684367988032,0.0004,C,90
Hphil,0.3146630400504572,0.3040011037527593,0.326237779880164,0.2941362191473448,0.2852468212415856,0.3029169783096485,0.005,C,90
Arom,0.1486794386628823,0.1401726584673604,0.1572138126773888,0.173701009723261,0.1661368735976066,0.1812850598354524,0.0001,C,90
