buff,spa,cov,region,odds,odds_lb,odds_ub,pvalues,n
C,0,50,0,0.0055048000997066,0.0050558671762475,0.0059935957732618,5.6254228233409975e-06,300
C,10,50,0,0.0055048000997066,0.0050558671762475,0.0059935957732618,5.6254228233409975e-06,300
C,20,50,0,0.0055048000997066,0.0050558671762475,0.0059935957732618,5.6254228233409975e-06,300
C,30,50,0,0.0055048000997066,0.0050558671762475,0.0059935957732618,5.6254228233409975e-06,300
C,40,50,0,0.0055048000997066,0.0050558671762475,0.0059935957732618,5.6254228233409975e-06,300
C,50,50,0,0.0055150855911494,0.005065317467494,0.0060047902767981,4.947540110489257e-06,298
C,60,50,0,0.0056705720594118,0.005207010862843,0.0061754024195419,5.164303749083388e-06,279
C,70,50,0,0.0062273369347746,0.005704793224133,0.0067977442434123,1.4378515504454016e-05,232
C,80,50,0,0.0076573417228587,0.0069981901947601,0.0083785779792803,8.672973796097772e-05,174
C,90,50,0,0.0113255074169997,0.0101811415221342,0.0125985006665173,0.0002653199242033,80
C,0,50,1,0.007652748557195,0.0070286440084282,0.0083322701234298,5.6254228233409975e-06,300
C,10,50,1,0.007652748557195,0.0070286440084282,0.0083322701234298,5.6254228233409975e-06,300
C,20,50,1,0.007652748557195,0.0070286440084282,0.0083322701234298,5.6254228233409975e-06,300
C,30,50,1,0.007652748557195,0.0070286440084282,0.0083322701234298,5.6254228233409975e-06,300
C,40,50,1,0.007652748557195,0.0070286440084282,0.0083322701234298,5.6254228233409975e-06,300
C,50,50,1,0.0076823691634599,0.0070558539975987,0.0083645149097139,4.947540110489257e-06,298
C,60,50,1,0.0079044590213521,0.0072582807444911,0.0086081641947586,5.164303749083388e-06,279
C,70,50,1,0.0086011041206767,0.0078793746061333,0.0093889421169462,1.4378515504454016e-05,232
C,80,50,1,0.0103683968124403,0.0094758749882607,0.0113449842461413,8.672973796097772e-05,174
C,90,50,1,0.0157237668094038,0.0141349865620401,0.017491126828551,0.0002653199242033,80
CD,0,50,0,0.0004503667133854,0.0003137586846246,0.0006464527882894,0.0763945572235531,156
CD,10,50,0,0.0004503667133854,0.0003137586846246,0.0006464527882894,0.0763945572235531,156
CD,20,50,0,0.0004503667133854,0.0003137586846246,0.0006464527882894,0.0763945572235531,156
CD,30,50,0,0.0004523548854447,0.0003152572619941,0.000649072890792,0.0757329171458334,155
CD,40,50,0,0.0004523548854447,0.0003152572619941,0.000649072890792,0.0757329171458334,155
CD,50,50,0,0.000454547066741,0.0003166521341508,0.0006524921628491,0.0740992581363804,152
CD,60,50,0,0.0004614677005913,0.0003217730445783,0.0006618094407755,0.0739374885700347,149
CD,70,50,0,0.0004895551360167,0.000341518953262,0.000701759679547,0.0723356197600848,135
CD,80,50,0,0.0005409388147458,0.000377444022659,0.000775253504446,0.033753851857611,107
CD,90,50,0,0.0004449698870366,0.0002991249331155,0.0006619247626976,0.0868966684605325,64
CD,0,50,1,0.0006560504712272,0.0004570531675227,0.0009416896137714,0.0763945572235531,156
CD,10,50,1,0.0006560504712272,0.0004570531675227,0.0009416896137714,0.0763945572235531,156
CD,20,50,1,0.0006560504712272,0.0004570531675227,0.0009416896137714,0.0763945572235531,156
CD,30,50,1,0.0006594974898341,0.0004596200452941,0.0009462967151906,0.0757329171458334,155
CD,40,50,1,0.0006594974898341,0.0004596200452941,0.0009462967151906,0.0757329171458334,155
CD,50,50,1,0.0006641086971142,0.0004626395188446,0.0009533132030833,0.0740992581363804,152
CD,60,50,1,0.0006743877814466,0.0004702383490426,0.0009671667159654,0.0739374885700347,149
CD,70,50,1,0.0007168527163318,0.0005000842015807,0.0010275825856685,0.0723356197600848,135
CD,80,50,1,0.0008589637022092,0.0005993482187672,0.0012310350120513,0.033753851857611,107
CD,90,50,1,0.0006732879770274,0.000452608652772,0.0010015643696452,0.0868966684605325,64
CG,0,50,0,0.0006026156495801,0.0004346433535254,0.0008355025290812,0.0301586865380414,228
CG,10,50,0,0.0006026156495801,0.0004346433535254,0.0008355025290812,0.0301586865380414,228
