buff,spa,cov,region,odds,odds_lb,odds_ub,pvalues,n
C,0,50,0,0.0085981296017845,0.0081125251442296,0.0091128016659113,2.632611906250304e-10,407
C,10,50,0,0.0085981296017845,0.0081125251442296,0.0091128016659113,2.632611906250304e-10,407
C,20,50,0,0.0085981296017845,0.0081125251442296,0.0091128016659113,2.632611906250304e-10,407
C,30,50,0,0.0085981296017845,0.0081125251442296,0.0091128016659113,2.632611906250304e-10,407
C,40,50,0,0.0085981296017845,0.0081125251442296,0.0091128016659113,2.632611906250304e-10,407
C,50,50,0,0.0086377357061216,0.0081495267514059,0.0091551915104685,2.4675506082871834e-10,403
C,60,50,0,0.0088504896269017,0.0083493471420999,0.0093817115641205,3.2158187224240464e-10,380
C,70,50,0,0.0095051113845599,0.008957648892773,0.0100860330109367,5.4439568408781724e-09,326
C,80,50,0,0.011344671615254,0.0106635458000457,0.0120693038198794,1.7203650948260932e-08,237
C,90,50,0,0.0156415281605736,0.0146077956562324,0.0167484135837864,2.9564182213448476e-09,128
C,0,50,1,0.0117627155792753,0.0110983818947655,0.0124668153529826,2.632611906250304e-10,407
C,10,50,1,0.0117627155792753,0.0110983818947655,0.0124668153529826,2.632611906250304e-10,407
C,20,50,1,0.0117627155792753,0.0110983818947655,0.0124668153529826,2.632611906250304e-10,407
C,30,50,1,0.0117627155792753,0.0110983818947655,0.0124668153529826,2.632611906250304e-10,407
C,40,50,1,0.0117627155792753,0.0110983818947655,0.0124668153529826,2.632611906250304e-10,407
C,50,50,1,0.0118270829401884,0.0111586105539041,0.0125356011125557,2.4675506082871834e-10,403
C,60,50,1,0.0121099725752697,0.011424267941618,0.0128368344057776,3.2158187224240464e-10,380
C,70,50,1,0.0127813818089881,0.0120452171444694,0.0135625384737992,5.4439568408781724e-09,326
C,80,50,1,0.0153216305320689,0.0144017310021041,0.0163002879394794,1.7203650948260932e-08,237
C,90,50,1,0.0223614613338584,0.0208836153594704,0.0239438882769351,2.9564182213448476e-09,128
CD,0,50,0,0.0036635216540321,0.0032296542328915,0.0041556742430431,0.00164954961817,209
CD,10,50,0,0.0036635216540321,0.0032296542328915,0.0041556742430431,0.00164954961817,209
CD,20,50,0,0.0036635216540321,0.0032296542328915,0.0041556742430431,0.00164954961817,209
CD,30,50,0,0.0036635216540321,0.0032296542328915,0.0041556742430431,0.00164954961817,209
CD,40,50,0,0.0036635216540321,0.0032296542328915,0.0041556742430431,0.00164954961817,209
CD,50,50,0,0.0036689015462638,0.0032343896013773,0.0041617863693493,0.0014932095122732,207
CD,60,50,0,0.003711061801559,0.003271404714746,0.0042098061523578,0.0017126920367924,202
CD,70,50,0,0.0038187768680911,0.0033663646285005,0.0043319896617271,0.001110200402874,190
CD,80,50,0,0.0041472754693698,0.0036396082270688,0.0047257541871996,0.0014375677486713,154
CD,90,50,0,0.0054976934432939,0.0047421407816184,0.0063736262983996,0.0199652652490847,87
CD,0,50,1,0.0051266341528841,0.0045194916956817,0.0058153393140716,0.00164954961817,209
CD,10,50,1,0.0051266341528841,0.0045194916956817,0.0058153393140716,0.00164954961817,209
CD,20,50,1,0.0051266341528841,0.0045194916956817,0.0058153393140716,0.00164954961817,209
CD,30,50,1,0.0051266341528841,0.0045194916956817,0.0058153393140716,0.00164954961817,209
CD,40,50,1,0.0051266341528841,0.0045194916956817,0.0058153393140716,0.00164954961817,209
CD,50,50,1,0.0051501593289857,0.0045402204362967,0.0058420381754797,0.0014932095122732,207
CD,60,50,1,0.0051893253590284,0.0045745353630988,0.0058867394269335,0.0017126920367924,202
CD,70,50,1,0.0054151245458843,0.0047735922678567,0.0061428735849291,0.001110200402874,190
CD,80,50,1,0.005902949092635,0.0051803701587219,0.006726316252049,0.0014375677486713,154
CD,90,50,1,0.0073449853434945,0.0063355577929253,0.0085152422974331,0.0199652652490847,87
CG,0,50,0,0.0036952602903515,0.0033256650910501,0.0041059301642238,0.0016952544784312,300
CG,10,50,0,0.0036952602903515,0.0033256650910501,0.0041059301642238,0.0016952544784312,300
CG,20,50,0,0.0036952602903515,0.0033256650910501,0.0041059301642238,0.0016952544784312,300
CG,30,50,0,0.0036952602903515,0.0033256650910501,0.0041059301642238,0.0016952544784312,300
CG,40,50,0,0.0036952602903515,0.0033256650910501,0.0041059301642238,0.0016952544784312,300
CG,50,50,0,0.0037238098444873,0.0033513893693665,0.0041376152483654,0.0019417502010694,297
CG,60,50,0,0.0038056381685364,0.0034249516477568,0.004228638345685,0.002105025536752,284
CG,70,50,0,0.0040961473969156,0.0036854613170182,0.0045525979121749,0.0014626181847485,251
CG,80,50,0,0.0047421696592167,0.0042617528769884,0.0052767426281851,0.0009807201523175,196
CG,90,50,0,0.0066535859629304,0.0059092974996669,0.0074916191253868,0.0001847537270931,101
CG,0,50,1,0.0049066619991391,0.0044159039531602,0.0054519600582723,0.0016952544784312,300
CG,10,50,1,0.0049066619991391,0.0044159039531602,0.0054519600582723,0.0016952544784312,300
CG,20,50,1,0.0049066619991391,0.0044159039531602,0.0054519600582723,0.0016952544784312,300
CG,30,50,1,0.0049066619991391,0.0044159039531602,0.0054519600582723,0.0016952544784312,300
CG,40,50,1,0.0049066619991391,0.0044159039531602,0.0054519600582723,0.0016952544784312,300
CG,50,50,1,0.0049271694435801,0.0044344002470286,0.00547469722473,0.0019417502010694,297
CG,60,50,1,0.0050256734600563,0.0045229440729325,0.0055842816802151,0.002105025536752,284
