metric,Ess_mean,Ess_mean_lb,Ess_mean_ub,Ess_median,Ess_median_lb,Ess_median_ub,NonEss_mean,NonEss_mean_lb,NonEss_mean_ub,NonEss_median,NonEss_median_lb,NonEss_median_ub,MWU_pvalues,Perm_pvalues
Gn,0.7919328358208955,0.7573483674954903,0.8385715741263314,0.75279,0.60568,1.21515,0.7849094285714285,0.7613847105607782,0.8165358273734411,0.75081,0.60353,1.21777,0.306110149444495,0.7831216878312168
N_term_thread,1.1492537313432836,1.044776119402985,1.3432835820895523,1.0,1.0,3.0,1.2758620689655173,1.1724137931034482,1.4367816091954022,1.0,1.0,5.0,0.22428466149413429,0.264973502649735
Gc,0.7992721052631578,0.7558692408602525,0.8657651492405632,0.74601,0.60061,1.48551,0.8469113970588236,0.8141621072422107,0.8914450425143474,0.79724,0.61145,1.62443,0.029299988382536946,0.1633836616338366
C_term_thread,1.1929824561403508,1.0701754385964912,1.4736842105263157,1.0,1.0,3.0,1.1481481481481481,1.0814814814814815,1.2444444444444445,1.0,1.0,3.0,0.38931365967771075,0.5967403259674032
loopsize,98.68376068376068,83.4455647908178,118.57916015590656,67.0,16.0,394.0,104.67708333333333,94.89236111111111,116.52083333333333,70.0,17.975000000000023,328.0,0.09449106769117127,0.5623437656234377
num_zipper_nc,13.555555555555555,10.88888888888889,17.598910157823163,7.0,1.0,57.0,14.260416666666666,12.491320571628664,16.413194444444443,8.0,1.0,63.0,0.2900697369268527,0.7159284071592841
perc_bb_loop,0.24354060383957837,0.2078903659346951,0.2844804918234609,0.1842105263157894,0.0156361051883439,0.7294520547945206,0.2565784338476793,0.23487347447506166,0.28094505242464596,0.198547215496368,0.0346715328467153,0.7832817337461301,0.11787173824447911,0.5641435856414359
num_loop_contacting_res,155.86324786324786,138.03766214319808,178.0470221969008,113.0,48.0,471.0,166.09722222222223,153.86713452474794,179.31221098033373,129.0,50.0,478.0,0.08604036711236174,0.41535846415358463
num_cross_nearest_neighbors,40.05128205128205,37.75213675213675,43.333333333333336,36.0,27.0,88.0,43.39930555555556,41.25694444444444,46.2966766237251,37.0,28.0,105.0,0.06084926494382302,0.11018898110188981
ent_coverage,0.19353193467637636,0.173043818632438,0.2168326040688876,0.1801566579634465,0.0405117270788912,0.4578947368421052,0.20328469151528272,0.19192135920504466,0.21649047216750122,0.1818181818181818,0.0787623066104078,0.4947368421052631,0.14828808469965327,0.416958304169583
min_N_prot_depth_left,0.31717032460497036,0.266641405147003,0.3707208527736687,0.2972085385878489,0.0171232876712328,0.7661016949152543,0.37334899237215774,0.339314430261779,0.4089346356858835,0.3561643835616438,0.0148936170212765,0.815028901734104,0.049374462531114556,0.097990200979902
min_N_thread_depth_left,0.7034416041175401,0.6373214210503388,0.7628778857822022,0.7916666666666666,0.12,0.9822380106571936,0.7473939454521603,0.7066775940431981,0.7813096445028894,0.8472222222222222,0.0703125,0.9804878048780488,0.17481795820180274,0.23417658234176583
min_N_thread_slippage_left,214.82089552238807,165.0483330055363,278.1568536770687,141.0,5.0,817.0,179.8505747126437,156.96536962965996,207.06481583994898,131.0,8.0,663.0,0.48437080985696374,0.20857914208579142
min_C_prot_depth_right,0.36535748393947637,0.30842907586842483,0.42978125731073924,0.3348837209302325,0.0525451559934318,0.828002842928216,0.316154882810369,0.28150772513511224,0.35269742152534583,0.268,0.0569948186528497,0.7332053742802304,0.11214605425667379,0.15998400159984003
min_C_thread_depth_right,0.7512401763184073,0.690183326415046,0.8031912435434938,0.8214285714285714,0.2388059701492537,0.9757281553398058,0.7329165821559055,0.6941803077916351,0.7680444772644456,0.788235294117647,0.2601626016260163,0.9755434782608696,0.21262772571708144,0.5961403859614038
min_C_thread_slippage_right,202.01754385964912,153.66783054839024,277.05817553428926,114.0,9.0,961.0,151.9777777777778,130.33333333333334,178.480443566841,99.0,16.0,499.0,0.11241107276461726,0.0805919408059194
ACO,118.70974600757557,102.41863657729844,139.3046334571376,92.5,22.0,464.9411764705882,120.81083086759138,111.26695430830131,132.083999872626,90.0,25.5,345.55555555555554,0.11511940300143914,0.8443155684431557
RCO,0.28985829923450723,0.252080772694016,0.3313553019656717,0.2473653638702182,0.0220338983050847,0.7679425837320574,0.302593519714189,0.2805262973160874,0.32650730107273174,0.2587943848059455,0.0587962962962962,0.7786716171617162,0.14420918636956115,0.5801419858014198
