C|<BA>|BA_lb|BA_ub|pvalue|num_nonzero|num_nonzero_and_robust|robust_features
0.01|0.5|0.5|0.5|1.0|0|0|
0.1|0.514451014886483|0.5109229819691821|0.517979047803784|1.2897365635370614e-05|4|4|Gc,RCO,min_C_thread_slippage_right,min_N_prot_depth_left
0.15|0.5168980704526291|0.51179387392656|0.5220022669786983|0.00017105577613164556|6|6|Gc,RCO,min_C_thread_slippage_right,min_N_prot_depth_left,min_N_thread_slippage_left,num_cross_nearest_neighbors
0.2|0.5220608946508535|0.5174385855179845|0.5266832037837225|7.123179539266958e-05|5|5|Gc,RCO,min_C_thread_slippage_right,min_N_prot_depth_left,min_N_thread_slippage_left
0.25|0.5281560829451589|0.5251076649539366|0.5312045009363813|1.1364052286632816e-07|6|6|Gc,RCO,min_C_thread_slippage_right,min_N_prot_depth_left,min_N_thread_slippage_left,num_cross_nearest_neighbors
0.5|0.5424060326569373|0.5393655634566625|0.5454465018572121|0.0|8|8|C_term_thread,Gc,N_term_thread,RCO,min_C_thread_slippage_right,min_N_prot_depth_left,min_N_thread_slippage_left,num_cross_nearest_neighbors
1.0|0.5512439683371323|0.5418782063610781|0.5606097303131865|0.0|13|13|C_term_thread,Gc,N_term_thread,RCO,ent_coverage,loopsize,min_C_thread_slippage_right,min_N_prot_depth_left,min_N_thread_depth_left,min_N_thread_slippage_left,num_cross_nearest_neighbors,num_loop_contacting_res,num_zipper_nc
1.5|0.5541491803019867|0.5518312537760816|0.5564671068278918|0.0|13|12|C_term_thread,Gc,N_term_thread,RCO,ent_coverage,loopsize,min_C_thread_slippage_right,min_N_prot_depth_left,min_N_thread_depth_left,min_N_thread_slippage_left,num_cross_nearest_neighbors,num_loop_contacting_res
2.0|0.5631314680301401|0.5563271751325983|0.569935760927682|0.0|14|13|C_term_thread,Gc,N_term_thread,RCO,ent_coverage,loopsize,min_C_thread_slippage_right,min_N_prot_depth_left,min_N_thread_depth_left,min_N_thread_slippage_left,num_cross_nearest_neighbors,num_loop_contacting_res,num_zipper_nc
2.5|0.5548725778327179|0.5476872914296315|0.5620578642358044|0.0|15|14|C_term_thread,Gc,N_term_thread,RCO,ent_coverage,loopsize,min_C_thread_slippage_right,min_N_prot_depth_left,min_N_thread_depth_left,min_N_thread_slippage_left,num_cross_nearest_neighbors,num_loop_contacting_res,num_zipper_nc,perc_bb_loop
5.0|0.5689883939462337|0.5633298804291104|0.574646907463357|0.0|14|14|C_term_thread,Gc,Gn,N_term_thread,RCO,ent_coverage,min_C_thread_depth_right,min_C_thread_slippage_right,min_N_prot_depth_left,min_N_thread_depth_left,min_N_thread_slippage_left,num_cross_nearest_neighbors,num_loop_contacting_res,num_zipper_nc
7.5|0.5583196453861726|0.5515627345319668|0.5650765562403784|0.0|17|15|ACO,C_term_thread,Gc,N_term_thread,RCO,ent_coverage,loopsize,min_C_thread_slippage_right,min_N_prot_depth_left,min_N_thread_depth_left,min_N_thread_slippage_left,num_cross_nearest_neighbors,num_loop_contacting_res,num_zipper_nc,perc_bb_loop
10.0|0.5590272401356144|0.5535029846289037|0.5645514956423252|6.837438628429014e-10|18|13|ACO,C_term_thread,Gc,N_term_thread,RCO,ent_coverage,min_C_thread_slippage_right,min_N_prot_depth_left,min_N_thread_depth_left,min_N_thread_slippage_left,num_cross_nearest_neighbors,num_loop_contacting_res,num_zipper_nc
