metric|Ess_metric|Ess_mean|Ess_mean_lb|Ess_mean_ub|Ess_median|Ess_median_lb|Ess_median_ub|NonEss_metric|NonEss_mean|NonEss_mean_lb|NonEss_mean_ub|NonEss_median|NonEss_median_lb|NonEss_median_ub|pvalues|buff|qvalue
Gn|Gn|0.7711062222222224|0.7491979509051684|0.7987398686858994|0.74758|0.60568|1.12946|Gn|0.7822126724137931|0.7650876779324259|0.8035584499444404|0.7443649999999999|0.6031|1.22678|0.5018837934858513|C|0.5314063695732544
N_term_thread|N_term_thread|1.1925925925925926|1.1037037037037036|1.3185185185185184|1.0|1.0|3.0|N_term_thread|1.2057971014492754|1.1391304347826088|1.2927536231884058|1.0|1.0|3.0|0.2090018461484186|C|0.29717512604799406
Gc|Gc|0.7875128448275863|0.7588939346922491|0.8274059182066096|0.74516|0.60333|1.18736|Gc|0.850908|0.8233251828333903|0.8848145585966988|0.79342|0.60876|1.73371|0.0025284235576399|C|0.017066859014069326
C_term_thread|C_term_thread|1.146551724137931|1.0689655172413792|1.293103448275862|1.0|1.0|3.0|C_term_thread|1.1496062992125984|1.0984251968503935|1.2165354330708662|1.0|1.0|3.0|0.1685703816362148|C|0.2677294296575176
loopsize|loopsize|98.17521367521368|87.11965811965813|112.06831824574608|65.0|17.0|407.0|loopsize|99.03191489361704|92.0017730496454|107.02482269503548|63.0|17.0|328.0|0.3656378865076897|C|0.429227084161201
num_zipper_nc|num_zipper_nc|13.012820512820513|11.205128205128204|15.427350427350428|7.0|1.0|57.0|num_zipper_nc|13.47872340425532|12.28014184397163|14.826241134751774|8.0|1.0|57.0|0.3412574708318585|C|0.41881598693000816
perc_bb_loop|perc_bb_loop|0.2265786130206851|0.2032220394776971|0.2528273605763908|0.165275091338921|0.0156361051883439|0.7294520547945206|perc_bb_loop|0.2491856441950584|0.2331396111676149|0.2665698269897744|0.1841149483879189|0.0346715328467153|0.7836538461538461|0.033005959365707|C|0.1263722129522831
num_loop_contacting_res|num_loop_contacting_res|153.30769230769232|140.67521367521368|168.82478632478632|115.0|45.0|495.0|num_loop_contacting_res|158.2127659574468|149.9113475177305|167.45558276825008|121.5|48.0|448.0|0.2091232368485884|C|0.29717512604799406
num_cross_nearest_neighbors|num_cross_nearest_neighbors|39.81196581196581|38.07692307692308|42.05128205128205|36.0|27.0|88.0|num_cross_nearest_neighbors|41.55851063829788|40.20212765957447|43.21808510638298|36.0|27.0|93.0|0.0351033924867453|C|0.1263722129522831
ent_coverage|ent_coverage|0.1780969329270442|0.1648103473084898|0.1925763068540014|0.1514814064925423|0.0417287630402384|0.4185185185185185|ent_coverage|0.19756969673922|0.1900813295162463|0.2055196874577823|0.1819686935580975|0.07361268403171|0.4347826086956521|0.0002243042542689|C|0.0060562148652603
min_N_prot_depth_left|min_N_prot_depth_left|0.3037254607145856|0.2663572309952682|0.3431679615094718|0.2608386638237384|0.0171232876712328|0.7830188679245284|min_N_prot_depth_left|0.4630964615959791|0.3995244520280736|0.5829215228788864|0.3776371308016877|0.0180995475113122|0.8765571913929785|0.000920048260176|C|0.0148170577095
min_N_thread_depth_left|min_N_thread_depth_left|0.7061735014068673|0.6591712114124033|0.7480097559995591|0.821917808219178|0.1025641025641025|0.9811715481171548|min_N_thread_depth_left|0.7517199098298547|0.7241896174844001|0.776397621692022|0.8577586206896551|0.1363636363636363|0.9847328244274808|0.0410534432137738|C|0.13855537084648656
min_N_thread_slippage_left|min_N_thread_slippage_left|181.01481481481483|151.29610352024417|217.42222222222225|123.0|8.0|696.0|min_N_thread_slippage_left|195.736231884058|173.58840579710144|227.3808632624008|131.0|8.0|728.0|0.1840957499214749|C|0.28403344273598985
min_C_prot_depth_right|min_C_prot_depth_right|0.3982422631850724|0.3537861754086701|0.4443945373422637|0.3577170298122381|0.0462962962962962|0.8616279069767442|min_C_prot_depth_right|0.2359138603627562|0.0886668218730578|0.3015338760515393|0.2784706959706959|0.024330900243309|0.7474226804123711|0.0023048016841826|C|0.017066859014069326
min_C_thread_depth_right|min_C_thread_depth_right|0.7830073777813632|0.7433966971900381|0.8166803279023694|0.8498026103770544|0.2444444444444444|0.9886934673366834|min_C_thread_depth_right|0.7491214985608029|0.720907176827813|0.7745361990493277|0.8049725313424425|0.217877094972067|0.980169971671388|0.0440770810354167|C|0.1400095515242648
min_C_thread_slippage_right|min_C_thread_slippage_right|224.24137931034485|188.40954433887745|269.05172413793105|125.5|14.0|787.0|min_C_thread_slippage_right|127.51181102362204|90.25689363350972|150.54724409448818|102.0|7.0|497.0|0.00126304226469|C|0.0148170577095
ACO|ACO|118.55172041864924|107.22512470896706|131.91096616607356|92.25|18.0|419.8235294117647|ACO|119.34058455269675|112.35695639268876|126.94281366337584|90.0|25.0|340.0|0.1671540106632591|C|0.2677294296575176
RCO|RCO|0.2752021489697973|0.2497233822613131|0.3024289394287321|0.219664824676962|0.0221311475409836|0.750640204865557|RCO|0.3037121772944927|0.2875366347784421|0.3209108281569513|0.2497642991829038|0.0560897435897435|0.7963536291709666|0.009016677079466|C|0.04869005622911641
Gn|Gn|0.7919328358208955|0.757749104477612|0.8394372539328822|0.75279|0.60568|1.21515|Gn|0.7849094285714285|0.7615991823094799|0.81707455469832|0.75081|0.60353|1.21777|0.306110149444495|CD|0.38441739697680766
N_term_thread|N_term_thread|1.1492537313432836|1.044776119402985|1.3432835820895523|1.0|1.0|3.0|N_term_thread|1.2758620689655171|1.1724137931034482|1.4367816091954022|1.0|1.0|5.0|0.2242846614941342|CD|0.31054799283803197
Gc|Gc|0.7992721052631578|0.7560143859649122|0.8642867782188015|0.74601|0.60061|1.48551|Gc|0.8469113970588236|0.8137806788898183|0.8910548625569109|0.794095|0.61145|1.62443|0.0292999883825369|CD|0.1263722129522831
C_term_thread|C_term_thread|1.1929824561403508|1.0701754385964912|1.4736842105263157|1.0|1.0|3.0|C_term_thread|1.148148148148148|1.0814814814814817|1.2444444444444445|1.0|1.0|3.0|0.3893136596777107|CD|0.4472965451616251
loopsize|loopsize|98.68376068376068|83.33333333333333|118.4102564102564|67.0|16.0|407.0|loopsize|104.67708333333331|94.772085293828|116.375|70.0|18.0|328.0|0.0944910676911712|CD|0.23193262069651113
