,n_contacts,OddsDiff,OddsDiff_lb,OddsDiff_ub,sample_size
0,0,-0.0,0.45546848256288636,0.6136023190016925,134
1,1,-0.31030710219007407,0.45546848256288636,0.6136023190016925,32
2,2,0.8396668848758551,0.45546848256288636,0.6136023190016925,18
3,3,0.47321160736286916,0.45546848256288636,0.6136023190016925,6
