class,mean_Ess,lower_ci_Ess,upper_ci_Ess,mean_NonEss,lower_ci_NonEss,upper_ci_NonEss,pvalue,buff,spa
SHphob,0.4107244640605296,0.39281210592686,0.4281210592686003,0.4207734050354437,0.4107797604497678,0.4313126374969445,0.321,CD,0
WHphob,0.2483713745271122,0.2326607818411097,0.2645018915510719,0.2613587142507944,0.2518913468589587,0.2716939623563921,0.1589,CD,0
Hphil,0.3127878310214376,0.297280895334174,0.3278688524590163,0.2824616230750428,0.2726717184062576,0.291737961378636,0.002,CD,0
Arom,0.1359388398486759,0.12484237074401,0.1475409836065573,0.1833911024199462,0.1750183329259349,0.1918876802737717,0.0,CD,0
pureHphob,0.4570554854981085,0.4397856242118537,0.4744640605296343,0.4884938890246883,0.4778782693717917,0.4987808604253239,0.0024,CD,0
pureHphil,0.1216617276166456,0.110655737704918,0.1327238335435056,0.1069965778538254,0.1007088731361525,0.1141530188218039,0.0282,CD,0
pureArom,0.0151150693568726,0.0110340479192938,0.019546027742749,0.0406332192617941,0.0361739183573698,0.0446101197751161,0.0,CD,0
SHphob,0.4103319672131148,0.3928042244640605,0.4274984237074401,0.4207426057198729,0.4094322903935468,0.4310712539721339,0.3152,CD,10
WHphob,0.2482345523329129,0.2345523329129886,0.2623108448928121,0.261443412368614,0.2520166218528477,0.2709637008066487,0.1558,CD,10
Hphil,0.3137386506935687,0.2976040353089533,0.3278767339218159,0.2825485211439746,0.2725494989000244,0.2927187729161574,0.0017,CD,10
Arom,0.1363064312736444,0.1242118537200504,0.1475488650693568,0.1835664874113909,0.1748900024443901,0.192006844292349,0.0,CD,10
pureHphob,0.4572241488020176,0.4397856242118537,0.4741645649432534,0.4887296504522121,0.4777407724272793,0.499514177462723,0.0028,CD,10
pureHphil,0.1214451450189155,0.1097099621689785,0.1330390920554855,0.1072287949156685,0.1007058176484966,0.1141560743094597,0.028,CD,10
pureArom,0.0150394073139974,0.0110340479192938,0.0189233921815888,0.0404034465900757,0.0362991933512588,0.0448545587875824,0.0,CD,10
SHphob,0.4099918032786885,0.39281210592686,0.4268600252206809,0.4203845025666096,0.4099211684184796,0.4304632119286238,0.3188,CD,20
WHphob,0.2480945775535939,0.2329760403530895,0.2623029634300126,0.2615037888046932,0.2526246638963578,0.2707223172818382,0.1576,CD,20
Hphil,0.3126532156368222,0.2950819672131147,0.3288225094577554,0.2821401857736494,0.2712050843314593,0.2913713028599364,0.0018,CD,20
Arom,0.1360028373266078,0.1235813366960908,0.1484867591424968,0.183297726717184,0.1750122219506233,0.1918846247861158,0.0,CD,20
pureHphob,0.4574955863808322,0.440093001261034,0.4741488020176544,0.4887285504766561,0.4781227083842581,0.4991475189440235,0.0022,CD,20
pureHphil,0.1220343631778058,0.1100252206809583,0.1336696090794451,0.107090686873625,0.1003391591297971,0.113667196284527,0.0248,CD,20
pureArom,0.0151428121059268,0.0110340479192938,0.019546027742749,0.0405727206062087,0.0362991933512588,0.0447353947690051,0.0,CD,20
SHphob,0.4102493694829761,0.3931194829760403,0.4271831651954603,0.4208122708384257,0.4104100464434124,0.4319298460034221,0.3306,CD,30
WHphob,0.2481661412358133,0.2332912988650693,0.2638792559899117,0.2611554632119285,0.2512833048154485,0.2708384258127597,0.1568,CD,30
Hphil,0.3131626733921815,0.2969735182849937,0.3297604035308953,0.2824369347347836,0.2726717184062576,0.2917410168662919,0.0015,CD,30
Arom,0.1361828499369483,0.1245192307692307,0.1488020176544766,0.1835080664874114,0.1751374969445123,0.1922512833048154,0.0,CD,30
pureHphob,0.4579583858764187,0.4407313997477932,0.4747793190416141,0.4885257883158151,0.477389391346859,0.4998808359814226,0.0034,CD,30
pureHphil,0.1221519546027742,0.1106478562421185,0.1336774905422446,0.1069826448301148,0.1003422146174529,0.1136641407968711,0.0277,CD,30
pureArom,0.0151040353089533,0.0110340479192938,0.019546027742749,0.0405452212173062,0.0360547543387924,0.0448545587875824,0.0,CD,30
SHphob,0.4105961538461538,0.3943647540983607,0.4268679066834804,0.4207616719628452,0.4106575409435345,0.4314379124908335,0.323,CD,40
WHphob,0.2483843001261034,0.2336065573770492,0.2638713745271122,0.2614535565876314,0.2516499633341481,0.2705970422879492,0.1608,CD,40
Hphil,0.3130838587641866,0.2979192938209332,0.3285072509457755,0.2824274016132975,0.272790882424835,0.291737961378636,0.0013,CD,40
Arom,0.1361910466582598,0.1238965952080706,0.1475409836065573,0.1834258127597164,0.1753788804693229,0.1920098997800049,0.0,CD,40
pureHphob,0.4571264186633039,0.4401008827238335,0.4744640605296343,0.4886906624297237,0.4777529943779027,0.5002444390124664,0.002,CD,40
pureHphil,0.1218836696090794,0.110655737704918,0.1343080075662042,0.1069783671473967,0.1003422146174529,0.1139116352969933,0.0278,CD,40
pureArom,0.0150636822194199,0.0110340479192938,0.0192307692307692,0.0405915424101686,0.0365436323637252,0.045221217306282,0.0,CD,40
SHphob,0.4102635561160151,0.3937578814627995,0.4271752837326608,0.42069078464923,0.4097989489122464,0.4314379124908335,0.3206,CD,50
WHphob,0.2486122320302648,0.2332834174022698,0.2638792559899117,0.2610307993155707,0.2515277438279149,0.2705939868002933,0.1601,CD,50
Hphil,0.3135807061790668,0.2982345523329129,0.3297682849936948,0.2823704473233928,0.2732828159374236,0.2918601808848692,0.002,CD,50
Arom,0.1360794451450189,0.1235813366960908,0.1478562421185372,0.1832951601075531,0.1747708384258127,0.1922512833048154,0.0,CD,50
pureHphob,0.4571557377049181,0.4397856242118537,0.4757250945775536,0.4887960156440967,0.4789751894402346,0.4995111219750672,0.0023,CD,50
pureHphil,0.1216629886506935,0.1106478562421185,0.1324085750315258,0.1071395746761183,0.0998502811048643,0.113792471278416,0.0282,CD,50
pureArom,0.0151475409836065,0.0113493064312736,0.0192386506935687,0.0405669762894157,0.0361739183573698,0.0446101197751161,0.0,CD,50
SHphob,0.4104785624211853,0.3928042244640605,0.4278058007566204,0.4204957223172819,0.40955450989978,0.4318045710095331,0.3147,CD,60
WHphob,0.2485545397225725,0.2336065573770492,0.2632487389659521,0.2611704962111953,0.2512833048154485,0.2709606453189929,0.1577,CD,60
Hphil,0.3125346784363177,0.2969735182849937,0.3288146279949558,0.282316548521144,0.2719384013688585,0.2919824003911024,0.0019,CD,60
Arom,0.13621815889029,0.1245192307692307,0.1484946406052963,0.1832991933512588,0.1750122219506233,0.1916432412613053,0.0,CD,60
pureHphob,0.45703026481715,0.4391551071878941,0.4751024590163935,0.4885532877047177,0.47787215839648,0.4995111219750672,0.0031,CD,60
pureHphil,0.1215825977301387,0.1097099621689785,0.1330469735182849,0.1070754094353458,0.1003422146174529,0.1139116352969933,0.0283,CD,60
pureArom,0.0151447036569987,0.0113493064312736,0.0195539092055485,0.0406790515766316,0.0365436323637252,0.0450989978000488,0.0,CD,60
SHphob,0.409953026481715,0.3931194829760403,0.4268679066834804,0.418953125,0.408125,0.429875,0.4061,CD,70
WHphob,0.2483697982345523,0.2329760403530895,0.2638713745271122,0.26383425,0.253871875,0.27375625,0.0976,CD,70
Hphil,0.3133534047919294,0.2966503783102143,0.3291377679697352,0.282330375,0.27261875,0.292503125,0.001,CD,70
Arom,0.1364631147540983,0.12484237074401,0.1491172761664564,0.1823324999999999,0.17375,0.1906281249999999,0.0,CD,70
pureHphob,0.4572490542244641,0.4397856242118537,0.474156683480454,0.4893405,0.47875,0.5005031249999999,0.0022,CD,70
pureHphil,0.1215838587641866,0.1100173392181588,0.1339848675914249,0.10727475,0.10075,0.114875,0.031,CD,70
pureArom,0.0150548549810844,0.0113493064312736,0.0192307692307692,0.040232125,0.035875,0.04475,0.0,CD,70
SHphob,0.401081750339213,0.3829715061058344,0.4185888738127544,0.4141025936599423,0.4023018731988472,0.4263760806916426,0.2403,CD,80
WHphob,0.2538578697421981,0.2377883310719131,0.2686567164179104,0.2655995677233429,0.2553278097982708,0.2768011527377522,0.2366,CD,80
Hphil,0.3148890773405698,0.2978205563093622,0.3310803934871099,0.2846920749279538,0.2749243515850144,0.2953890489913545,0.0026,CD,80
Arom,0.1342089552238806,0.1227951153324287,0.146540027137042,0.1861811239193083,0.1770893371757925,0.1951044668587896,0.0,CD,80
pureHphob,0.4530424016282225,0.4348710990502035,0.4708361601085482,0.4841093659942362,0.4720461095100864,0.4948162824207493,0.006,CD,80
pureHphil,0.123623473541384,0.1119402985074626,0.1346675712347354,0.1087580691642651,0.1015850144092219,0.1161383285302593,0.0344,CD,80
pureArom,0.0156852103120759,0.0115247625508819,0.0203527815468114,0.0421682997118155,0.0376080691642651,0.0469740634005763,0.0,CD,80
SHphob,0.4124861111111111,0.3907004830917874,0.4372131642512077,0.4031447157726182,0.3907075660528422,0.4165382305844676,0.4738,CD,90
WHphob,0.2255929951690821,0.2071256038647343,0.2463768115942029,0.2676477181745396,0.2558046437149719,0.2794285428342674,0.0007,CD,90
Hphil,0.3341805555555555,0.3103864734299517,0.3569142512077294,0.2940436349079263,0.281615292233787,0.3064451561248999,0.0017,CD,90
Arom,0.115487922705314,0.1008454106280193,0.1310386473429951,0.1868314651721377,0.1765412329863891,0.1973578863090472,0.0,CD,90
pureHphob,0.4369655797101449,0.411231884057971,0.4613526570048309,0.4757720176140912,0.4613640912730184,0.489396517213771,0.0075,CD,90
pureHphil,0.1414402173913043,0.125588768115942,0.1588164251207729,0.1170720576461168,0.1078863090472378,0.1255054043234587,0.0078,CD,90
pureArom,0.0073001207729468,0.0036231884057971,0.0114734299516908,0.0425230184147317,0.0368294635708566,0.0486389111289031,0.0,CD,90
SHphob,0.39669133192389,0.3828699788583509,0.4103594080338266,0.4317849947898576,0.4230613928447377,0.4404307051059395,0.0,CG,0
WHphob,0.2464524312896405,0.2340380549682875,0.258144820295983,0.2563974470302188,0.2483479506773185,0.2639805488016672,0.1802,CG,0
Hphil,0.3191733615221987,0.3054915433403806,0.3331923890063425,0.2775586141021188,0.269535863146926,0.285602639805488,0.0,CG,0
Arom,0.1484621564482029,0.1380549682875264,0.1587737843551797,0.1779841090656477,0.1714136853073984,0.1851358978812087,0.0,CG,0
pureHphob,0.4373014799154334,0.4236786469344609,0.4515856236786469,0.4992678881556096,0.4899270580062522,0.5090330844043071,0.0,CG,0
pureHphil,0.1265668076109936,0.1173308668076109,0.1361575052854122,0.1051873046196596,0.0996005557485237,0.1106286905175408,0.0001,CG,0
pureArom,0.0190016913319238,0.0152219873150105,0.0230443974630021,0.0394521535255296,0.0357763112191733,0.0432463529003126,0.0,CG,0
SHphob,0.3961644820295982,0.3828752642706131,0.4101532769556025,0.4317219520666898,0.4228898923237235,0.4406065474122959,0.0,CG,10
WHphob,0.2459818181818181,0.2340327695560253,0.2583562367864693,0.2563107849947899,0.2480006078499479,0.2641585620006947,0.1804,CG,10
Hphil,0.3191198731501057,0.3046458773784355,0.3325581395348837,0.2771166203542897,0.2691016846127127,0.2849947898575894,0.0,CG,10
Arom,0.1482615221987315,0.138683932346723,0.1581448202959831,0.1781250434178534,0.1714136853073984,0.1851337269885377,0.0,CG,10
pureHphob,0.4371112050739957,0.4230391120507399,0.4515856236786469,0.4990461097603335,0.4898380514067385,0.5079042202153525,0.0,CG,10
pureHphil,0.1267784355179703,0.1173361522198731,0.1355232558139535,0.1053489927058006,0.0996873914553664,0.1111497047585967,0.0,CG,10
pureArom,0.0191063424947145,0.0154334038054968,0.0232558139534883,0.0394654393886766,0.0359499826328586,0.0430726814866273,0.0,CG,10
SHphob,0.3959809725158562,0.3818181818181818,0.4103646934460888,0.4319380861410212,0.4229745571378951,0.4410472386245224,0.0,CG,20
WHphob,0.245983086680761,0.2342441860465116,0.2581395348837209,0.2564225425494963,0.2486041160125043,0.2639848905870094,0.1819,CG,20
Hphil,0.319553911205074,0.3059090909090909,0.3321405919661733,0.2773144320944772,0.2693643626259118,0.2855179749913164,0.0,CG,20
Arom,0.1482014799154334,0.137838266384778,0.1579281183932346,0.177872525182355,0.1708883292810003,0.1852227335880514,0.0,CG,20
pureHphob,0.4372093023255814,0.4230338266384778,0.4518076109936575,0.4989659604029177,0.4896643799930531,0.5078173845085099,0.0,CG,20
pureHphil,0.1268509513742071,0.1175475687103594,0.1357346723044397,0.1051818339701285,0.0999457276832233,0.1108045328238971,0.0001,CG,20
pureArom,0.0189862579281183,0.0150105708245243,0.0230443974630021,0.0394258423063563,0.0357741403265022,0.0428121743660993,0.0,CG,20
SHphob,0.3953424947145877,0.380338266384778,0.4093076109936575,0.4317615491490101,0.4224557137895102,0.4406065474122959,0.0,CG,30
WHphob,0.2465033826638477,0.2336046511627907,0.2596247357293869,0.2564492879472039,0.2486084577978464,0.2646752344564084,0.1813,CG,30
Hphil,0.3193547568710359,0.3067653276955602,0.3319238900634249,0.2772904654393886,0.2691038555053838,0.2856048106981591,0.0,CG,30
Arom,0.1484974630021141,0.1386892177589852,0.1589852008456659,0.1779185481069815,0.171237843001042,0.1848753907606808,0.0,CG,30
pureHphob,0.4373617336152219,0.4228329809725158,0.4515856236786469,0.4991114970475859,0.4897490448072247,0.5077283779089962,0.0,CG,30
pureHphil,0.1268348837209302,0.1179704016913319,0.135946088794926,0.1052347169155957,0.0994225425494963,0.1111497047585967,0.0,CG,30
pureArom,0.0190807610993657,0.0154334038054968,0.0230443974630021,0.0393946682875998,0.0357741403265022,0.0428990100729419,0.0,CG,30
SHphob,0.3963249471458774,0.3822357293868922,0.4091067653276956,0.4316860889197638,0.4227140500173671,0.4408648836401528,0.0001,CG,40
WHphob,0.2460729386892177,0.2338266384778012,0.2589904862579281,0.2562530392497394,0.248430444598819,0.2638937130948245,0.187,CG,40
Hphil,0.31913044397463,0.3069767441860465,0.3325581395348837,0.2774754254949635,0.2689301840916985,0.2854289683918027,0.0,CG,40
Arom,0.148299577167019,0.1386892177589852,0.1583509513742071,0.1781138416116706,0.1711531781868704,0.1846127127474817,0.0,CG,40
pureHphob,0.4372727272727272,0.4236680761099365,0.4511680761099365,0.4992129211531781,0.4903568947551233,0.5078152136158388,0.0,CG,40
pureHphil,0.126753488372093,0.1173308668076109,0.1365750528541226,0.1052928100034734,0.0996873914553664,0.1108023619312261,0.0,CG,40
pureArom,0.0191086680761099,0.0154334038054968,0.0230443974630021,0.0394520666898228,0.0359499826328586,0.0428990100729419,0.0,CG,40
SHphob,0.3962283298097251,0.3822410147991543,0.4101585623678647,0.43053618946248,0.4211437821536278,0.4396864466915026,0.0,CG,50
WHphob,0.2463737843551796,0.2338266384778012,0.2579281183932346,0.2567534149370232,0.2488890367216604,0.2645023948908994,0.1694,CG,50
Hphil,0.3188348837209303,0.3057029598308668,0.3315010570824524,0.2783579031399681,0.2702656554905091,0.2865886109632783,0.0,CG,50
Arom,0.1480678646934461,0.1382663847780126,0.1581395348837209,0.1790832002838389,0.1723412276033351,0.1865353911655135,0.0,CG,50
pureHphob,0.437345665961945,0.4240961945031712,0.4511627906976744,0.4970687422387794,0.4875798296966471,0.5058541777541246,0.0,CG,50
pureHphil,0.1269416490486258,0.1171247357293868,0.1365856236786469,0.1054753414937023,0.0999623026432499,0.1109654958311158,0.0,CG,50
pureArom,0.0190744186046511,0.0152219873150105,0.022838266384778,0.0397668972857903,0.0362781621429838,0.0436402341671101,0.0,CG,50
SHphob,0.3958420718816068,0.3820243128964059,0.4099365750528541,0.4274726300525648,0.4183365053471089,0.4365619902120717,0.0005,CG,60
WHphob,0.2462276955602537,0.2338213530655391,0.2592019027484143,0.2583192858437557,0.2499478883451151,0.2663585281856081,0.1143,CG,60
Hphil,0.3193653276955602,0.3061257928118393,0.3329862579281183,0.2787445169476164,0.2701604132680805,0.2864804241435563,0.0,CG,60
