,buff,spa,cov,OR,OR_lb,OR_ub,pvalues,n,xlabel
5,C,50,50,1.4405140081492172,1.3060404463306543,1.58883334241608,3.099742684753437e-13,264,cyto-serum
15,CD,50,50,1.27303014553761,1.028395684421425,1.5761733830339912,0.0267600645217946,141,+DnaK
25,CG,50,50,1.2253175072442315,1.034584606728118,1.4506329812931589,0.0184729176966866,192,+GroEL
