,buff,spa,cov,OR,OR_lb,OR_ub,pvalues,n,label
0,C,0,50,1.4405140081492172,1.3060404463306543,1.58883334241608,3.099742684753437e-13,264,EXP
1,C,10,50,1.4405140081492172,1.3060404463306543,1.58883334241608,3.099742684753437e-13,264,EXP
2,C,20,50,1.4405140081492172,1.3060404463306543,1.58883334241608,3.099742684753437e-13,264,EXP
3,C,30,50,1.4405140081492172,1.3060404463306543,1.58883334241608,3.099742684753437e-13,264,EXP
4,C,40,50,1.4405140081492172,1.3060404463306543,1.58883334241608,3.099742684753437e-13,264,EXP
5,C,50,50,1.4405140081492172,1.3060404463306543,1.58883334241608,3.099742684753437e-13,264,EXP
6,C,60,50,1.440369963950732,1.3060404463306543,1.58883334241608,3.388400671155979e-13,262,EXP
7,C,70,50,1.4389303139317615,1.3021281963008942,1.5904229704400392,8.186784583585904e-13,238,EXP
8,C,80,50,1.4360553292469111,1.2956338048280485,1.5920141888871011,5.200284647344233e-12,184,EXP
9,C,90,50,1.3654717864238437,1.2177440407059084,1.5311207751332474,9.397745914796476e-08,106,EXP
10,CD,0,50,1.27303014553761,1.028395684421425,1.5761733830339912,0.0267600645217946,141,EXP
11,CD,10,50,1.27303014553761,1.028395684421425,1.5761733830339912,0.0267600645217946,141,EXP
12,CD,20,50,1.27303014553761,1.028395684421425,1.5761733830339912,0.0267600645217946,141,EXP
13,CD,30,50,1.27303014553761,1.028395684421425,1.5761733830339912,0.0267600645217946,141,EXP
14,CD,40,50,1.27303014553761,1.028395684421425,1.5761733830339912,0.0267600645217946,141,EXP
15,CD,50,50,1.27303014553761,1.028395684421425,1.5761733830339912,0.0267600645217946,141,EXP
16,CD,60,50,1.27303014553761,1.028395684421425,1.5761733830339912,0.0267600645217946,141,EXP
17,CD,70,50,1.2704866296103008,1.0253151205244289,1.5745979974750188,0.0286696023181955,135,EXP
18,CD,80,50,1.2275250649631777,0.9880717128619304,1.5250085246832794,0.0646023428342563,116,EXP
19,CD,90,50,1.25746777950066,0.9910403787728836,1.5952014034170006,0.0595649754691949,76,EXP
20,CG,0,50,1.2211585020349645,1.0314855038865227,1.4462876036747396,0.0205037317668685,193,EXP
21,CG,10,50,1.2211585020349645,1.0314855038865227,1.4462876036747396,0.0205037317668685,193,EXP
22,CG,20,50,1.2211585020349645,1.0314855038865227,1.4462876036747396,0.0205037317668685,193,EXP
23,CG,30,50,1.2211585020349645,1.0314855038865227,1.4462876036747396,0.0205037317668685,193,EXP
24,CG,40,50,1.2211585020349645,1.0314855038865227,1.4462876036747396,0.0205037317668685,193,EXP
25,CG,50,50,1.2253175072442315,1.034584606728118,1.4506329812931589,0.0184729176966866,192,EXP
26,CG,60,50,1.2262981534562103,1.0356197087996233,1.4520843398327752,0.0180788125854352,188,EXP
27,CG,70,50,1.2167702350475431,1.0273678027634894,1.441955242654516,0.0234513832468816,177,EXP
28,CG,80,50,1.2264207894032513,1.0325175053051183,1.456447133771086,0.0202329356297199,145,EXP
29,CG,90,50,1.2211585020349645,1.0130848673598092,1.4710846708147431,0.03564096624924,88,EXP
0,C,0,50,1.343260678038001,1.2373846512436006,1.4579043093712258,1.4837020501090592e-12,401,AF
1,C,10,50,1.343260678038001,1.2373846512436006,1.4579043093712258,1.4837020501090592e-12,401,AF
2,C,20,50,1.343260678038001,1.2373846512436006,1.4579043093712258,1.4837020501090592e-12,401,AF
3,C,30,50,1.343260678038001,1.2373846512436006,1.4579043093712258,1.4837020501090592e-12,401,AF
4,C,40,50,1.343260678038001,1.2373846512436006,1.4579043093712258,1.4837020501090592e-12,401,AF
5,C,50,50,1.3424549633697502,1.2373846512436006,1.456447133771086,1.6651124923328098e-12,400,AF
6,C,60,50,1.3458152994480976,1.2398618969660615,1.4608230357434318,1.1437517599688365e-12,392,AF
7,C,70,50,1.3395048088102477,1.2324449985302548,1.4549914146182013,5.200284647344233e-12,348,AF
8,C,80,50,1.3255135907566014,1.2165269053343162,1.444842038973879,1.2510970037737934e-10,271,AF
9,C,90,50,1.4018601033455802,1.272521035308229,1.5449630589513383,9.426459612882354e-12,143,AF
10,CD,0,50,1.4307517422152138,1.1900555658203626,1.719442310212106,0.0001356325036243,211,AF
11,CD,10,50,1.4307517422152138,1.1900555658203626,1.719442310212106,0.0001356325036243,211,AF
12,CD,20,50,1.4307517422152138,1.1900555658203626,1.719442310212106,0.0001356325036243,211,AF
13,CD,30,50,1.4307517422152138,1.1900555658203626,1.719442310212106,0.0001356325036243,211,AF
14,CD,40,50,1.4307517422152138,1.1900555658203626,1.719442310212106,0.0001356325036243,211,AF
15,CD,50,50,1.4311810321281455,1.191246216612358,1.719442310212106,0.0001334516740594,210,AF
16,CD,60,50,1.437923415167692,1.1960207441678836,1.7280610506585812,0.0001092826421531,207,AF
17,CD,70,50,1.4300365451582704,1.188866105084032,1.719442310212106,0.0001476434562193,197,AF
18,CD,80,50,1.4370609198930486,1.191246216612358,1.7332530178673953,0.0001530916737397,166,AF
19,CD,90,50,1.457612757665494,1.1841201389239695,1.7931968918506624,0.0003765440759033,102,AF
20,CG,0,50,1.3305601247433902,1.1479755502741786,1.5418762207006325,0.0001482396731857,300,AF
21,CG,10,50,1.3305601247433902,1.1479755502741786,1.5418762207006325,0.0001482396731857,300,AF
22,CG,20,50,1.3305601247433902,1.1479755502741786,1.5418762207006325,0.0001482396731857,300,AF
23,CG,30,50,1.3305601247433902,1.1479755502741786,1.5418762207006325,0.0001482396731857,300,AF
24,CG,40,50,1.3305601247433902,1.1479755502741786,1.5418762207006325,0.0001482396731857,300,AF
25,CG,50,50,1.3305601247433902,1.1479755502741786,1.5418762207006325,0.0001482396731857,300,AF
26,CG,60,50,1.3292302296770049,1.1468281485203982,1.540335115161127,0.0001587287315509,294,AF
27,CG,70,50,1.336160229254635,1.152576648537005,1.5496049074195088,0.0001240404822309,272,AF
28,CG,80,50,1.354862536353854,1.1653249789427378,1.5745979974750188,7.432454041467196e-05,215,AF
29,CG,90,50,1.3950077907154603,1.1841201389239695,1.6437825187200612,6.979016502417501e-05,118,AF
