E4P1_N_ml,E4P1_N_mAU
0.07308,14.106337
0.073578,14.10752
0.074076,14.10889
0.074574,14.109943
0.075071,14.111399
0.075569,14.113744
0.076067,14.117899
0.076564,14.122718
0.077062,14.127074
0.07756,14.130971
0.078057,14.1356
0.078555,14.139748
0.079053,14.142596
0.079551,14.144067
0.080048,14.144744
0.080546,14.14647
0.081044,14.14971
0.081541,14.153463
0.082039,14.156753
0.082537,14.160711
0.083035,14.165167
0.083532,14.168695
0.08403,14.172933
0.084528,14.17738
0.085025,14.179951
0.085523,14.182341
0.086021,14.184058
0.086518,14.185674
0.087016,14.187688
0.087514,14.189448
0.088012,14.191193
0.088509,14.192135
0.089007,14.192835
0.089505,14.194056
0.090002,14.194894
0.0905,14.195069
0.090998,14.194678
0.091496,14.195884
0.091993,14.198311
0.092491,14.200686
0.092989,14.201067
0.093486,14.200551
0.093984,14.19968
0.094482,14.198374
0.094979,14.198521
0.095477,14.198764
0.095975,14.198855
0.096473,14.19689
0.09697,14.194111
0.097468,14.192528
0.097966,14.191689
0.098463,14.192385
0.098961,14.192835
0.099459,14.192482
0.099957,14.19224
0.100454,14.191257
0.100952,14.18985
0.10145,14.188155
0.101947,14.186134
0.102445,14.184998
0.102943,14.183372
0.10344,14.182617
0.103938,14.181057
0.104436,14.178734
0.104934,14.176348
0.105431,14.174529
0.105929,14.173566
0.106427,14.172056
0.106924,14.171997
0.107422,14.170131
0.10792,14.170097
0.108418,14.170117
0.108915,14.171024
0.109413,14.171116
0.109911,14.170803
0.110408,14.170552
0.110906,14.167591
0.111404,14.165746
0.111901,14.165286
0.112399,14.164647
0.112897,14.163782
0.113394,14.164188
0.113892,14.164386
0.11439,14.162697
0.114888,14.160008
0.115385,14.158329
0.115883,14.157487
0.116381,14.156137
0.116879,14.154907
0.117376,14.154481
0.117874,14.155125
0.118372,14.15401
0.118869,14.15318
0.119367,14.153562
0.119865,14.153783
0.120362,14.150316
0.12086,14.147688
0.121358,14.145154
0.121855,14.143496
0.122353,14.144272
0.122851,14.143229
0.123349,14.14124
0.123846,14.143119
0.124344,14.141989
0.124842,14.138462
0.12534,14.136865
0.125837,14.135092
0.126335,14.134017
0.126833,14.131942
0.12733,14.134099
0.127828,14.13541
0.128326,14.133859
0.128823,14.132892
0.129321,14.132067
0.129819,14.131398
0.130317,14.130881
0.130814,14.130989
0.131312,14.130662
0.13181,14.129978
0.132307,14.127636
0.132805,14.125592
0.133303,14.128146
0.133801,14.128039
0.134298,14.129205
0.134796,14.128742
0.135294,14.128803
0.135791,14.129522
0.136289,14.128887
0.136787,14.129338
0.137284,14.131557
