E4P1_R_ml,E4P1_R_mAU
0.143825,14.231249
0.144323,14.2308
0.144822,14.229042
0.14532,14.228976
0.145818,14.228189
0.146317,14.225821
0.146815,14.225616
0.147314,14.225301
0.147812,14.224778
0.148311,14.224526
0.148809,14.224209
0.149308,14.226672
0.149806,14.226548
0.150304,14.227481
0.150803,14.22738
0.151301,14.229316
0.1518,14.230051
0.152298,14.229542
0.152797,14.231144
0.153295,14.231687
0.153794,14.232374
0.154292,14.231902
0.15479,14.231253
0.155289,14.230259
0.155787,14.229678
0.156286,14.229177
0.156785,14.227954
0.157283,14.229704
0.157781,14.228716
0.15828,14.228096
0.158778,14.228167
0.159276,14.227136
0.159775,14.224437
0.160274,14.224556
0.160772,14.223702
0.161271,14.221662
0.161769,14.219569
0.162267,14.218187
0.162766,14.216826
0.163264,14.217457
0.163763,14.215109
0.164261,14.214156
0.16476,14.212783
0.165258,14.210435
0.165757,14.210262
0.166255,14.210081
0.166753,14.210009
0.167252,14.210198
0.16775,14.21052
0.168249,14.209743
0.168747,14.210422
0.169246,14.210924
0.169744,14.208922
0.170243,14.208862
0.170741,14.208634
0.171239,14.208215
0.171738,14.208057
0.172236,14.209308
0.172735,14.210511
0.173234,14.210073
0.173732,14.208814
0.17423,14.208761
0.174729,14.209171
0.175227,14.208381
0.175725,14.207917
0.176224,14.209788
0.176723,14.210101
0.177221,14.210777
0.17772,14.21059
0.178218,14.208502
0.178716,14.207302
0.179215,14.206838
0.179713,14.205705
0.180212,14.205543
0.18071,14.205238
0.181209,14.203065
0.181707,14.202335
0.182206,14.203485
0.182704,14.203471
0.183202,14.203647
0.183701,14.205214
0.184199,14.204047
0.184698,14.203594
0.185196,14.203465
0.185695,14.204275
0.186193,14.206069
0.186692,14.204951
0.18719,14.203609
0.187688,14.203823
0.188187,14.203703
0.188685,14.201967
0.189184,14.200322
0.189682,14.199816
0.190181,14.200271
0.190679,14.201326
0.191178,14.201726
0.191676,14.201994
0.192174,14.202636
0.192673,14.201876
0.193172,14.201982
0.19367,14.203459
0.194169,14.202994
0.194667,14.201783
0.195165,14.201347
0.195664,14.199745
0.196162,14.199438
0.196661,14.201035
0.197159,14.201189
0.197658,14.200096
0.198156,14.200327
0.198655,14.199326
0.199153,14.199412
0.199651,14.202435
0.20015,14.20392
0.200648,14.202676
0.201147,14.202038
0.201645,14.202961
0.202144,14.20406
0.202642,14.204569
0.203141,14.205924
0.203639,14.207085
0.204137,14.207501
0.204636,14.207635
0.205134,14.208634
0.205633,14.20907
0.206131,14.207443
0.20663,14.206247
0.207128,14.206701
0.207627,14.206248
0.208125,14.207347
0.208623,14.208344
0.209122,14.20751
0.20962,14.205798
0.210119,14.20626
0.210618,14.204883
0.211116,14.204404
0.211614,14.203584
0.212113,14.200868
0.212611,14.199471
0.213109,14.199592
0.213608,14.200108
0.214107,14.1987
0.214605,14.196246
0.215104,14.194308
0.215602,14.191449
0.2161,14.189378
0.216599,14.188022
0.217097,14.187412
0.217596,14.187446
0.218094,14.187545
0.218593,14.188366
0.219091,14.189574
0.21959,14.190883
0.220088,14.192027
0.220586,14.191547
0.221085,14.190589
0.221583,14.189675
0.222082,14.191004
0.22258,14.189095
0.223079,14.189446
0.223577,14.190363
0.224076,14.189724
0.224574,14.190062
0.225072,14.191896
0.225571,14.192399
0.226069,14.19206
0.226568,14.192789
0.227067,14.195402
0.227565,14.196535
0.228063,14.196488
0.228562,14.197963
0.22906,14.197529
0.229558,14.196185
0.230057,14.19578
0.230556,14.19431
0.231054,14.193511
0.231553,14.191836
0.232051,14.189145
0.232549,14.187482
0.233048,14.188103
0.233546,14.189507
0.234045,14.189715
0.234543,14.188991
0.235042,14.189412
0.23554,14.188919
0.236039,14.186551
0.236537,14.186739
0.237035,14.185781
0.237534,14.185026
0.238032,14.185236
0.238531,14.184598
0.239029,14.184121
0.239528,14.183428
0.240026,14.183748
0.240525,14.185494
0.241023,14.185124
0.241521,14.185376
0.24202,14.185888
0.242518,14.183732
0.243017,14.187774
0.243515,14.189404
0.244014,14.189529
0.244512,14.19008
0.245011,14.190331
0.245509,14.189621
0.246007,14.189084
0.246506,14.187994
0.247005,14.188805
0.247503,14.187961
0.248002,14.18845
0.2485,14.18809
0.248998,14.188941
0.249497,14.189734
0.249995,14.188849
0.250494,14.188114
0.250992,14.187944
0.251491,14.187506
0.251989,14.185817
0.252488,14.184804
0.252986,14.184614
0.253484,14.18412
0.253983,14.182683
0.254481,14.182833
0.25498,14.18259
0.255478,14.181225
0.255977,14.179379
0.256475,14.177657
0.256974,14.177277
0.257472,14.178638
0.25797,14.179789
0.258469,14.179452
0.258967,14.178665
0.259466,14.179944
0.259964,14.180413
0.260463,14.181202
0.260961,14.181263
0.26146,14.180717
0.261958,14.179618
0.262456,14.179631
0.262955,14.179736
0.263453,14.178034
0.263952,14.17699
0.264451,14.17814
0.264949,14.178129
0.265447,14.177631
0.265946,14.1767
0.266444,14.177575
0.266943,14.178019
0.267441,14.178864
0.26794,14.179711
0.268438,14.180561
0.268937,14.181475
0.269435,14.181383
