E2P2_N_ml,E2P2_N_mAU,E2P2_R_ml,E2P2_R_mAU,E3P3_N_ml,E3P3_N_mAU,E3P3_R_ml,E3P3_R_mAU,E4P1_N_ml,E4P1_N_mAU,E4P1_R_ml,E4P1_R_mAU
-1.624809,0.532215,-1.365167,0.369757,-0.919038,0.715251,-13.978442,0.653269,0.016342,14.099996,0.016221,14.180258
-1.623984,0.531491,-1.36438,0.36923,-0.91821,0.713986,-13.977943,0.652398,0.01684,14.100071,0.016719,14.179928
-1.623159,0.530541,-1.363594,0.366751,-0.917383,0.714789,-13.977445,0.651933,0.017337,14.098411,0.017218,14.179276
-1.622334,0.53054,-1.362807,0.365332,-0.916556,0.715679,-13.976946,0.651969,0.017835,14.097912,0.017716,14.179762
-1.621509,0.530998,-1.36202,0.366861,-0.915729,0.716932,-13.976447,0.652154,0.018333,14.098332,0.018214,14.18127
-1.620685,0.529379,-1.361234,0.36461,-0.914901,0.717185,-13.975947,0.653471,0.01883,14.096681,0.018713,14.180276
-1.61986,0.529704,-1.360447,0.365817,-0.914074,0.719722,-13.975449,0.653785,0.019328,14.09567,0.019211,14.180004
-1.619035,0.531062,-1.359661,0.365712,-0.913247,0.720281,-13.97495,0.651784,0.019826,14.094205,0.01971,14.180987
-1.61821,0.53209,-1.358874,0.366642,-0.912419,0.720614,-13.974451,0.650514,0.020324,14.093891,0.020208,14.183097
-1.617385,0.530413,-1.358087,0.369745,-0.911592,0.722579,-13.973951,0.652957,0.020821,14.09201,0.020707,14.183314
-1.61656,0.530434,-1.357301,0.372239,-0.910765,0.723513,-13.973453,0.653145,0.021319,14.09251,0.021205,14.183877
-1.615735,0.529739,-1.356514,0.374258,-0.909938,0.724475,-13.972954,0.651011,0.021817,14.092487,0.021704,14.182117
-1.61491,0.530274,-1.355727,0.375419,-0.90911,0.724267,-13.972455,0.649869,0.022314,14.092839,0.022202,14.182157
-1.614085,0.530485,-1.354941,0.376817,-0.908283,0.72505,-13.971955,0.648273,0.022812,14.093704,0.0227,14.183731
-1.613261,0.530755,-1.354154,0.377378,-0.907456,0.72642,-13.971457,0.645566,0.02331,14.095205,0.023199,14.185183
-1.612436,0.531053,-1.353367,0.376088,-0.906628,0.726944,-13.970958,0.643526,0.023807,14.093312,0.023697,14.184648
-1.611611,0.532527,-1.352581,0.375709,-0.905801,0.727889,-13.970459,0.642702,0.024305,14.094203,0.024196,14.184525
-1.610786,0.534185,-1.351794,0.376818,-0.904974,0.729475,-13.969959,0.644129,0.024803,14.096047,0.024694,14.183219
-1.609961,0.535995,-1.351008,0.377915,-0.904146,0.729409,-13.96946,0.64441,0.025301,14.095469,0.025193,14.183027
-1.609136,0.535722,-1.350221,0.378611,-0.903319,0.72944,-13.968962,0.643546,0.025798,14.097734,0.025691,14.184009
-1.608311,0.534333,-1.349434,0.37923,-0.902492,0.730308,-13.968463,0.644005,0.026296,14.100495,0.02619,14.182433
-1.607486,0.532542,-1.348648,0.380021,-0.901664,0.729704,-13.967964,0.64409,0.026794,14.101146,0.026688,14.180996
-1.606661,0.53155,-1.347861,0.380064,-0.900837,0.730278,-13.967464,0.643129,0.027291,14.100508,0.027186,14.180496
-1.605837,0.531368,-1.347074,0.378641,-0.90001,0.731628,-13.966966,0.642329,0.027789,14.097947,0.027685,14.180627
-1.605012,0.532832,-1.346288,0.379591,-0.899183,0.732656,-13.966467,0.643198,0.028287,14.098527,0.028183,14.18191
-1.604187,0.532341,-1.345501,0.380413,-0.898355,0.731355,-13.965968,0.643012,0.028785,14.097503,0.028682,14.183873
-1.603362,0.53232,-1.344715,0.37933,-0.897528,0.729986,-13.965468,0.64316,0.029282,14.09737,0.029181,14.183998
-1.602537,0.532205,-1.343928,0.379295,-0.896701,0.731321,-13.96497,0.644966,0.02978,14.098699,0.029679,14.183117
-1.601712,0.531787,-1.343141,0.378657,-0.895873,0.733066,-13.964471,0.645019,0.030278,14.100471,0.030177,14.182037
-1.600887,0.530834,-1.342355,0.3795,-0.895046,0.733593,-13.963972,0.644794,0.030775,14.099867,0.030675,14.180216
-1.600062,0.531151,-1.341568,0.378612,-0.894219,0.734094,-13.963472,0.645061,0.031273,14.100497,0.031174,14.181252
-1.599237,0.530629,-1.340781,0.379777,-0.893391,0.73226,-13.962974,0.644335,0.031771,14.101899,0.031672,14.181608
-1.598413,0.53058,-1.339995,0.379343,-0.892564,0.73166,-13.962475,0.644765,0.032268,14.102386,0.032171,14.179345
-1.597588,0.531389,-1.339208,0.379578,-0.891737,0.731759,-13.961976,0.646336,0.032766,14.102065,0.03267,14.17883
-1.596763,0.532378,-1.338421,0.379236,-0.89091,0.731717,-13.961476,0.645779,0.033264,14.10287,0.033168,14.179622
-1.595938,0.533134,-1.337635,0.379587,-0.890082,0.732276,-13.960978,0.645202,0.033762,14.101324,0.033666,14.178968
-1.595113,0.533202,-1.336848,0.378666,-0.889255,0.732749,-13.960479,0.647227,0.034259,14.102448,0.034165,14.17918
-1.594288,0.533544,-1.336062,0.377406,-0.888428,0.734294,-13.95998,0.646797,0.034757,14.101814,0.034663,14.179689
-1.593463,0.532939,-1.335275,0.377782,-0.8876,0.73555,-13.959481,0.645466,0.035255,14.101028,0.035161,14.178075
-1.592638,0.530469,-1.334488,0.378117,-0.886773,0.735055,-13.958982,0.646241,0.035752,14.099844,0.03566,14.176591
-1.591813,0.530287,-1.333702,0.377677,-0.885946,0.735413,-13.958483,0.648762,0.03625,14.099768,0.036159,14.175441
-1.590989,0.529077,-1.332915,0.377023,-0.885119,0.735551,-13.957984,0.648841,0.036748,14.09698,0.036657,14.175336
-1.590164,0.527504,-1.332128,0.377949,-0.884291,0.735925,-13.957485,0.649991,0.037246,14.095507,0.037156,14.175865
-1.589339,0.52617,-1.331342,0.378205,-0.883464,0.73667,-13.956985,0.647867,0.037743,14.096052,0.037654,14.176503
-1.588514,0.526558,-1.330555,0.377794,-0.882637,0.738137,-13.956487,0.64766,0.038241,14.094859,0.038152,14.175623
-1.587689,0.527289,-1.329769,0.378037,-0.881809,0.739286,-13.955988,0.646477,0.038739,14.094649,0.038651,14.17623
-1.586864,0.528608,-1.328982,0.378072,-0.880982,0.74026,-13.955489,0.646306,0.039236,14.093447,0.039149,14.177039
-1.586039,0.529257,-1.328195,0.377444,-0.880155,0.742111,-13.954989,0.646418,0.039734,14.094147,0.039648,14.176717
-1.585214,0.52924,-1.327409,0.377627,-0.879327,0.743807,-13.954491,0.646379,0.040232,14.094707,0.040146,14.176875
-1.584389,0.527109,-1.326622,0.38051,-0.8785,0.746065,-13.953992,0.647094,0.04073,14.095119,0.040645,14.176257
