E2P2_N_ml,E2P2_N_mAU,E2P2_R_ml,E2P2_R_mAU,E3P3_N_ml,E3P3_N_mAU,E3P3_R_ml,E3P3_R_mAU,E4P1_N_ml,E4P1_N_mAU,E4P1_R_ml,E4P1_R_mAU
4.218705,0.519583,4.207329,0.304288,4.941548,0.646076,-10.443556,0.587896,3.542092,14.128716,3.547265,14.210868
4.21953,0.521034,4.208116,0.304843,4.942375,0.646089,-10.443057,0.588845,3.542589,14.131227,3.547763,14.211843
4.220355,0.520188,4.208902,0.306579,4.943202,0.645969,-10.442558,0.587437,3.543087,14.133339,3.548261,14.213116
4.221179,0.52038,4.209689,0.305981,4.94403,0.646062,-10.44206,0.587205,3.543585,14.133484,3.54876,14.215125
4.222004,0.521446,4.210475,0.30693,4.944857,0.645668,-10.441561,0.589497,3.544082,14.135184,3.549259,14.216668
4.222829,0.523568,4.211262,0.30693,4.945684,0.648098,-10.441061,0.590364,3.54458,14.136067,3.549757,14.215198
4.223654,0.522417,4.212049,0.305676,4.946512,0.649251,-10.440562,0.590146,3.545078,14.136313,3.550255,14.215392
4.224479,0.520604,4.212835,0.303609,4.947339,0.649754,-10.440063,0.588457,3.545575,14.13977,3.550754,14.215334
4.225304,0.519171,4.213622,0.303649,4.948166,0.648749,-10.439564,0.589639,3.546073,14.138391,3.551252,14.21575
4.226129,0.518944,4.214409,0.303361,4.948994,0.648542,-10.439065,0.58892,3.546571,14.140289,3.551751,14.214473
4.226954,0.517542,4.215195,0.303351,4.949821,0.648341,-10.438566,0.588318,3.547069,14.139381,3.552249,14.214007
4.227779,0.517093,4.215981,0.303156,4.950648,0.647389,-10.438067,0.586528,3.547566,14.139862,3.552747,14.211711
4.228604,0.51633,4.216768,0.30361,4.951476,0.646224,-10.437569,0.586392,3.548064,14.13948,3.553246,14.210121
4.229428,0.517304,4.217555,0.301591,4.952303,0.646824,-10.437069,0.584942,3.548562,14.140558,3.553745,14.209104
4.230253,0.515942,4.218342,0.301287,4.95313,0.645528,-10.43657,0.585039,3.54906,14.140447,3.554243,14.208476
4.231078,0.51623,4.219129,0.303159,4.953958,0.643837,-10.436071,0.583947,3.549557,14.140983,3.554741,14.209607
4.231903,0.51484,4.219915,0.304118,4.954785,0.644368,-10.435573,0.583998,3.550055,14.139905,3.55524,14.20851
4.232728,0.516214,4.220701,0.30435,4.955612,0.645093,-10.435074,0.582876,3.550553,14.139631,3.555738,14.208403
4.233553,0.517708,4.221488,0.305738,4.956439,0.645524,-10.434574,0.582947,3.55105,14.13821,3.556237,14.208347
4.234378,0.518119,4.222275,0.308247,4.957267,0.644827,-10.434075,0.583452,3.551548,14.13947,3.556736,14.207705
4.235203,0.518151,4.223062,0.308608,4.958094,0.644431,-10.433577,0.582989,3.552046,14.14086,3.557233,14.2062
4.236028,0.519426,4.223848,0.309223,4.958921,0.643899,-10.433077,0.581168,3.552543,14.141436,3.557732,14.204886
4.236853,0.517928,4.224635,0.309323,4.959749,0.644035,-10.432578,0.579646,3.553041,14.140616,3.558231,14.203773
4.237678,0.517625,4.225421,0.3112,4.960576,0.643431,-10.432079,0.578704,3.553539,14.140737,3.558729,14.202768
4.238503,0.516139,4.226208,0.312533,4.961403,0.64258,-10.431581,0.579565,3.554036,14.140612,3.559227,14.203593
4.239327,0.518655,4.226995,0.313602,4.962231,0.644021,-10.431082,0.576701,3.554534,14.14166,3.559726,14.202794
4.240152,0.520695,4.227781,0.313218,4.963058,0.643605,-10.430582,0.577262,3.555032,14.137931,3.560224,14.202098
4.240977,0.521533,4.228568,0.314564,4.963885,0.643271,-10.430083,0.578573,3.55553,14.134448,3.560723,14.201966
4.241802,0.521505,4.229355,0.313199,4.964713,0.643833,-10.429585,0.577967,3.556027,14.134243,3.561222,14.202049
4.242627,0.521601,4.230141,0.313436,4.96554,0.64457,-10.429085,0.576473,3.556525,14.133802,3.561719,14.201845
4.243452,0.519813,4.230927,0.311964,4.966367,0.644017,-10.428586,0.576106,3.557023,14.134013,3.562218,14.201889
4.244277,0.521009,4.231714,0.313006,4.967195,0.645045,-10.428087,0.576474,3.557521,14.131703,3.562717,14.200981
4.245101,0.521948,4.232501,0.314724,4.968022,0.644446,-10.427588,0.577646,3.558018,14.128754,3.563215,14.201051
4.245926,0.521696,4.233288,0.316293,4.968849,0.644516,-10.42709,0.576232,3.558516,14.129606,3.563714,14.199983
4.246751,0.522182,4.234075,0.31683,4.969676,0.644173,-10.42659,0.575684,3.559014,14.127548,3.564212,14.198799
4.247576,0.521632,4.234861,0.317275,4.970503,0.644592,-10.426091,0.576445,3.559511,14.126921,3.56471,14.198853
4.248401,0.520742,4.235647,0.317608,4.971331,0.64436,-10.425592,0.578579,3.560009,14.125176,3.565209,14.200036
4.249226,0.522218,4.236434,0.317469,4.972158,0.643918,-10.425094,0.579645,3.560507,14.126471,3.565708,14.1996
4.250051,0.522176,4.237221,0.316926,4.972985,0.644275,-10.424595,0.58111,3.561004,14.12648,3.566206,14.199731
4.250875,0.521514,4.238008,0.315608,4.973813,0.64373,-10.424095,0.58137,3.561502,14.126575,3.566704,14.199034
4.2517,0.520505,4.238794,0.314413,4.97464,0.643583,-10.423596,0.582649,3.562,14.126203,3.567203,14.198359
4.252525,0.520583,4.239581,0.313651,4.975467,0.644332,-10.423098,0.583828,3.562497,14.127568,3.567701,14.197943
4.25335,0.519971,4.240367,0.313694,4.976295,0.643533,-10.422598,0.585551,3.562995,14.128574,3.5682,14.198037
4.254175,0.518348,4.241154,0.314352,4.977122,0.643516,-10.422099,0.586088,3.563493,14.128494,3.568698,14.198528
4.255,0.518474,4.24194,0.312482,4.977949,0.642905,-10.4216,0.585471,3.563991,14.127371,3.569196,14.198425
4.255825,0.519571,4.242727,0.307934,4.978776,0.642013,-10.421102,0.584658,3.564488,14.128166,3.569695,14.198457
4.25665,0.520184,4.243514,0.307788,4.979604,0.642008,-10.420603,0.584562,3.564986,14.125923,3.570194,14.198237
4.257475,0.521284,4.244301,0.308705,4.980431,0.643344,-10.420103,0.585572,3.565484,14.125042,3.570692,14.198347
4.2583,0.520343,4.245088,0.309256,4.981258,0.643954,-10.419604,0.586194,3.565982,14.123858,3.57119,14.197886
4.259124,0.520937,4.245873,0.309283,4.982086,0.643595,-10.419106,0.585135,3.566479,14.125442,3.571689,14.197265
4.259949,0.519273,4.24666,0.309367,4.982913,0.640832,-10.418607,0.585669,3.566977,14.125474,3.572187,14.199025
4.260774,0.517121,4.247447,0.308699,4.98374,0.641396,-10.418108,0.585998,3.567475,14.125356,3.572686,14.201483
4.261599,0.517196,4.248234,0.30846,4.984568,0.642084,-10.417608,0.586282,3.567972,14.125984,3.573184,14.200932
4.262424,0.517019,4.249021,0.308466,4.985395,0.6425,-10.417109,0.587195,3.56847,14.12486,3.573682,14.19963
4.263249,0.516456,4.249807,0.309145,4.986222,0.641696,-10.416611,0.587741,3.568968,14.123644,3.574181,14.199286
4.264074,0.515958,4.250593,0.309024,4.98705,0.640665,-10.416111,0.587653,3.569465,14.122008,3.57468,14.200082
4.264899,0.515424,4.25138,0.308919,4.987877,0.640447,-10.415612,0.588579,3.569963,14.122897,3.575178,14.20023
4.265724,0.514546,4.252167,0.308684,4.988704,0.641258,-10.415113,0.587882,3.570461,14.124039,3.575676,14.200443
4.266549,0.51415,4.252954,0.307171,4.989532,0.640226,-10.414615,0.58851,3.570958,14.123237,3.576175,14.202198
4.267374,0.514555,4.25374,0.306091,4.990359,0.640834,-10.414116,0.588605,3.571456,14.122911,3.576673,14.20405
4.268198,0.513936,4.254527,0.306339,4.991186,0.641383,-10.413616,0.588762,3.571954,14.123047,3.577172,14.205277
4.269023,0.513668,4.255313,0.306127,4.992013,0.641116,-10.413117,0.587877,3.572452,14.124098,3.577671,14.204958
4.269848,0.514006,4.2561,0.305539,4.992841,0.639923,-10.412619,0.585795,3.572949,14.123146,3.578168,14.20484
4.270673,0.513628,4.256886,0.305126,4.993668,0.638747,-10.412119,0.585178,3.573447,14.122367,3.578667,14.205813
4.271498,0.514463,4.257673,0.305072,4.994495,0.637644,-10.41162,0.584838,3.573945,14.122504,3.579166,14.206073
4.272323,0.516238,4.25846,0.304816,4.995323,0.638276,-10.411121,0.583954,3.574443,14.122998,3.579664,14.207059
4.273148,0.515746,4.259247,0.305844,4.99615,0.637499,-10.410623,0.582375,3.57494,14.121308,3.580163,14.207679
4.273973,0.516836,4.260034,0.307126,4.996977,0.63679,-10.410124,0.582231,3.575438,14.12024,3.580661,14.206879
4.274797,0.51838,4.260819,0.307969,4.997805,0.636685,-10.409624,0.582724,3.575936,14.120102,3.581159,14.206855
4.275622,0.519088,4.261606,0.309076,4.998632,0.636442,-10.409125,0.582943,3.576433,14.120426,3.581658,14.20802
4.276447,0.518584,4.262393,0.310821,4.999459,0.636658,-10.408627,0.583994,3.576931,14.11963,3.582157,14.209402
4.277272,0.516566,4.26318,0.311529,5.000286,0.637347,-10.408128,0.58496,3.577429,14.118386,3.582654,14.209672
4.278097,0.516044,4.263967,0.311587,5.001113,0.636279,-10.407629,0.584596,3.577926,14.118958,3.583153,14.209682
4.278922,0.515348,4.264753,0.311595,5.001941,0.635934,-10.407129,0.583657,3.578424,14.119847,3.583652,14.20968
4.279747,0.514509,4.265539,0.311621,5.002768,0.636457,-10.406631,0.583118,3.578922,14.120169,3.58415,14.209486
4.280571,0.514126,4.266326,0.311837,5.003595,0.637591,-10.406132,0.582951,3.579419,14.118669,3.584649,14.208901
4.281396,0.513704,4.267113,0.309855,5.004423,0.637584,-10.405632,0.581347,3.579917,14.117848,3.585147,14.207525
4.282221,0.512761,4.2679,0.308522,5.00525,0.636731,-10.405133,0.578036,3.580415,14.118609,3.585645,14.206686
4.283046,0.511705,4.268686,0.309591,5.006077,0.636135,-10.404634,0.576902,3.580913,14.119638,3.586144,14.206096
4.283871,0.511578,4.269473,0.309896,5.006905,0.636302,-10.404136,0.575484,3.58141,14.120865,3.586643,14.206747
4.284696,0.511867,4.270259,0.308795,5.007732,0.637206,-10.403637,0.575136,3.581908,14.121061,3.587141,14.207606
4.285521,0.512773,4.271046,0.309294,5.008559,0.63906,-10.403137,0.574024,3.582406,14.122082,3.587639,14.208354
4.286346,0.513995,4.271832,0.310064,5.009387,0.64008,-10.402638,0.573922,3.582904,14.122918,3.588138,14.208631
4.287171,0.51473,4.272619,0.31036,5.010214,0.641825,-10.40214,0.572683,3.583401,14.121586,3.588636,14.208473
4.287996,0.513719,4.273406,0.311024,5.011041,0.641767,-10.401641,0.572267,3.583899,14.12009,3.589135,14.20743
4.288821,0.512571,4.274193,0.311386,5.011868,0.641994,-10.401142,0.573333,3.584397,14.119758,3.589633,14.206244
4.289645,0.513039,4.27498,0.311539,5.012696,0.642373,-10.400642,0.574223,3.584894,14.120102,3.590131,14.206443
4.29047,0.513757,4.275765,0.311378,5.013523,0.643111,-10.400144,0.575417,3.585392,14.120135,3.59063,14.206244
4.291295,0.514739,4.276552,0.311266,5.01435,0.642795,-10.399645,0.57531,3.58589,14.120366,3.591129,14.206462
4.29212,0.514727,4.277339,0.312713,5.015178,0.644729,-10.399145,0.575067,3.586387,14.12065,3.591627,14.206587
4.292945,0.514336,4.278126,0.31522,5.016005,0.644144,-10.398646,0.574535,3.586885,14.120861,3.592125,14.205735
4.29377,0.515503,4.278913,0.316624,5.016832,0.64315,-10.398148,0.574416,3.587383,14.121572,3.592624,14.206303
4.294595,0.513868,4.279699,0.317007,5.01766,0.644474,-10.397649,0.573905,3.58788,14.12219,3.593122,14.205882
4.29542,0.511669,4.280485,0.316726,5.018487,0.646749,-10.39715,0.572022,3.588378,14.122339,3.593621,14.206057
4.296245,0.511798,4.281272,0.316409,5.019314,0.647409,-10.39665,0.571334,3.588876,14.12255,3.59412,14.206056
4.29707,0.511428,4.282059,0.315833,5.020142,0.647139,-10.396152,0.571743,3.589374,14.123204,3.594617,14.206406
4.297894,0.512617,4.282845,0.313557,5.020969,0.647387,-10.395653,0.571139,3.589871,14.123934,3.595116,14.207108
4.298719,0.511601,4.283632,0.31282,5.021796,0.648272,-10.395153,0.570099,3.590369,14.12371,3.595615,14.206921
4.299544,0.512282,4.284419,0.312584,5.022624,0.647961,-10.394655,0.569272,3.590867,14.123474,3.596113,14.206552
4.300369,0.512699,4.285205,0.313232,5.023451,0.648662,-10.394156,0.570562,3.591365,14.123994,3.596611,14.208017
4.301194,0.512662,4.285992,0.311569,5.024278,0.649002,-10.393657,0.572106,3.591862,14.125709,3.59711,14.208352
4.302019,0.511306,4.286778,0.312775,5.025105,0.650274,-10.393158,0.573724,3.59236,14.127161,3.597608,14.208472
4.302844,0.510879,4.287565,0.313607,5.025933,0.651888,-10.392658,0.577104,3.592858,14.126298,3.598107,14.209418
4.303668,0.510477,4.288352,0.313649,5.02676,0.652028,-10.392159,0.576465,3.593355,14.125176,3.598606,14.210264
4.304493,0.510542,4.289139,0.313221,5.027587,0.652164,-10.391661,0.57687,3.593853,14.125482,3.599103,14.211446
4.305318,0.508654,4.289926,0.312652,5.028414,0.651052,-10.391162,0.577502,3.594351,14.126778,3.599602,14.212123
4.306143,0.508686,4.290711,0.312565,5.029242,0.648411,-10.390663,0.577745,3.594848,14.127344,3.600101,14.211809
4.306968,0.509556,4.291498,0.311745,5.030069,0.647743,-10.390163,0.576863,3.595346,14.127937,3.600599,14.210714
4.307793,0.509693,4.292285,0.31002,5.030896,0.646085,-10.389665,0.578346,3.595844,14.129501,3.601098,14.21057
4.308618,0.510187,4.293072,0.308941,5.031723,0.647427,-10.389166,0.578766,3.596341,14.131257,3.601596,14.209764
4.309443,0.510643,4.293859,0.308003,5.032551,0.647035,-10.388666,0.57699,3.596839,14.132953,3.602094,14.210513
4.310267,0.513172,4.294645,0.307162,5.033378,0.647565,-10.388167,0.574858,3.597337,14.133171,3.602593,14.210094
4.311092,0.513293,4.295431,0.308342,5.034205,0.649012,-10.387669,0.576852,3.597835,14.132042,3.603092,14.209077
4.311917,0.512558,4.296218,0.309385,5.035033,0.649989,-10.38717,0.577784,3.598332,14.131348,3.60359,14.208895
4.312742,0.51293,4.297005,0.310719,5.03586,0.649203,-10.386671,0.577668,3.59883,14.130759,3.604088,14.207351
4.313567,0.513077,4.297791,0.310329,5.036687,0.649757,-10.386171,0.576002,3.599328,14.130491,3.604587,14.206977
4.314392,0.513535,4.298578,0.308168,5.037515,0.651242,-10.385673,0.574925,3.599826,14.130047,3.605085,14.206979
4.315217,0.512952,4.299365,0.308923,5.038342,0.652618,-10.385174,0.574679,3.600323,14.129013,3.605584,14.205965
4.316042,0.513693,4.300151,0.309196,5.039169,0.651075,-10.384675,0.574903,3.600821,14.128846,3.606082,14.208708
4.316867,0.513924,4.300938,0.307602,5.039997,0.652018,-10.384176,0.575448,3.601319,14.129855,3.60658,14.209307
4.317692,0.515163,4.301724,0.308491,5.040824,0.652369,-10.383677,0.575799,3.601816,14.130344,3.607079,14.20975
4.318517,0.515855,4.302511,0.30757,5.041651,0.651959,-10.383178,0.576401,3.602314,14.130955,3.607578,14.208799
4.319341,0.51778,4.303298,0.307678,5.042479,0.651798,-10.382679,0.578156,3.602812,14.131888,3.608076,14.210135
4.320166,0.518636,4.304085,0.307108,5.043306,0.651834,-10.382179,0.576705,3.603309,14.133252,3.608574,14.211452
4.320991,0.52017,4.304872,0.306756,5.044133,0.651279,-10.38168,0.575932,3.603807,14.13341,3.609073,14.212196
4.321816,0.521208,4.305657,0.307422,5.04496,0.650414,-10.381182,0.5745,3.604305,14.132784,3.609571,14.211411
4.322641,0.523079,4.306444,0.309797,5.045788,0.650381,-10.380683,0.572783,3.604802,14.132607,3.61007,14.209779
4.323466,0.525002,4.307231,0.310075,5.046615,0.650263,-10.380184,0.572148,3.6053,14.133842,3.610569,14.210581
4.324291,0.526774,4.308018,0.309983,5.047442,0.649277,-10.379684,0.572162,3.605798,14.13386,3.611066,14.212743
4.325116,0.527748,4.308805,0.311108,5.04827,0.649574,-10.379186,0.571539,3.606296,14.132952,3.611565,14.213552
4.325941,0.529392,4.309591,0.311719,5.049097,0.650121,-10.378687,0.573258,3.606793,14.132509,3.612064,14.211005
4.326766,0.529259,4.310377,0.311925,5.049924,0.65219,-10.378187,0.57275,3.607291,14.131293,3.612562,14.210936
4.32759,0.527864,4.311164,0.312059,5.050752,0.653497,-10.377689,0.572814,3.607789,14.130759,3.61306,14.212575
4.328415,0.526208,4.311951,0.312357,5.051579,0.653148,-10.37719,0.571772,3.608287,14.132255,3.613559,14.211888
4.32924,0.525352,4.312737,0.313184,5.052406,0.653935,-10.376691,0.571103,3.608784,14.133784,3.614057,14.211407
4.330065,0.525689,4.313524,0.314109,5.053234,0.652656,-10.376192,0.572889,3.609282,14.133323,3.614556,14.211493
4.33089,0.524295,4.314311,0.314819,5.054061,0.652822,-10.375692,0.572125,3.60978,14.132298,3.615055,14.212393
4.331715,0.522964,4.315098,0.315844,5.054888,0.653285,-10.375194,0.571453,3.610277,14.133141,3.615552,14.214162
4.33254,0.522143,4.315884,0.314856,5.055716,0.651735,-10.374695,0.573175,3.610775,14.133141,3.616051,14.215488
4.333364,0.520693,4.31667,0.312837,5.056543,0.651245,-10.374196,0.573096,3.611273,14.1343,3.61655,14.215471
4.334189,0.519733,4.317457,0.310656,5.05737,0.651934,-10.373697,0.573621,3.61177,14.135195,3.617048,14.215137
4.335014,0.519835,4.318244,0.308664,5.058197,0.65263,-10.373198,0.574664,3.612268,14.13659,3.617547,14.214744
4.335839,0.520173,4.319031,0.308553,5.059024,0.652816,-10.372699,0.575537,3.612766,14.137568,3.618045,14.215212
4.336664,0.51985,4.319818,0.306955,5.059852,0.651838,-10.3722,0.576827,3.613263,14.137194,3.618543,14.213719
4.337489,0.519405,4.320603,0.305126,5.060679,0.652527,-10.3717,0.576198,3.613761,14.136017,3.619042,14.212868
4.338314,0.518229,4.32139,0.306162,5.061506,0.652865,-10.371202,0.575032,3.614259,14.136389,3.619541,14.213926
4.339139,0.518531,4.322177,0.307871,5.062334,0.654342,-10.370703,0.574396,3.614757,14.13613,3.620039,14.21387
4.339963,0.517224,4.322964,0.308367,5.063161,0.65439,-10.370204,0.572501,3.615254,14.135667,3.620537,14.212815
4.340788,0.514727,4.32375,0.309088,5.063988,0.654128,-10.369705,0.574269,3.615752,14.133776,3.621036,14.211516
4.341613,0.513508,4.324537,0.308674,5.064816,0.653988,-10.369205,0.572382,3.61625,14.132827,3.621534,14.208102
4.342438,0.51365,4.325323,0.310195,5.065643,0.654618,-10.368707,0.572327,3.616748,14.131199,3.622033,14.207362
4.343263,0.513964,4.32611,0.311505,5.06647,0.655051,-10.368208,0.572898,3.617245,14.129644,3.622531,14.208272
4.344088,0.513655,4.326897,0.30992,5.067297,0.654534,-10.367709,0.572424,3.617743,14.129888,3.623029,14.20799
4.344913,0.513446,4.327683,0.30913,5.068125,0.653974,-10.36721,0.572149,3.618241,14.130714,3.623528,14.206056
4.345738,0.513708,4.32847,0.309108,5.068952,0.65264,-10.366711,0.572883,3.618738,14.131206,3.624027,14.206135
4.346563,0.513915,4.329257,0.309156,5.069779,0.651887,-10.366212,0.572126,3.619236,14.131136,3.624525,14.207427
4.347388,0.514796,4.330044,0.309444,5.070607,0.65056,-10.365713,0.572159,3.619734,14.132234,3.625023,14.208303
4.348213,0.515009,4.33083,0.309747,5.071434,0.649181,-10.365213,0.57242,3.620231,14.132121,3.625522,14.208048
4.349038,0.515064,4.331616,0.311198,5.072261,0.649477,-10.364715,0.57231,3.620729,14.131636,3.62602,14.208215
4.349862,0.51471,4.332403,0.312071,5.073089,0.648573,-10.364216,0.570614,3.621227,14.131433,3.626519,14.207081
4.350687,0.514207,4.33319,0.311068,5.073916,0.648604,-10.363717,0.569944,3.621724,14.132507,3.627017,14.20635
4.351512,0.51593,4.333977,0.310289,5.074743,0.648392,-10.363218,0.570367,3.622222,14.134462,3.627515,14.20703
4.352337,0.517427,4.334764,0.310356,5.075571,0.648228,-10.362719,0.568597,3.62272,14.134787,3.628014,14.206519
4.353162,0.5173,4.335549,0.308881,5.076398,0.649443,-10.36222,0.565716,3.623218,14.134348,3.628513,14.205139
4.353987,0.517193,4.336336,0.306854,5.077225,0.6498,-10.361721,0.565539,3.623715,14.133662,3.629011,14.205073
4.354812,0.51692,4.337123,0.309198,5.078053,0.649275,-10.361222,0.565557,3.624213,14.133284,3.629509,14.205061
4.355637,0.515431,4.33791,0.309977,5.07888,0.648836,-10.360723,0.565309,3.624711,14.131978,3.630008,14.203342
4.356462,0.514452,4.338696,0.312871,5.079707,0.648116,-10.360224,0.564566,3.625209,14.131543,3.630506,14.20304
4.357286,0.514397,4.339483,0.311916,5.080534,0.647814,-10.359725,0.563146,3.625706,14.131454,3.631005,14.202889
4.358111,0.514084,4.340269,0.313477,5.081362,0.645913,-10.359226,0.561375,3.626204,14.132032,3.631504,14.203436
4.358936,0.514838,4.341056,0.313838,5.082189,0.644599,-10.358727,0.561332,3.626702,14.13017,3.632001,14.203386
4.359761,0.514801,4.341843,0.313469,5.083016,0.644146,-10.358228,0.561449,3.627199,14.130157,3.6325,14.203661
4.360586,0.515695,4.342629,0.311654,5.083844,0.644416,-10.357729,0.56244,3.627697,14.130663,3.632999,14.203228
4.361411,0.517146,4.343416,0.31013,5.084671,0.644918,-10.35723,0.562105,3.628195,14.130916,3.633497,14.20265
4.362236,0.518051,4.344203,0.311023,5.085498,0.64579,-10.356731,0.562555,3.628692,14.131845,3.633996,14.203179
4.36306,0.518029,4.34499,0.312099,5.086326,0.645458,-10.356232,0.562189,3.62919,14.133181,3.634494,14.202706
4.363885,0.516979,4.345776,0.312984,5.087152,0.644733,-10.355733,0.563136,3.629688,14.135818,3.634992,14.201843
4.36471,0.516786,4.346562,0.313661,5.08798,0.64494,-10.355234,0.562496,3.630185,14.136252,3.635491,14.201459
4.365535,0.517763,4.347349,0.313816,5.088807,0.645188,-10.354734,0.563432,3.630683,14.136809,3.63599,14.201887
4.36636,0.517776,4.348136,0.314138,5.089634,0.644998,-10.354236,0.563846,3.631181,14.136153,3.636487,14.200169
4.367185,0.516218,4.348923,0.314028,5.090462,0.646049,-10.353737,0.56301,3.631679,14.135803,3.636986,14.199361
4.36801,0.515443,4.34971,0.313585,5.091289,0.646171,-10.353238,0.563353,3.632176,14.136233,3.637485,14.197292
4.368835,0.515345,4.350495,0.313546,5.092116,0.645989,-10.352739,0.563699,3.632674,14.1358,3.637983,14.197184
4.369659,0.515394,4.351282,0.312927,5.092944,0.645204,-10.35224,0.563438,3.633172,14.13585,3.638482,14.19838
4.370484,0.515671,4.352069,0.311541,5.093771,0.646241,-10.351741,0.564718,3.63367,14.134685,3.63898,14.199886
4.371309,0.517075,4.352856,0.310589,5.094598,0.647209,-10.351242,0.566808,3.634167,14.133582,3.639478,14.19927
4.372134,0.517155,4.353642,0.312245,5.095426,0.646254,-10.350743,0.5673,3.634665,14.133921,3.639977,14.19821
4.372959,0.515026,4.354429,0.314502,5.096253,0.643908,-10.350245,0.567346,3.635163,14.132094,3.640476,14.198315
4.373784,0.515322,4.355215,0.31547,5.09708,0.643469,-10.349745,0.56859,3.63566,14.133136,3.640974,14.198579
4.374609,0.517889,4.356002,0.314761,5.097908,0.64359,-10.349246,0.570254,3.636158,14.135703,3.641472,14.199598
4.375434,0.51807,4.356789,0.317281,5.098735,0.644254,-10.348747,0.570017,3.636656,14.134305,3.641971,14.20012
4.376259,0.520887,4.357575,0.316258,5.099562,0.644394,-10.348248,0.569231,3.637153,14.133723,3.642469,14.200883
4.377084,0.521532,4.358362,0.316439,5.100389,0.643457,-10.347749,0.569493,3.637651,14.135741,3.642968,14.201256
4.377909,0.522401,4.359149,0.314468,5.101217,0.643478,-10.34725,0.569355,3.638149,14.136055,3.643466,14.201373
4.378734,0.522016,4.359936,0.315409,5.102044,0.644625,-10.346751,0.570579,3.638646,14.137499,3.643964,14.201306
4.379558,0.522704,4.360722,0.314586,5.102871,0.645283,-10.346252,0.572838,3.639144,14.136853,3.644463,14.199993
4.380383,0.522304,4.361508,0.315926,5.103699,0.645513,-10.345753,0.573413,3.639642,14.137421,3.644962,14.199942
4.381208,0.52062,4.362295,0.315474,5.104526,0.64477,-10.345254,0.57294,3.64014,14.135789,3.64546,14.200671
4.382033,0.518116,4.363082,0.315926,5.105353,0.644352,-10.344755,0.573655,3.640637,14.135777,3.645958,14.202397
4.382858,0.518983,4.363869,0.317211,5.106181,0.6431,-10.344256,0.575474,3.641135,14.136916,3.646457,14.204109
4.383683,0.517282,4.364655,0.317855,5.107008,0.642663,-10.343758,0.577289,3.641633,14.135539,3.646955,14.204694
4.384508,0.518922,4.365441,0.317774,5.107835,0.643282,-10.343258,0.578214,3.642131,14.134089,3.647454,14.205153
4.385333,0.518844,4.366228,0.316701,5.108663,0.64265,-10.342759,0.578218,3.642628,14.134192,3.647953,14.205591
4.386158,0.518349,4.367015,0.31742,5.10949,0.644278,-10.34226,0.578946,3.643126,14.131655,3.64845,14.205711
4.386982,0.515889,4.367802,0.317122,5.110317,0.646146,-10.341761,0.578947,3.643624,14.133856,3.648949,14.20717
4.387807,0.516447,4.368588,0.317454,5.111145,0.646407,-10.341262,0.577973,3.644121,14.133319,3.649448,14.208343
4.388632,0.516633,4.369375,0.316819,5.111972,0.647011,-10.340763,0.577113,3.644619,14.1318,3.649946,14.208243
4.389457,0.518241,4.370161,0.316226,5.112799,0.647542,-10.340264,0.576956,3.645117,14.13259,3.650445,14.206618
4.390282,0.518663,4.370948,0.314835,5.113626,0.648314,-10.339766,0.577181,3.645614,14.13158,3.650943,14.205603
4.391107,0.518147,4.371735,0.313278,5.114454,0.647668,-10.339266,0.576593,3.646112,14.130212,3.651441,14.202907
4.391932,0.516284,4.372521,0.312838,5.115281,0.646018,-10.338767,0.576313,3.64661,14.13113,3.65194,14.20259
4.392756,0.516254,4.373308,0.313467,5.116108,0.645945,-10.338268,0.57469,3.647107,14.127451,3.652439,14.202249
4.393581,0.513531,4.374095,0.312421,5.116935,0.647318,-10.337769,0.574469,3.647605,14.127814,3.652936,14.201432
4.394406,0.512596,4.374882,0.310095,5.117763,0.646902,-10.33727,0.574718,3.648103,14.127266,3.653435,14.201127
4.395231,0.510885,4.375668,0.309657,5.11859,0.645731,-10.336771,0.574387,3.648601,14.125675,3.653934,14.200178
4.396056,0.510821,4.376454,0.309423,5.119417,0.644442,-10.336272,0.576009,3.649099,14.126444,3.654432,14.199748
4.396881,0.509244,4.377241,0.310408,5.120245,0.644178,-10.335773,0.57887,3.649596,14.127616,3.654931,14.200764
4.397706,0.510143,4.378028,0.311849,5.121072,0.644378,-10.335274,0.579966,3.650094,14.125424,3.655429,14.201564
4.398531,0.509832,4.378815,0.314699,5.121899,0.643023,-10.334775,0.580374,3.650592,14.12335,3.655927,14.202096
4.399356,0.513434,4.379601,0.314884,5.122726,0.643406,-10.334276,0.578984,3.651089,14.122252,3.656426,14.201325
4.40018,0.513468,4.380387,0.31666,5.123554,0.642429,-10.333777,0.57759,3.651587,14.123108,3.656925,14.200395
4.401005,0.51285,4.381174,0.316154,5.124381,0.640234,-10.333279,0.576381,3.652085,14.124931,3.657423,14.200482
4.40183,0.513171,4.381961,0.316871,5.125208,0.640775,-10.332779,0.57718,3.652582,14.127118,3.657921,14.201266
4.402655,0.514549,4.382748,0.316469,5.126036,0.640528,-10.33228,0.575711,3.65308,14.127811,3.65842,14.201294
4.40348,0.515231,4.383534,0.318174,5.126863,0.640242,-10.331781,0.574729,3.653578,14.127602,3.658918,14.201044
4.404305,0.51534,4.384321,0.317565,5.12769,0.640105,-10.331282,0.575558,3.654075,14.128202,3.659417,14.200074
4.40513,0.513516,4.385107,0.316745,5.128518,0.640277,-10.330783,0.575603,3.654573,14.127072,3.659915,14.200689
