metric,Ess_mean,Ess_mean_lb,Ess_mean_ub,Ess_median,Ess_median_lb,Ess_median_ub,NonEss_mean,NonEss_mean_lb,NonEss_mean_ub,NonEss_median,NonEss_median_lb,NonEss_median_ub,MWU_pvalues,Perm_pvalues
Gn,0.7790802962962963,0.7587575018599502,0.8031227883029516,0.76571,0.60315,1.10043,0.80884185520362,0.7905886732808692,0.8329362777139202,0.75558,0.60531,1.2865114999999998,0.35136449667436603,0.131986801319868
N_term_thread,1.1925925925925926,1.1037037037037036,1.3111111111111111,1.0,1.0,3.0,1.225,1.165909090909091,1.2977272727272726,1.0,1.0,3.0,0.008569664095443179,0.0395960403959604
Gc,0.8300310370370371,0.7950295115066597,0.8814432435261308,0.75437,0.60805,1.66445,0.8427382121212121,0.8203138345779479,0.8700147141829085,0.78732,0.61231,1.60119,0.05296759370513755,0.5937406259374063
C_term_thread,1.2518518518518518,1.1481481481481481,1.4133137365589425,1.0,1.0,3.0,1.203647416413374,1.148936170212766,1.2735562310030395,1.0,1.0,3.0,0.032331862898389886,0.0527947205279472
loopsize,112.68897637795276,95.83380097346877,137.1535433070866,61.0,14.0,620.0,104.8695652173913,98.54590441036825,111.97615708274895,69.0,17.0,332.0,0.9936467062357467,0.34796520347965204
num_zipper_nc,13.968503937007874,12.10236220472441,16.248031496062993,7.0,1.0,53.0,15.32117812061711,13.955119214586254,16.86574296928446,8.0,1.0,73.0,0.3243490966950222,0.33056694330566944
perc_bb_loop,0.2122462267725699,0.18737399311319453,0.23834034701619952,0.1238095238095238,0.0163468372423596,0.746268656716418,0.2679992207393283,0.25351012812958207,0.28316072378771306,0.2019867549668874,0.0397456279809221,0.7837837837837838,2.0781927732477336e-08,0.0005999400059994001
num_loop_contacting_res,167.0708661417323,148.93616826330526,192.4299602433327,108.0,42.0,715.0,165.8625525946704,158.1270477081642,174.4982559108731,126.0,51.0,442.17499999999745,0.9980812451179631,0.8821117888211178
num_cross_nearest_neighbors,40.25590551181102,38.62992125984252,42.26263895908089,36.0,26.0,78.0,43.245441795231415,41.890603085554,44.8882217111298,37.0,27.0,105.0,0.011284670301910788,0.028597140285971403
ent_coverage,0.161519918516129,0.1489139441931403,0.17591769722354197,0.1245283018867924,0.0424739195230998,0.4596774193548387,0.2087150531053828,0.20128298424181434,0.21630680569946836,0.1896869244935543,0.0721003134796238,0.4736842105263157,7.553217265074258e-15,0.00019998000199980003
min_N_prot_depth_left,0.32220597413178126,0.2811715615117499,0.36724382033378067,0.2608386638237384,0.0146788990825688,0.8675078864353313,0.3254669482097772,0.30396318635829156,0.34793686188043776,0.2735849056603773,0.02,0.7861635220125787,0.29384671073154084,0.8887111288871112
min_N_thread_depth_left,0.7202163834395844,0.6722332249457338,0.7614023808820324,0.8297872340425532,0.1363636363636363,0.9829545454545454,0.7168005776366897,0.6909181836139564,0.7394722869047656,0.8235294117647058,0.0795454545454545,0.980456026058632,0.2754638632742172,0.9047095290470953
min_N_thread_slippage_left,216.57037037037037,179.6383240114375,262.50034131205643,133.0,8.0,817.0,144.93636363636364,132.05094472601604,159.7107899012801,95.0,8.0,554.0,0.039671131409481815,0.00019998000199980003
min_C_prot_depth_right,0.3717970730119999,0.3313782749292883,0.4175647964096645,0.3170731707317073,0.0432098765432098,0.8616279069767442,0.30861671237657623,0.28664271586314066,0.3314979133951573,0.2815126050420168,0.0337552742616033,0.7489539748953975,0.016994181559798874,0.007399260073992601
min_C_thread_depth_right,0.7894731171708113,0.7541199764785692,0.8208212776740433,0.8541666666666666,0.237037037037037,0.9897810218978104,0.7145020562802975,0.6868270994155417,0.739644015875095,0.7878787878787878,0.12,0.9733727810650888,0.0005642697781251865,0.0005999400059994001
min_C_thread_slippage_right,241.63703703703703,205.59975806494134,286.1083618491566,153.0,14.0,878.0,140.37993920972644,127.44463691710172,154.9787234042553,96.0,10.0,495.0,1.1595092332451721e-05,0.00019998000199980003
ACO,132.04296766805072,117.33870457553546,150.82666260393702,90.66666666666669,21.33333333333333,505.7977528089888,127.40438067208224,121.11430273253404,134.31044443277548,100.5,26.0,352.3157894736842,0.9683120685871748,0.5421457854214579
RCO,0.2612579724476971,0.23689355641777818,0.28793810393778,0.1999564838990426,0.0220338983050847,0.7294520547945206,0.3279182175730946,0.31335969714028017,0.3434253994076105,0.2790715032094342,0.0524642289348171,0.7959641255605381,5.6179136213046495e-08,0.00019998000199980003
