C|<BA>|BA_lb|BA_ub|pvalue|num_nonzero|num_nonzero_and_robust|robust_features
0.01|0.5|0.5|0.5|1.0|0|0|
0.1|0.5085714285714286|0.5058280000595115|0.5113148570833457|0.07307944038572814|4|4|ent_coverage,min_C_thread_slippage_right,min_N_thread_slippage_left,num_cross_nearest_neighbors
0.15|0.5417582417582416|0.5332077166696906|0.5503087668467926|0.0|6|6|C_term_thread,loopsize,min_C_thread_slippage_right,min_N_prot_depth_left,min_N_thread_slippage_left,num_cross_nearest_neighbors
0.2|0.5474725274725275|0.539220625916526|0.555724429028529|0.0|6|6|RCO,loopsize,min_C_thread_slippage_right,min_N_prot_depth_left,min_N_thread_slippage_left,num_cross_nearest_neighbors
0.25|0.5492307692307692|0.5404473011661262|0.5580142372954122|0.0|7|7|C_term_thread,RCO,loopsize,min_C_thread_slippage_right,min_N_prot_depth_left,min_N_thread_slippage_left,num_cross_nearest_neighbors
0.5|0.5751648351648352|0.5676166568117685|0.5827130135179018|0.0|7|7|C_term_thread,loopsize,min_C_prot_depth_right,min_C_thread_slippage_right,min_N_prot_depth_left,min_N_thread_slippage_left,num_cross_nearest_neighbors
1.0|0.5815384615384616|0.5602820186446695|0.6027949044322536|0.0|10|9|C_term_thread,N_term_thread,loopsize,min_C_prot_depth_right,min_C_thread_slippage_right,min_N_prot_depth_left,min_N_thread_slippage_left,num_cross_nearest_neighbors,num_loop_contacting_res
1.5|0.5815384615384616|0.5700783806812233|0.5929985423956998|0.0|10|9|C_term_thread,N_term_thread,ent_coverage,loopsize,min_C_prot_depth_right,min_C_thread_slippage_right,min_N_prot_depth_left,min_N_thread_slippage_left,num_cross_nearest_neighbors
2.0|0.585054945054945|0.5750610989010989|0.5950487912087912|0.0|12|10|C_term_thread,N_term_thread,loopsize,min_C_prot_depth_right,min_C_thread_slippage_right,min_N_prot_depth_left,min_N_thread_slippage_left,num_cross_nearest_neighbors,num_loop_contacting_res,perc_bb_loop
2.5|0.5810989010989009|0.5660517921155316|0.5961460100822703|0.0|14|11|C_term_thread,N_term_thread,RCO,loopsize,min_C_prot_depth_right,min_C_thread_depth_right,min_C_thread_slippage_right,min_N_prot_depth_left,min_N_thread_slippage_left,num_cross_nearest_neighbors,num_loop_contacting_res
5.0|0.5982417582417583|0.589780239920104|0.6067032765634126|0.0|16|11|C_term_thread,N_term_thread,ent_coverage,loopsize,min_C_prot_depth_right,min_C_thread_depth_right,min_C_thread_slippage_right,min_N_prot_depth_left,min_N_thread_slippage_left,num_cross_nearest_neighbors,num_loop_contacting_res
7.5|0.5925274725274725|0.5875978461148478|0.5974570989400972|0.0|17|11|C_term_thread,Gc,N_term_thread,ent_coverage,loopsize,min_C_prot_depth_right,min_C_thread_slippage_right,min_N_prot_depth_left,min_N_thread_slippage_left,num_cross_nearest_neighbors,num_loop_contacting_res
10.0|0.587032967032967|0.5809507251541702|0.5931152089117638|0.0|16|13|C_term_thread,Gc,N_term_thread,RCO,ent_coverage,loopsize,min_C_prot_depth_right,min_C_thread_slippage_right,min_N_prot_depth_left,min_N_thread_slippage_left,num_cross_nearest_neighbors,num_loop_contacting_res,perc_bb_loop
