metric,Ess_mean,Ess_mean_lb,Ess_mean_ub,Ess_median,Ess_median_lb,Ess_median_ub,NonEss_mean,NonEss_mean_lb,NonEss_mean_ub,NonEss_median,NonEss_median_lb,NonEss_median_ub,MWU_pvalues,Perm_pvalues
Gn,0.7782977777777778,0.7614516232206027,0.7981906814348363,0.76217,0.60315,1.10043,0.8002942064714946,0.7857415412049512,0.8188798619543284,0.75558,0.60456,1.26517,0.44588020396424133,0.16818318168183183
N_term_thread,1.1702127659574468,1.1000384969820267,1.2659574468085106,1.0,1.0,3.0,1.2310077519379845,1.178294573643411,1.2992248062015503,1.0,1.0,3.0,0.003525415541806908,0.010998900109989001
Gc,0.8178537078651686,0.7893603299020582,0.8576107447044422,0.74412,0.60805,1.64376,0.8343190191897655,0.8146144444028581,0.8570866074241106,0.78282,0.60963,1.63614,0.08857113721327953,0.40995900409959
C_term_thread,1.2191011235955056,1.1348314606741574,1.3426966292134832,1.0,1.0,3.0,1.2286324786324787,1.1752136752136753,1.297008547008547,1.0,1.0,3.0,0.0335051776016408,0.14278572142785723
loopsize,110.3391304347826,97.24681717920335,128.39366252522976,62.0,16.0,492.84999999998763,102.83365570599614,97.6418584745436,108.50085204505214,68.0,17.0,336.0,0.9782790580188316,0.271972802719728
num_zipper_nc,14.002898550724638,12.391304347826088,15.936231884057971,7.0,1.0,63.0,14.827852998065763,13.775628626692457,16.00862246518614,8.0,1.0,69.0,0.3787901008945178,0.46215378462153783
perc_bb_loop,0.2168410862490003,0.19678183618002437,0.2392056966043825,0.1465201465201465,0.0163934426229508,0.7464114832535885,0.25199928192679316,0.2403481015555937,0.26413393684998554,0.1926070038910506,0.0385852090032154,0.7760617760617761,3.638752840741061e-06,0.0031996800319968005
num_loop_contacting_res,164.77971014492755,150.59805041263655,183.87601860773125,111.0,44.0,606.0,165.38104448742746,159.15711718902642,172.42392044032562,129.0,50.0,449.0,0.0023057353899685624,0.9491050894910509
num_cross_nearest_neighbors,39.802898550724635,38.43478260869565,41.40925229570692,36.0,26.0,77.0,43.10058027079304,41.95949613112278,44.42696541562425,36.0,27.0,103.0,0.007401958339329075,0.0031996800319968005
ent_coverage,0.16395776132061865,0.1533708949759709,0.17552523067423692,0.1337719298245614,0.0432190760059612,0.4263157894736842,0.1995880732965052,0.19343530891064759,0.2058871508134623,0.1813842482100238,0.0639658848614072,0.4732142857142857,2.607138203614027e-12,0.00019998000199980003
min_N_prot_depth_left,0.3309493303391964,0.29605703764353836,0.36678137567418384,0.2807017543859649,0.0153508771929824,0.8675078864353313,0.33987461611975706,0.32190448739143074,0.35849673067212146,0.3012345679012346,0.0221130221130221,0.8161849710982659,0.22119494702782222,0.6699330066993301
min_N_thread_depth_left,0.7317230200448598,0.6929598774460074,0.7669134662714119,0.8405797101449275,0.1363636363636363,0.9858156028368794,0.7293675267155689,0.7092994374261291,0.7479272337618836,0.8309037900874635,0.1379310344827586,0.9824,0.2027838732270249,0.9077092290770923
min_N_thread_slippage_left,216.86702127659575,186.51353139965624,252.72022013115563,141.0,8.0,805.0,162.9922480620155,150.9519523179139,176.56309400623874,113.0,8.0,659.0,0.04201950505782926,0.00019998000199980003
min_C_prot_depth_right,0.37920154392612,0.34317726480689353,0.4173056837109452,0.3473917869034406,0.0432098765432098,0.8571428571428571,0.32458708386997587,0.30465619194505655,0.34449570394853024,0.2914572864321608,0.0246734397677793,0.776,0.014595411389576879,0.005599440055994401
min_C_thread_depth_right,0.7873097361696747,0.7546631142600614,0.8147730733902819,0.8484848484848485,0.180327868852459,0.9897810218978104,0.7314825441218668,0.7092812081085365,0.7519939241503713,0.8055555555555556,0.1494845360824742,0.9787234042553192,0.0029651888032025103,0.0033996600339966003
min_C_thread_slippage_right,231.34831460674158,201.27348443006164,268.4447006876577,133.0,16.0,815.0,160.9957264957265,147.40037195702965,177.097696800673,108.0,10.0,597.0,0.0001651019246766233,0.00019998000199980003
ACO,130.4790805974376,118.76444320200427,144.74207600669243,93.0,18.0,487.8235294117647,126.70357832092162,121.15223356785854,132.5544047023479,99.66666666666669,23.0,352.3157894736842,0.9313849993136667,0.5477452254774523
RCO,0.26851243701073424,0.2471999922177691,0.29110564790169396,0.210989010989011,0.02333570244018,0.7503909026297085,0.3110263822169612,0.2988596249608353,0.3234118140540647,0.2619301994301994,0.0495735607675906,0.7758790075436103,5.4731224862405665e-06,0.00039996000399960006
