metric,Ess_mean,Ess_mean_lb,Ess_mean_ub,Ess_median,Ess_median_lb,Ess_median_ub,NonEss_mean,NonEss_mean_lb,NonEss_mean_ub,NonEss_median,NonEss_median_lb,NonEss_median_ub,MWU_pvalues,Perm_pvalues
Gn,0.7851471590909092,0.7588849830455097,0.8154104606993633,0.76985,0.60315,1.10043,0.7850443214285714,0.7682276477205775,0.8066008380845174,0.75314,0.60761,1.082386499999995,0.336021722283282,0.9793020697930207
N_term_thread,1.0909090909090908,1.0227272727272727,1.2045454545454546,1.0,1.0,3.0,1.2258064516129032,1.1505376344086022,1.3261648745519714,1.0,1.0,3.0,0.002476545861480755,0.0029997000299970002
Gc,0.8387738297872339,0.7926795066109027,0.9043126889493776,0.74053,0.60392,1.80084,0.8233071830985914,0.7992248139584541,0.8537970419364969,0.78234,0.60714,1.56635,0.7820351090243309,0.5869413058694131
C_term_thread,1.2765957446808511,1.148936170212766,1.4787234042553192,1.0,1.0,4.0,1.2112676056338028,1.1408450704225352,1.3098591549295775,1.0,1.0,3.0,0.05898385127587115,0.10618938106189381
loopsize,111.21714285714286,90.49079684460042,144.33822497859936,59.0,16.0,601.0,100.25714285714285,92.54282860608558,108.36043956043956,67.0,17.0,325.0,0.992081220261555,0.286971302869713
num_zipper_nc,13.125714285714286,11.01142857142857,16.035280098734866,6.0,1.0,53.0,14.698901098901098,13.137492846539987,16.571428571428573,7.0,1.0,70.0,0.1984021088533065,0.32216778322167783
perc_bb_loop,0.22281707525216993,0.1929385147786171,0.2559389601819516,0.1483253588516746,0.0163468372423596,0.746268656716418,0.2600074919661036,0.24221383333892474,0.2786353657185648,0.2,0.0417690417690417,0.75,9.929852416301893e-05,0.037396260373962605
num_loop_contacting_res,165.22285714285715,143.297855219822,198.89375911883428,101.0,42.0,671.0,160.13406593406594,151.274775552,169.87331833967036,120.0,48.0,417.0,0.9951633331022153,0.6457354264573543
num_cross_nearest_neighbors,38.857142857142854,37.14857142857143,41.01063561911602,35.0,26.0,74.0,43.32087912087912,41.56043956043956,45.491288517343385,37.0,27.0,107.0,0.009554677394222869,0.005599440055994401
ent_coverage,0.17472007058019934,0.15850847158001052,0.19349401769847346,0.1525885558583106,0.0398009950248756,0.4711538461538461,0.21303319791073924,0.20356596890675707,0.22338895498820385,0.1896869244935543,0.0770308123249299,0.5035971223021583,1.1541973622867239e-06,0.00039996000399960006
min_N_prot_depth_left,0.3484711196190316,0.299308834733283,0.4007017536608131,0.3210526315789473,0.0213068181818181,0.8764204545454546,0.33972612454632956,0.31240402286038577,0.36893031776741303,0.29,0.0180995475113122,0.7835820895522388,0.4639577679293946,0.7657234276572342
min_N_thread_depth_left,0.7395079690408563,0.6847402216712473,0.7877622039029,0.8444444444444444,0.1612903225806451,0.9882720875684128,0.7264181161544087,0.6941294066225183,0.7555650879751297,0.8256880733944955,0.0710059171597633,0.9815573770491804,0.24102851286287974,0.6783321667833216
min_N_thread_slippage_left,239.7840909090909,189.61065839165238,301.58839144528883,145.0,8.0,817.0,151.2258064516129,134.2731168557079,170.4324730642563,98.0,8.0,587.0,0.03497107468924617,0.0007999200079992001
min_C_prot_depth_right,0.35030701350699694,0.3018606159906641,0.4032900922469597,0.3098591549295774,0.0477987421383647,0.8406779661016949,0.30985166683705756,0.2831706425203088,0.33901048912473436,0.2815126050420168,0.0388349514563106,0.745398773006135,0.146925900942401,0.1327867213278672
min_C_thread_depth_right,0.778087818712756,0.734855796614599,0.8159063578006864,0.8432835820895522,0.237037037037037,0.9817073170731708,0.7140561355519931,0.6803359540783744,0.7448900406303407,0.7837837837837838,0.146067415730337,0.976063829787234,0.013958131940543548,0.0207979202079792
min_C_thread_slippage_right,211.18085106382978,171.5212765957447,265.9983005097021,128.0,14.0,959.0,143.72769953051642,127.26355494468127,163.16094573384478,95.0,13.0,499.0,0.011935726285042199,0.0027997200279972004
ACO,126.60568396105796,109.54511173122242,151.4977118318519,85.63157894736842,18.0,494.3333333333333,120.97873505108919,113.4050514103654,129.14319669068053,92.33333333333331,27.0,330.5,0.9707574808343175,0.5309469053094691
RCO,0.26961809221989474,0.23867882910973953,0.3033774048711207,0.2085828343313373,0.021321961620469,0.7503909026297085,0.3170082178331414,0.29854433003398584,0.3356532520882614,0.2701941603675707,0.0524642289348171,0.7618092691622104,0.00018542165959883124,0.0091990800919908
