C|<BA>|BA_lb|BA_ub|pvalue|num_nonzero|num_nonzero_and_robust|robust_features
0.01|0.5|0.5|0.5|1.0|0|0|
0.1|0.5286831439756047|0.5237414838388018|0.5336248041124075|0.0|6|6|RCO,ent_coverage,min_C_thread_slippage_right,min_N_prot_depth_left,min_N_thread_slippage_left,num_cross_nearest_neighbors
0.15|0.5579479415916865|0.5494525108081306|0.5664433723752423|0.0|7|7|RCO,loopsize,min_C_prot_depth_right,min_C_thread_slippage_right,min_N_prot_depth_left,min_N_thread_slippage_left,num_cross_nearest_neighbors
0.2|0.5580804089586193|0.548655602419001|0.5675052154982376|0.0|7|7|RCO,loopsize,min_C_thread_slippage_right,min_N_prot_depth_left,min_N_thread_slippage_left,num_cross_nearest_neighbors,perc_bb_loop
0.25|0.5621476546099579|0.5570398551155447|0.5672554541043711|0.0|9|9|C_term_thread,RCO,loopsize,min_C_prot_depth_right,min_C_thread_slippage_right,min_N_prot_depth_left,min_N_thread_slippage_left,num_cross_nearest_neighbors,perc_bb_loop
0.5|0.5825822948109609|0.5778611717973808|0.587303417824541|0.0|13|12|C_term_thread,Gc,N_term_thread,RCO,loopsize,min_C_prot_depth_right,min_C_thread_slippage_right,min_N_prot_depth_left,min_N_thread_slippage_left,num_cross_nearest_neighbors,num_loop_contacting_res,perc_bb_loop
1.0|0.5927622165186374|0.5832829298285981|0.6022415032086766|0.0|13|13|C_term_thread,Gc,N_term_thread,RCO,ent_coverage,loopsize,min_C_prot_depth_right,min_C_thread_slippage_right,min_N_prot_depth_left,min_N_thread_slippage_left,num_cross_nearest_neighbors,num_loop_contacting_res,perc_bb_loop
1.5|0.5934321508372876|0.5846167172891449|0.6022475843854304|0.0|14|13|C_term_thread,Gc,N_term_thread,RCO,ent_coverage,loopsize,min_C_prot_depth_right,min_C_thread_slippage_right,min_N_prot_depth_left,min_N_thread_slippage_left,num_cross_nearest_neighbors,num_loop_contacting_res,perc_bb_loop
2.0|0.6039551180661371|0.5961925234329655|0.6117177126993087|0.0|15|12|C_term_thread,Gc,N_term_thread,RCO,loopsize,min_C_prot_depth_right,min_C_thread_slippage_right,min_N_prot_depth_left,min_N_thread_slippage_left,num_cross_nearest_neighbors,num_loop_contacting_res,perc_bb_loop
2.5|0.6079159023798626|0.6029660083187818|0.6128657964409434|0.0|15|13|C_term_thread,Gc,N_term_thread,RCO,loopsize,min_C_prot_depth_right,min_C_thread_depth_right,min_C_thread_slippage_right,min_N_prot_depth_left,min_N_thread_slippage_left,num_cross_nearest_neighbors,num_loop_contacting_res,perc_bb_loop
5.0|0.6136071478921521|0.608629720985194|0.6185845747991102|0.0|17|13|C_term_thread,Gc,N_term_thread,ent_coverage,loopsize,min_C_prot_depth_right,min_C_thread_slippage_right,min_N_prot_depth_left,min_N_thread_slippage_left,num_cross_nearest_neighbors,num_loop_contacting_res,num_zipper_nc,perc_bb_loop
7.5|0.6100333215527913|0.6017752668661132|0.6182913762394695|0.0|16|14|C_term_thread,Gc,N_term_thread,RCO,loopsize,min_C_prot_depth_right,min_C_thread_depth_right,min_C_thread_slippage_right,min_N_prot_depth_left,min_N_thread_slippage_left,num_cross_nearest_neighbors,num_loop_contacting_res,num_zipper_nc,perc_bb_loop
10.0|0.6136658343037796|0.6014317690342798|0.6258998995732795|0.0|18|15|C_term_thread,Gc,Gn,N_term_thread,RCO,ent_coverage,loopsize,min_C_prot_depth_right,min_C_thread_depth_right,min_C_thread_slippage_right,min_N_prot_depth_left,min_N_thread_slippage_left,num_cross_nearest_neighbors,num_loop_contacting_res,perc_bb_loop
