metric|Ess_metric|Ess_mean|Ess_mean_lb|Ess_mean_ub|Ess_median|Ess_median_lb|Ess_median_ub|NonEss_metric|NonEss_mean|NonEss_mean_lb|NonEss_mean_ub|NonEss_median|NonEss_median_lb|NonEss_median_ub|pvalues|buff|qvalue
Gn|Gn|0.7782977777777778|0.7611621420791128|0.7973725954314639|0.76217|0.60255|1.10043|Gn|0.8002942064714946|0.7857088626803641|0.8187938561580554|0.75558|0.60502|1.25724|0.4458802039642413|C|0.5472166139561143
N_term_thread|N_term_thread|1.1702127659574468|1.1063829787234043|1.2659574468085106|1.0|1.0|3.0|N_term_thread|1.2310077519379845|1.178294573643411|1.296124031007752|1.0|1.0|3.0|0.0035254155418069|C|0.011898277453598288
Gc|Gc|0.8178537078651686|0.788736939859296|0.8576011910236911|0.74412|0.60816|1.64376|Gc|0.8343190191897655|0.8148793713938042|0.8574894553293623|0.78282|0.60866|1.63614|0.0885711372132795|C|0.14946379404740914
C_term_thread|C_term_thread|1.2191011235955056|1.1348314606741574|1.3426966292134832|1.0|1.0|3.0|C_term_thread|1.2286324786324787|1.1752136752136753|1.297008547008547|1.0|1.0|3.0|0.0335051776016408|C|0.06958767655725397
loopsize|loopsize|110.3391304347826|96.9768115942029|128.52463768115942|62.0|16.0|526.0|loopsize|102.83365570599614|97.55172961725278|108.58800773694392|68.0|17.0|339.0|0.9782790580188316|C|0.9980812451179631
num_zipper_nc|num_zipper_nc|14.002898550724638|12.402898550724638|15.936231884057973|7.0|1.0|63.0|num_zipper_nc|14.827852998065763|13.75918762088975|16.014506769825918|8.0|1.0|70.0|0.3787901008945178|C|0.4756898941466038
perc_bb_loop|perc_bb_loop|0.2168410862490003|0.1967937182752332|0.2389736913539877|0.1465201465201465|0.0163934426229508|0.746268656716418|perc_bb_loop|0.2519992819267931|0.2403373812330654|0.2642443925221077|0.1926070038910506|0.0354223433242506|0.775623268698061|3.638752840741061e-06|C|3.274877556666955e-05
num_loop_contacting_res|num_loop_contacting_res|164.77971014492755|150.2521739130435|184.12923929826488|111.0|44.0|606.0|num_loop_contacting_res|165.38104448742746|159.00290135396517|172.19052224371373|129.0|50.0|449.0|0.0023057353899685|C|0.009552391179996985
num_cross_nearest_neighbors|num_cross_nearest_neighbors|39.80289855072464|38.45457720569242|41.42028985507246|36.0|26.0|77.0|num_cross_nearest_neighbors|43.10058027079304|41.94970986460349|44.40909090909091|36.0|27.0|103.0|0.007401958339329|C|0.023512102960221527
ent_coverage|ent_coverage|0.1639577613206186|0.1534035792552169|0.1756632639165645|0.1337719298245614|0.0432190760059612|0.4333333333333333|ent_coverage|0.1995880732965052|0.1935358690369731|0.2060113398038969|0.1813842482100238|0.063257065948856|0.4839857651245551|2.607138203614027e-12|C|7.039273149757873e-11
min_N_prot_depth_left|min_N_prot_depth_left|0.3309493303391964|0.2964555033121634|0.3676804746869112|0.2807017543859649|0.0153508771929824|0.8675078864353313|min_N_prot_depth_left|0.339874616119757|0.3217230414697364|0.3586017795484233|0.3012345679012346|0.0228965755528257|0.8070739549839229|0.2211949470278222|C|0.3317924205417333
min_N_thread_depth_left|min_N_thread_depth_left|0.7317230200448598|0.6926869105288348|0.7667590355145595|0.8405797101449275|0.1363636363636363|0.9858156028368794|min_N_thread_depth_left|0.7293675267155689|0.7092863681932627|0.7481519223555689|0.8309037900874635|0.102803738317757|0.982367758186398|0.2027838732270249|C|0.3128665472645527
min_N_thread_slippage_left|min_N_thread_slippage_left|216.86702127659572|186.5265957446809|252.928075639606|141.0|8.0|805.0|min_N_thread_slippage_left|162.9922480620155|150.804366121596|176.3891472868217|113.0|8.0|668.0|0.0420195050578292|C|0.0782432163145785
min_C_prot_depth_right|min_C_prot_depth_right|0.37920154392612|0.34279025530011|0.4170064391297526|0.3473917869034406|0.0432098765432098|0.8571428571428571|min_C_prot_depth_right|0.3245870838699758|0.3052092785516674|0.3448716283438177|0.2914572864321608|0.0251046025104602|0.7748447204968945|0.0145954113895768|C|0.03426748761031075
min_C_thread_depth_right|min_C_thread_depth_right|0.7873097361696747|0.7551970195916207|0.8149273162063263|0.8484848484848485|0.180327868852459|0.9897810218978104|min_C_thread_depth_right|0.7314825441218668|0.7091151396105477|0.7524539441231475|0.8055555555555556|0.1494845360824742|0.9787234042553192|0.0029651888032025|C|0.010674679691529
min_C_thread_slippage_right|min_C_thread_slippage_right|231.3483146067416|201.04494382022472|267.7329912103445|133.0|16.0|815.0|min_C_thread_slippage_right|160.9957264957265|147.27066633929448|177.0105864203798|108.0|10.0|597.0|0.0001651019246766|C|0.0008915503932536401
ACO|ACO|130.4790805974376|118.8349579607985|145.24852230627454|93.0|18.0|487.8235294117647|ACO|126.70357832092162|121.25371995607784|132.52948452357964|99.66666666666669|22.5|352.3157894736842|0.9313849993136668|C|0.9980812451179631
RCO|RCO|0.2685124370107342|0.2472175574022968|0.2912770681302006|0.210989010989011|0.02333570244018|0.7503909026297085|RCO|0.3110263822169612|0.2991617022277258|0.3234891108366888|0.2619301994301994|0.0476947535771065|0.7792079207920792|5.473122486240567e-06|C|4.222123060814152e-05
Gn|Gn|0.7851471590909092|0.7592245134572219|0.8158884700095179|0.76985|0.60315|1.10043|Gn|0.7850443214285714|0.7683572787782587|0.8062208548037428|0.75314|0.60562|1.08205|0.336021722283282|CD|0.4425651952023714
N_term_thread|N_term_thread|1.0909090909090908|1.0227272727272727|1.2272727272727273|1.0|1.0|3.0|N_term_thread|1.2258064516129032|1.1505376344086022|1.3297491039426523|1.0|1.0|3.0|0.0024765458614807|CD|0.009552391179996985
Gc|Gc|0.8387738297872339|0.7931901736683317|0.9058637197446802|0.74053|0.60392|1.80084|Gc|0.8233071830985914|0.7991914166647027|0.8537059696633981|0.78234|0.60714|1.56635|0.7820351090243309|CD|0.918041214941606
C_term_thread|C_term_thread|1.2765957446808511|1.148936170212766|1.4893617021276595|1.0|1.0|4.0|C_term_thread|1.2112676056338028|1.1408450704225352|1.3098591549295775|1.0|1.0|3.0|0.0589838512758711|CD|0.10274606351280773
loopsize|loopsize|111.21714285714286|90.68571428571428|143.86990561696885|59.0|16.0|601.0|loopsize|100.25714285714284|92.77582417582416|108.5984857052778|67.0|17.0|325.0|0.992081220261555|CD|0.9980812451179631
num_zipper_nc|num_zipper_nc|13.125714285714286|11.005714285714284|15.98857142857143|6.0|1.0|53.0|num_zipper_nc|14.698901098901098|13.12087912087912|16.56923076923077|7.0|1.0|68.0|0.1984021088533065|CD|0.3128665472645527
