C|<BA>|BA_lb|BA_ub|pvalue|num_nonzero|num_nonzero_and_robust|robust_features
0.01|0.5|0.5|0.5|1.0|0|0|
0.1|0.5033769523005487|0.5020920217283139|0.5046618828727835|0.0045041644094437686|6|6|RCO,ent_coverage,min_C_thread_slippage_right,min_N_prot_depth_left,min_N_thread_slippage_left,num_cross_nearest_neighbors
0.15|0.5101425824304676|0.5071238547133307|0.5131613101476046|0.0|6|6|ent_coverage,loopsize,min_C_thread_slippage_right,min_N_prot_depth_left,min_N_thread_slippage_left,num_cross_nearest_neighbors
0.2|0.5275338867782937|0.5234886301046411|0.5315791434519463|0.0|6|6|loopsize,min_C_thread_slippage_right,min_N_prot_depth_left,min_N_thread_slippage_left,num_cross_nearest_neighbors,num_loop_contacting_res
0.25|0.5299470006097275|0.5241535111827463|0.5357404900367088|0.0|7|7|C_term_thread,loopsize,min_C_thread_slippage_right,min_N_prot_depth_left,min_N_thread_slippage_left,num_cross_nearest_neighbors,num_loop_contacting_res
0.5|0.5458749589606491|0.5418577456828351|0.5498921722384631|0.0|12|12|C_term_thread,Gc,N_term_thread,loopsize,min_C_prot_depth_right,min_C_thread_slippage_right,min_N_prot_depth_left,min_N_thread_slippage_left,num_cross_nearest_neighbors,num_loop_contacting_res,num_zipper_nc,perc_bb_loop
1.0|0.5570048309178743|0.5504831722316644|0.5635264896040842|0.0|11|11|C_term_thread,N_term_thread,loopsize,min_C_prot_depth_right,min_C_thread_slippage_right,min_N_prot_depth_left,min_N_thread_slippage_left,num_cross_nearest_neighbors,num_loop_contacting_res,num_zipper_nc,perc_bb_loop
1.5|0.5618357487922706|0.5541527522629571|0.5695187453215841|0.0|13|12|C_term_thread,Gc,N_term_thread,loopsize,min_C_prot_depth_right,min_C_thread_slippage_right,min_N_prot_depth_left,min_N_thread_slippage_left,num_cross_nearest_neighbors,num_loop_contacting_res,num_zipper_nc,perc_bb_loop
2.0|0.5565076684958492|0.5466522259045735|0.5663631110871249|0.0|13|10|C_term_thread,N_term_thread,loopsize,min_C_prot_depth_right,min_C_thread_slippage_right,min_N_prot_depth_left,min_N_thread_slippage_left,num_cross_nearest_neighbors,num_loop_contacting_res,perc_bb_loop
2.5|0.559894001219455|0.5543644579049188|0.5654235445339911|0.0|13|12|C_term_thread,Gc,N_term_thread,loopsize,min_C_prot_depth_right,min_C_thread_slippage_right,min_N_prot_depth_left,min_N_thread_slippage_left,num_cross_nearest_neighbors,num_loop_contacting_res,num_zipper_nc,perc_bb_loop
5.0|0.5584494160686646|0.5494185087976133|0.5674803233397159|0.0|16|13|C_term_thread,Gc,N_term_thread,loopsize,min_C_prot_depth_right,min_C_thread_depth_right,min_C_thread_slippage_right,min_N_prot_depth_left,min_N_thread_slippage_left,num_cross_nearest_neighbors,num_loop_contacting_res,num_zipper_nc,perc_bb_loop
7.5|0.5666502509263167|0.5611470168664077|0.5721534849862258|0.0|16|11|C_term_thread,Gc,N_term_thread,loopsize,min_C_prot_depth_right,min_C_thread_slippage_right,min_N_prot_depth_left,min_N_thread_slippage_left,num_cross_nearest_neighbors,num_loop_contacting_res,num_zipper_nc
10.0|0.5656934477744946|0.5640640785031023|0.5673228170458869|0.0|16|14|ACO,C_term_thread,Gc,N_term_thread,loopsize,min_C_prot_depth_right,min_C_thread_depth_right,min_C_thread_slippage_right,min_N_prot_depth_left,min_N_thread_slippage_left,num_cross_nearest_neighbors,num_loop_contacting_res,num_zipper_nc,perc_bb_loop
