,buff,spa,cov,OR,OR_lb,OR_ub,pvalues,n,tag,xlabel,label
5,C,50,50,1.4565927857669416,1.2201819658998725,1.7384605843650698,3.25287542284336e-05,81,Essential,cyto-serum,EXP
15,CD,50,50,1.104066299558882,0.7430440123619398,1.640498239057044,0.6241338988347811,44,Essential,+DnaK,EXP
25,CG,50,50,1.0409148604740348,0.7580544971105083,1.430465620479898,0.8049082240738077,55,Essential,+GroEL,EXP
5,C,50,50,1.4320399984115384,1.272521035308229,1.6112334440542406,2.416554067963261e-09,183,NonEssential,cyto-serum,EXP
15,CD,50,50,1.3506689658837363,1.0470744109569372,1.7419409847740754,0.0206677221399833,97,NonEssential,+DnaK,EXP
25,CG,50,50,1.3056486929626985,1.0692954781746002,1.5952014034170006,0.0090014254134738,137,NonEssential,+GroEL,EXP
5,C,50,50,1.4660914761749706,1.263644492207778,1.7023335733667813,4.753605573615261e-07,98,Essential,cyto-serum,AF
15,CD,50,50,1.1573119134557752,0.821190633312658,1.6306847196215488,0.4042809838470433,59,Essential,+DnaK,AF
25,CG,50,50,1.062367597570325,0.8113952356434114,1.3909681284637805,0.6599371073211873,73,Essential,+GroEL,AF
5,C,50,50,1.3029097076486336,1.1817542653083617,1.4361989419603518,1.1707796665483273e-07,302,NonEssential,cyto-serum,AF
15,CD,50,50,1.5636142992864182,1.256085325432344,1.946435984427592,6.496786321896764e-05,151,NonEssential,+DnaK,AF
25,CG,50,50,1.4657982871996105,1.2275250649631777,1.7506725002961012,2.357777920569681e-05,227,NonEssential,+GroEL,AF
