,buff,spa,cov,OR,OR_lb,OR_ub,pvalues,n,tag,xlabel,label
5,C,50,50,1.4405140081492172,1.3060404463306543,1.58883334241608,3.099742684753437e-13,264,EXP_Whole,cyto-serum,EXP
5,C,50,50,1.3832004766688617,1.2398618969660615,1.543418868116487,6.791526230287559e-09,264,EXP_PSM,cyto-serum(PSM),EXP
15,CD,50,50,1.27303014553761,1.028395684421425,1.5761733830339912,0.0267600645217946,141,EXP_Whole,+DnaK,EXP
25,CG,50,50,1.2253175072442315,1.034584606728118,1.4506329812931589,0.0184729176966866,192,EXP_Whole,+GroEL,EXP
5,C,50,50,1.3424549633697502,1.2373846512436006,1.456447133771086,1.6651124923328098e-12,400,AF_Whole,cyto-serum,AF
5,C,50,50,1.3832004766688617,1.2398618969660615,1.543418868116487,6.791526230287559e-09,264,AF_PSM,cyto-serum(PSM),AF
15,CD,50,50,1.4311810321281455,1.191246216612358,1.719442310212106,0.0001334516740594,210,AF_Whole,+DnaK,AF
25,CG,50,50,1.3305601247433902,1.1479755502741786,1.5418762207006325,0.0001482396731857,300,AF_Whole,+GroEL,AF
