,buff,OverlapClass,Overlap,Bounds,pvalue,Count,num,typeoverlap,dataset
4,CG,R1min-R2hr,0.053,"(0.023, 0.092)",1.0,7,3,GeneOverlapTableVenn,ent_genes
5,CG,R5min-R2hr,0.023,"(0.008, 0.053)",1.0,3,3,GeneOverlapTableVenn,ent_genes
6,CG,R1min-R5min-R2hr,0.397,"(0.313, 0.481)",9.999e-05,52,3,GeneOverlapTableVenn,ent_genes
0,C,R1min,0.215,"(0.196, 0.235)",9.999e-05,379,3,PKsiteOverlap,ent_genes
1,C,R5min,0.07,"(0.058, 0.082)",1.0,123,3,PKsiteOverlap,ent_genes
2,C,R2hr,0.064,"(0.053, 0.076)",1.0,113,3,PKsiteOverlap,ent_genes
3,C,R1min-R5min,0.118,"(0.103, 0.133)",0.9989,207,3,PKsiteOverlap,ent_genes
4,C,R1min-R2hr,0.085,"(0.072, 0.098)",1.0,149,3,PKsiteOverlap,ent_genes
5,C,R5min-R2hr,0.047,"(0.038, 0.057)",1.0,83,3,PKsiteOverlap,ent_genes
6,C,R1min-R5min-R2hr,0.401,"(0.378, 0.424)",9.999e-05,705,3,PKsiteOverlap,ent_genes
0,CD,R1min,0.247,"(0.203, 0.290)",0.3045,91,3,PKsiteOverlap,ent_genes
1,CD,R5min,0.114,"(0.081, 0.146)",0.9998,42,3,PKsiteOverlap,ent_genes
2,CD,R2hr,0.024,"(0.011, 0.041)",1.0,9,3,PKsiteOverlap,ent_genes
3,CD,R1min-R5min,0.249,"(0.206, 0.293)",0.3596,92,3,PKsiteOverlap,ent_genes
4,CD,R1min-R2hr,0.035,"(0.019, 0.054)",0.9999,13,3,PKsiteOverlap,ent_genes
5,CD,R5min-R2hr,0.03,"(0.014, 0.049)",0.9924,11,3,PKsiteOverlap,ent_genes
6,CD,R1min-R5min-R2hr,0.301,"(0.255, 0.350)",9.999e-05,111,3,PKsiteOverlap,ent_genes
0,CG,R1min,0.249,"(0.215, 0.284)",0.4088,145,3,PKsiteOverlap,ent_genes
1,CG,R5min,0.096,"(0.074, 0.120)",1.0,56,3,PKsiteOverlap,ent_genes
2,CG,R2hr,0.088,"(0.065, 0.112)",0.402,51,3,PKsiteOverlap,ent_genes
3,CG,R1min-R5min,0.275,"(0.239, 0.311)",9.999e-05,160,3,PKsiteOverlap,ent_genes
4,CG,R1min-R2hr,0.031,"(0.017, 0.046)",1.0,18,3,PKsiteOverlap,ent_genes
5,CG,R5min-R2hr,0.029,"(0.017, 0.045)",0.9949,17,3,PKsiteOverlap,ent_genes
6,CG,R1min-R5min-R2hr,0.232,"(0.199, 0.268)",0.0004,135,3,PKsiteOverlap,ent_genes
0,C,R5min,0.151,"(0.106, 0.202)",1.0,33,2,GeneOverlapTableVenn,all_genes
1,C,R2hr,0.083,"(0.046, 0.124)",1.0,18,2,GeneOverlapTableVenn,all_genes
2,C,R5min-R2hr,0.766,"(0.706, 0.821)",9.999e-05,167,2,GeneOverlapTableVenn,all_genes
0,CD,R5min,0.333,"(0.238, 0.440)",1.0,28,2,GeneOverlapTableVenn,all_genes
1,CD,R2hr,0.071,"(0.024, 0.131)",1.0,6,2,GeneOverlapTableVenn,all_genes
2,CD,R5min-R2hr,0.595,"(0.488, 0.702)",9.999e-05,50,2,GeneOverlapTableVenn,all_genes
