buff,spa,cov,region,odds,odds_lb,odds_ub,pvalues,n
C,0,50,0,0.0098597253667001,0.0091933750415394,0.0105743738145672,1.6614407405413093e-08,267
C,10,50,0,0.0098597253667001,0.0091933750415394,0.0105743738145672,1.6614407405413093e-08,267
C,20,50,0,0.0098597253667001,0.0091933750415394,0.0105743738145672,1.6614407405413093e-08,267
C,30,50,0,0.0098597253667001,0.0091933750415394,0.0105743738145672,1.6614407405413093e-08,267
C,40,50,0,0.0098597253667001,0.0091933750415394,0.0105743738145672,1.6614407405413093e-08,267
C,50,50,0,0.009884043882139,0.009215229664628,0.0106013986649777,1.5584627366393988e-08,265
C,60,50,0,0.0100331208523853,0.0093532749804392,0.0107623815454042,1.255598536253899e-08,255
C,70,50,0,0.0108111148781275,0.0100677012461532,0.0116094232487012,1.1772069519189189e-07,223
C,80,50,0,0.0128233926528495,0.0119115976899381,0.0138049826236205,9.294658154246349e-08,165
C,90,50,0,0.0187073226207364,0.0172787089572774,0.0202540548892642,0.0002122262571435,96
C,0,50,1,0.0137681625868904,0.0128376681486147,0.0147661007298669,1.6614407405413093e-08,267
C,10,50,1,0.0137681625868904,0.0128376681486147,0.0147661007298669,1.6614407405413093e-08,267
C,20,50,1,0.0137681625868904,0.0128376681486147,0.0147661007298669,1.6614407405413093e-08,267
C,30,50,1,0.0137681625868904,0.0128376681486147,0.0147661007298669,1.6614407405413093e-08,267
C,40,50,1,0.0137681625868904,0.0128376681486147,0.0147661007298669,1.6614407405413093e-08,267
C,50,50,1,0.0138192049748669,0.012884113946124,0.0148221621553447,1.5584627366393988e-08,265
C,60,50,1,0.0140769558811329,0.0131230991015566,0.0151001440548336,1.255598536253899e-08,255
C,70,50,1,0.0148985991838805,0.0138741144886873,0.0159987333118026,1.1772069519189189e-07,223
C,80,50,1,0.0179412084396987,0.0166655161227965,0.019314550950895,9.294658154246349e-08,165
C,90,50,1,0.0241639892089824,0.0223186687509194,0.0261618818312255,0.0002122262571435,96
CD,0,50,0,0.0043011157083972,0.0037126084430655,0.0049829107003124,0.032435668372569,139
CD,10,50,0,0.0043011157083972,0.0037126084430655,0.0049829107003124,0.032435668372569,139
CD,20,50,0,0.0043011157083972,0.0037126084430655,0.0049829107003124,0.032435668372569,139
CD,30,50,0,0.0043011157083972,0.0037126084430655,0.0049829107003124,0.032435668372569,139
CD,40,50,0,0.0043011157083972,0.0037126084430655,0.0049829107003124,0.032435668372569,139
CD,50,50,0,0.0043011157083972,0.0037126084430655,0.0049829107003124,0.032435668372569,139
CD,60,50,0,0.0043073390217616,0.0037179547859462,0.0049901546728113,0.0305411796162355,138
CD,70,50,0,0.0044243258858249,0.00381879271472,0.0051258764238571,0.0291834164822806,131
CD,80,50,0,0.0047374437777524,0.0040620569838445,0.0055251252349799,0.0372512235594812,109
CD,90,50,0,0.0061127213400897,0.0051476319413218,0.0072587478295881,0.1265125379566907,66
CD,0,50,1,0.0056165027686404,0.0048480154948274,0.0065068074522044,0.032435668372569,139
CD,10,50,1,0.0056165027686404,0.0048480154948274,0.0065068074522044,0.032435668372569,139
CD,20,50,1,0.0056165027686404,0.0048480154948274,0.0065068074522044,0.032435668372569,139
CD,30,50,1,0.0056165027686404,0.0048480154948274,0.0065068074522044,0.032435668372569,139
CD,40,50,1,0.0056165027686404,0.0048480154948274,0.0065068074522044,0.032435668372569,139
CD,50,50,1,0.0056165027686404,0.0048480154948274,0.0065068074522044,0.032435668372569,139
CD,60,50,1,0.0056419998590424,0.0048699905608209,0.0065363909871869,0.0305411796162355,138
CD,70,50,1,0.0058083543779026,0.0050133968327043,0.0067293656786195,0.0291834164822806,131
CD,80,50,1,0.0062028222477739,0.0053185258998618,0.0072341480631839,0.0372512235594812,109
CD,90,50,1,0.0076153663025386,0.0064130361328132,0.009043111986397,0.1265125379566907,66
CG,0,50,0,0.0046963268979423,0.0041562400372972,0.0053065958978344,0.0206129320694508,196
CG,10,50,0,0.0046963268979423,0.0041562400372972,0.0053065958978344,0.0206129320694508,196
CG,20,50,0,0.0046963268979423,0.0041562400372972,0.0053065958978344,0.0206129320694508,196
CG,30,50,0,0.0046963268979423,0.0041562400372972,0.0053065958978344,0.0206129320694508,196
CG,40,50,0,0.0046963268979423,0.0041562400372972,0.0053065958978344,0.0206129320694508,196
CG,50,50,0,0.0047442381036356,0.0041990128118672,0.0053602587542426,0.0206677221399833,193
CG,60,50,0,0.0048226975887655,0.0042680171267502,0.0054494654875939,0.025417348744692,188
CG,70,50,0,0.0052185984307069,0.0046167836317995,0.0058988620115085,0.0221375211190142,166
CG,80,50,0,0.0060236430304046,0.005324914131082,0.0068140583048931,0.0236356892871023,133
CG,90,50,0,0.0080958224355748,0.007059470530505,0.0092843139758342,0.0303111869386338,77
CG,0,50,1,0.0059597215721746,0.0052743418309038,0.0067341636846007,0.0206129320694508,196
CG,10,50,1,0.0059597215721746,0.0052743418309038,0.0067341636846007,0.0206129320694508,196
CG,20,50,1,0.0059597215721746,0.0052743418309038,0.0067341636846007,0.0206129320694508,196
CG,30,50,1,0.0059597215721746,0.0052743418309038,0.0067341636846007,0.0206129320694508,196
CG,40,50,1,0.0059597215721746,0.0052743418309038,0.0067341636846007,0.0206129320694508,196
CG,50,50,1,0.0060202628901734,0.0053283921368269,0.0068019703385385,0.0206677221399833,193
CG,60,50,1,0.0060719463589159,0.0053735840938754,0.0068610692493998,0.025417348744692,188
CG,70,50,1,0.0066180628761964,0.0058548602209472,0.0074807518165143,0.0221375211190142,166
CG,80,50,1,0.0076478480148484,0.0067607150292733,0.0086513895357172,0.0236356892871023,133
CG,90,50,1,0.0103789665122439,0.0090503477334581,0.0119026305988267,0.0303111869386338,77
