buff,timepoint,spa_threshold,LiPMScov_threshold,all_genes_n,essential_genes_n,nonessential_genes_n,essential_ent_genes_n,nonessential_ent_genes_n,essential_nonent_genes_n,nonessential_nonent_genes_n,refolded_genes_n,nonrefolded_genes_n,ent_genes_n,nonent_genes_n
CD,Rall,0,0,1700,219,1481,164,1143,55,338,1448,252,1307,393
CD,Rall,0,10,884,172,712,122,479,50,233,646,238,601,283
CD,Rall,0,20,652,154,498,109,340,45,158,425,227,449,203
CD,Rall,0,30,517,131,386,92,263,39,123,299,218,355,162
CD,Rall,0,40,412,110,302,78,202,32,100,207,205,280,132
CD,Rall,0,50,307,87,220,59,152,28,68,131,176,211,96
CD,Rall,0,60,234,64,170,44,116,20,54,85,149,160,74
CD,Rall,0,70,145,36,109,25,72,11,37,42,103,97,48
CD,Rall,0,80,74,18,56,11,42,7,14,17,57,53,21
CD,Rall,0,90,15,3,12,2,8,1,4,4,11,10,5
CD,Rall,10,0,1700,219,1481,164,1143,55,338,1448,252,1307,393
CD,Rall,10,10,884,172,712,122,479,50,233,646,238,601,283
CD,Rall,10,20,652,154,498,109,340,45,158,425,227,449,203
CD,Rall,10,30,517,131,386,92,263,39,123,299,218,355,162
CD,Rall,10,40,412,110,302,78,202,32,100,207,205,280,132
CD,Rall,10,50,307,87,220,59,152,28,68,131,176,211,96
CD,Rall,10,60,234,64,170,44,116,20,54,85,149,160,74
CD,Rall,10,70,145,36,109,25,72,11,37,42,103,97,48
CD,Rall,10,80,74,18,56,11,42,7,14,17,57,53,21
CD,Rall,10,90,15,3,12,2,8,1,4,4,11,10,5
CD,Rall,20,0,1359,201,1158,149,894,52,264,1108,251,1043,316
CD,Rall,20,10,826,171,655,122,458,49,197,588,238,580,246
CD,Rall,20,20,640,154,486,109,339,45,147,413,227,448,192
CD,Rall,20,30,514,131,383,92,263,39,120,296,218,355,159
CD,Rall,20,40,411,110,301,78,202,32,99,206,205,280,131
CD,Rall,20,50,307,87,220,59,152,28,68,131,176,211,96
CD,Rall,20,60,234,64,170,44,116,20,54,85,149,160,74
CD,Rall,20,70,145,36,109,25,72,11,37,42,103,97,48
CD,Rall,20,80,74,18,56,11,42,7,14,17,57,53,21
CD,Rall,20,90,15,3,12,2,8,1,4,4,11,10,5
CD,Rall,30,0,1190,189,1001,138,780,51,221,944,246,918,272
CD,Rall,30,10,785,169,616,120,440,49,176,550,235,560,225
CD,Rall,30,20,628,154,474,109,336,45,138,403,225,445,183
CD,Rall,30,30,507,131,376,92,262,39,114,291,216,354,153
CD,Rall,30,40,407,110,297,78,202,32,95,203,204,280,127
CD,Rall,30,50,306,87,219,59,152,28,67,131,175,211,95
CD,Rall,30,60,233,64,169,44,116,20,53,85,148,160,73
CD,Rall,30,70,144,36,108,25,72,11,36,42,102,97,47
CD,Rall,30,80,74,18,56,11,42,7,14,17,57,53,21
CD,Rall,30,90,15,3,12,2,8,1,4,4,11,10,5
CD,Rall,40,0,1017,180,837,133,652,47,185,774,243,785,232
CD,Rall,40,10,737,165,572,119,416,46,156,502,235,535,202
CD,Rall,40,20,608,152,456,109,330,43,126,383,225,439,169
CD,Rall,40,30,500,130,370,92,261,38,109,284,216,353,147
CD,Rall,40,40,403,110,293,78,202,32,91,199,204,280,123
