buff,timepoint,spa_threshold,LiPMScov_threshold,all_genes_n,essential_genes_n,nonessential_genes_n,essential_ent_genes_n,nonessential_ent_genes_n,essential_nonent_genes_n,nonessential_nonent_genes_n,refolded_genes_n,nonrefolded_genes_n,ent_genes_n,nonent_genes_n
CG,Rall,80,50,185,59,126,46,99,13,27,60,125,145,40
CG,Rall,80,60,160,51,109,40,88,11,21,43,117,128,32
CG,Rall,80,70,112,37,75,30,60,7,15,29,83,90,22
CG,Rall,80,80,58,17,41,13,33,4,8,13,45,46,12
CG,Rall,80,90,13,3,10,2,8,1,2,3,10,10,3
CG,Rall,90,0,125,43,82,33,67,10,15,39,86,100,25
CG,Rall,90,10,122,42,80,33,65,9,15,36,86,98,24
CG,Rall,90,20,122,42,80,33,65,9,15,36,86,98,24
CG,Rall,90,30,121,42,79,33,64,9,15,35,86,97,24
CG,Rall,90,40,114,40,74,31,61,9,13,28,86,92,22
CG,Rall,90,50,110,39,71,30,58,9,13,26,84,88,22
CG,Rall,90,60,104,34,70,27,57,7,13,21,83,84,20
CG,Rall,90,70,83,28,55,23,45,5,10,16,67,68,15
CG,Rall,90,80,48,15,33,12,27,3,6,9,39,39,9
CG,Rall,90,90,12,3,9,2,8,1,1,2,10,10,2
C,Rall,0,0,896,168,728,125,559,43,169,513,383,684,212
C,Rall,0,10,652,150,502,111,374,39,128,284,368,485,167
C,Rall,0,20,559,139,420,106,317,33,103,200,359,423,136
C,Rall,0,30,482,125,357,95,267,30,90,142,340,362,120
C,Rall,0,40,412,116,296,90,220,26,76,93,319,310,102
C,Rall,0,50,348,105,243,81,183,24,60,62,286,264,84
C,Rall,0,60,269,79,190,61,146,18,44,39,230,207,62
C,Rall,0,70,191,54,137,42,106,12,31,24,167,148,43
C,Rall,0,80,107,33,74,25,57,8,17,7,100,82,25
C,Rall,0,90,27,4,23,2,19,2,4,1,26,21,6
C,Rall,10,0,896,168,728,125,559,43,169,513,383,684,212
C,Rall,10,10,652,150,502,111,374,39,128,284,368,485,167
C,Rall,10,20,559,139,420,106,317,33,103,200,359,423,136
C,Rall,10,30,482,125,357,95,267,30,90,142,340,362,120
C,Rall,10,40,412,116,296,90,220,26,76,93,319,310,102
C,Rall,10,50,348,105,243,81,183,24,60,62,286,264,84
C,Rall,10,60,269,79,190,61,146,18,44,39,230,207,62
C,Rall,10,70,191,54,137,42,106,12,31,24,167,148,43
C,Rall,10,80,107,33,74,25,57,8,17,7,100,82,25
C,Rall,10,90,27,4,23,2,19,2,4,1,26,21,6
C,Rall,20,0,782,154,628,116,480,38,148,404,378,596,186
C,Rall,20,10,634,145,489,110,367,35,122,266,368,477,157
C,Rall,20,20,558,138,420,106,317,32,103,199,359,423,135
C,Rall,20,30,482,125,357,95,267,30,90,142,340,362,120
C,Rall,20,40,412,116,296,90,220,26,76,93,319,310,102
C,Rall,20,50,348,105,243,81,183,24,60,62,286,264,84
C,Rall,20,60,269,79,190,61,146,18,44,39,230,207,62
C,Rall,20,70,191,54,137,42,106,12,31,24,167,148,43
C,Rall,20,80,107,33,74,25,57,8,17,7,100,82,25
C,Rall,20,90,27,4,23,2,19,2,4,1,26,21,6
C,Rall,30,0,724,148,576,112,437,36,139,353,371,549,175
C,Rall,30,10,617,144,473,110,357,34,116,253,364,467,150
C,Rall,30,20,550,138,412,106,313,32,99,193,357,419,131
C,Rall,30,30,481,125,356,95,267,30,89,141,340,362,119
C,Rall,30,40,411,116,295,90,220,26,75,92,319,310,101
C,Rall,30,50,348,105,243,81,183,24,60,62,286,264,84
C,Rall,30,60,269,79,190,61,146,18,44,39,230,207,62
C,Rall,30,70,191,54,137,42,106,12,31,24,167,148,43
C,Rall,30,80,107,33,74,25,57,8,17,7,100,82,25
C,Rall,30,90,27,4,23,2,19,2,4,1,26,21,6
C,Rall,40,0,658,146,512,110,394,36,118,293,365,504,154
C,Rall,40,10,592,143,449,109,345,34,104,229,363,454,138
C,Rall,40,20,535,137,398,105,307,32,91,179,356,412,123
C,Rall,40,30,473,125,348,95,263,30,85,133,340,358,115
C,Rall,40,40,408,116,292,90,219,26,73,89,319,309,99
C,Rall,40,50,348,105,243,81,183,24,60,62,286,264,84
C,Rall,40,60,269,79,190,61,146,18,44,39,230,207,62
C,Rall,40,70,191,54,137,42,106,12,31,24,167,148,43
C,Rall,40,80,107,33,74,25,57,8,17,7,100,82,25
C,Rall,40,90,27,4,23,2,19,2,4,1,26,21,6
C,Rall,50,0,576,135,441,104,340,31,101,219,357,444,132
C,Rall,50,10,529,134,395,103,306,31,89,174,355,409,120
C,Rall,50,20,500,131,369,101,287,30,82,148,352,388,112
C,Rall,50,30,456,122,334,94,257,28,77,119,337,351,105
C,Rall,50,40,401,115,286,90,218,25,68,85,316,308,93
C,Rall,50,50,345,105,240,81,183,24,57,60,285,264,81
C,Rall,50,60,268,79,189,61,146,18,43,39,229,207,61
C,Rall,50,70,190,54,136,42,106,12,30,24,166,148,42
C,Rall,50,80,107,33,74,25,57,8,17,7,100,82,25
C,Rall,50,90,27,4,23,2,19,2,4,1,26,21,6
C,Rall,60,0,485,127,358,100,279,27,79,149,336,379,106
C,Rall,60,10,463,126,337,99,262,27,75,128,335,361,102
C,Rall,60,20,448,124,324,98,252,26,72,115,333,350,98
C,Rall,60,30,425,118,307,93,237,25,70,99,326,330,95
C,Rall,60,40,384,112,272,89,209,23,63,75,309,298,86
C,Rall,60,50,338,102,236,80,182,22,54,56,282,262,76
C,Rall,60,60,265,78,187,61,146,17,41,36,229,207,58
C,Rall,60,70,188,53,135,42,106,11,29,22,166,148,40
C,Rall,60,80,106,32,74,25,57,7,17,6,100,82,24
C,Rall,60,90,27,4,23,2,19,2,4,1,26,21,6
C,Rall,70,0,380,108,272,84,220,24,52,89,291,304,76
C,Rall,70,10,369,107,262,83,212,24,50,78,291,295,74
C,Rall,70,20,360,106,254,83,205,23,49,69,291,288,72
C,Rall,70,30,350,104,246,81,197,23,49,61,289,278,72
C,Rall,70,40,328,102,226,80,180,22,46,49,279,260,68
C,Rall,70,50,302,93,209,72,166,21,43,43,259,238,64
C,Rall,70,60,245,73,172,57,138,16,34,30,215,195,50
C,Rall,70,70,181,51,130,41,103,10,27,20,161,144,37
C,Rall,70,80,103,32,71,25,55,7,16,5,98,80,23
C,Rall,70,90,26,4,22,2,18,2,4,1,25,20,6
C,Rall,80,0,260,82,178,65,145,17,33,41,219,210,50
C,Rall,80,10,254,81,173,64,141,17,32,35,219,205,49
C,Rall,80,20,251,81,170,64,138,17,32,32,219,202,49
