gene;model
A0A2R8Q492;F1
A0A2R8Q4B7;F1
A0A2R8Q4C2;F1
A0A2R8Q4R6;F1
A0A2R8Q4X2;F1
A0A2R8Q4Y6;F1
A0A2R8Q557;F1
A0A2R8Q5A6;F1
A0A2R8Q6P4;F1
A0A2R8Q7H6;F1
A0A2R8Q7J5;F1
A0A2R8Q802;F1
A0A2R8Q868;F1
A0A2R8Q8A6;F1
A0A2R8QAV3;F1
A0A2R8QB14;F1
A0A2R8QB29;F1
A0A2R8QC08;F1
A0A2R8QCI3;F1
A0A2R8QD21;F1
A0A2R8QDN8;F1
A0A2R8QER3;F1
A0A2R8QES3;F1
A0A2R8QF71;F1
A0A2R8QFG7;F1
A0A2R8QFS5;F1
A0A2R8QFY5;F1
A0A2R8QFZ7;F1
A0A2R8QGI6;F1
A0A2R8QGN6;F1
A0A2R8QGR3;F1
A0A2R8QGR5;F1
A0A2R8QH51;F1
A0A2R8QHQ3;F1
A0A2R8QHY4;F1
A0A2R8QI11;F1
A0A2R8QIZ4;F1
A0A2R8QJD7;F1
A0A2R8QJT0;F1
A0A2R8QJT8;F1
A0A2R8QJZ9;F1
A0A2R8QKJ7;F1
A0A2R8QLE2;F1
A0A2R8QM13;F1
A0A2R8QMV5;F1
A0A2R8QN78;F1
A0A2R8QP14;F1
A0A2R8QPD5;F1
A0A2R8QRD4;F1
A0A2R8QRM3;F1
A0A2R8QRR7;F1
A0A2R8QRZ7;F1
A0A2R8RJQ6;F1
A0A2R8RLV5;F1
A0A2R8RPE8;F1
A0A2R8RRY5;F1
A0A2R8RSH0;F1
A0A2R8RSL7;F1
A0A2R8RUY6;F1
A0A2R8RWA3;F1
A0A2R8RXI8;F1
A0A2R8RY83;F1
A0A2R8RYX2;F1
A0A2R8RZT1;F1
A0A2R8VKG2;F1
A0A2R8YFR7;F1
A0A338P6K9;F1
A0A368UGF1;F1
A0A368UGR4;F1
A0A368UH52;F1
A0A368UH67;F1
A0A368UH73;F1
A0A368UHG3;F1
A0A368UI45;F1
A0A368UI94;F1
A0A368UIH5;F1
A0A368UIJ9;F1
A0A368UJK8;F1
A0A368UJP9;F1
A0A368UJQ6;F1
A0A368UJR5;F1
A0A368UKB0;F1
A0A368ULU0;F1
A0A368UMN9;F1
A0A381MTN1;F1
A0A3Q4EGK1;F1
A0A486WX27;F1
A0A4V0IKJ7;F1
A0A571BEE2;F1
A0A5E4LWV7;F1
A0A5E4LZG5;F1
A0A5E4LZM9;F1
A0A5E4LZQ4;F1
A0A5F8MPU3;F1
A0A5K1K8C9;F1
A0A5K1K8J1;F1
A0A5K1K8U0;F1
A0A5K1K8Z6;F1
A0A5K1K942;F1
A0A5K1K982;F1
A0A5K1K988;F1
A0A5K1K9E4;F1
A0A6H2EEJ8;F1
A0A6H2EFV6;F1
A0A6I8MWX0;F1
A0A6M3QH40;F1
A0JP43;F1
A0JPF5;F1
A0JPQ0;F1
A0MFT2;F1
A1EGX6;F1
A1KZ92;F1
A1L1I3;F1
A1L1K8;F1
A1L1Q2;F1
A1L2E4;F1
A1L2G3;F1
A1L443;F1
A1Z6I3;F1
A1Z6J6;F1
A1Z763;F1
A1Z7I1;F1
A1Z7I2;F1
A1Z7M7;F1
A1Z7N6;F1
A1Z7S3;F1
A1Z830;F1
A1Z8H3;F1
A1Z8H7;F1
A1Z9C4;F1
A1Z9G6;F1
A1Z9I3;F1
A1Z9K8;F1
A1Z9P3;F1
A1Z9W4;F1
A1ZA47;F1
A1ZAG3;F1
A1ZAJ4;F1
A1ZAP8;F1
A1ZAV3;F1
A1ZB14;F1
A1ZB32;F1
A1ZBD8;F1
A1ZBW7;F1
A2A6A1;F1
A2A870;F1
A2A884;F1
A2A995;F1
A2ADM8;F1
A2AEV7;F1
A2AG06;F1
A2AGT5;F1
A2AKX3;F1
A2AL36;F1
A2ALV5;F1
A2AQ19;F1
A2AQ25;F1
A2AQH4;F1
A2AQX6;F1
A2AR69;F1
A2ARA8;F1
A2ARP1;F1
A2AUY4;F1
A2AV32;F1
A2BF66;F1
A2BG51;F1
A2BGE5;F1
A2BH40;F1
A2BHF4;F1
A2BIN8;F1
A2CEM8;F1
A2CG09;F1
A2IBE0;F1
A2IBE2;F1
A2VD23;F1
A2VEC9;F8
A3KPS4;F1
A3KPV2;F1
A4D2B8;F1
A4GSN8;F1
A4HRI6;F1
A4HRM2;F1
A4HRP4;F1
A4HRP5;F1
A4HRU6;F1
A4HRV2;F1
A4HRW6;F1
A4HRW8;F1
A4HRX1;F1
A4HS01;F1
A4HS23;F1
A4HS35;F1
A4HS67;F1
A4HS70;F1
A4HS80;F1
A4HSB7;F1
A4HSF6;F1
A4HSF8;F1
A4HSG0;F1
A4HSI6;F1
A4HSI9;F1
A4HSJ1;F1
A4HSJ4;F1
A4HSJ8;F1
A4HSK9;F1
A4HSP0;F1
A4HST9;F1
A4HSU4;F1
A4HSV1;F1
A4HSV4;F1
A4HSW1;F1
A4HSW9;F1
A4HSX2;F1
A4HSX5;F1
A4HSY2;F1
A4HT36;F1
A4HT50;F1
A4HT57;F1
A4HT70;F1
A4HT73;F1
A4HT87;F1
A4HT93;F1
A4HTA1;F1
A4HTB5;F1
A4HTE1;F1
A4HTK1;F1
A4HTL1;F1
A4HTN0;F1
A4HTV3;F1
A4HTZ4;F1
A4HTZ5;F1
A4HU10;F1
A4HU74;F1
A4HUE2;F1
A4HUH8;F1
A4HUJ5;F1
A4HUK2;F1
A4HUV4;F1
A4HUX4;F1
A4HUZ2;F1
A4HUZ6;F1
A4HVE6;F1
A4HVH9;F1
A4HVJ8;F1
A4HVK9;F1
A4HVL2;F1
A4HVV3;F1
A4HVW9;F1
A4HVY4;F1
A4HW02;F1
A4HW68;F1
A4HWC6;F1
A4HWF1;F1
A4HWF3;F1
A4HWH5;F1
A4HWH6;F1
A4HWI9;F1
A4HWX0;F1
A4HWZ3;F1
A4HX06;F1
A4HX36;F1
A4HX91;F1
A4HX93;F1
A4HXB7;F1
A4HXC1;F1
A4HXE9;F1
A4HXU3;F1
A4HXX7;F1
A4HY15;F1
A4HY24;F1
A4HY54;F1
A4HY60;F1
A4HY73;F1
A4HY80;F1
A4HY90;F1
A4HYC5;F1
A4HYC7;F1
A4HYM6;F1
A4HYM8;F1
A4HYT3;F1
A4HYT4;F1
A4HYV0;F1
A4HYV1;F1
A4HYV2;F1
A4HYV3;F1
A4HYY4;F1
A4HZ36;F1
A4HZ85;F1
A4HZ87;F1
A4HZ91;F1
A4HZD1;F1
A4HZE5;F1
A4HZJ0;F1
A4HZJ1;F1
A4HZT7;F1
A4HZV7;F1
A4HZW0;F1
A4HZY8;F1
A4I0N9;F1
A4I0U5;F1
A4I0U6;F1
A4I0U9;F1
A4I0Y5;F1
A4I142;F1
A4I169;F1
A4I1B0;F1
A4I1C7;F1
A4I1C9;F1
A4I1D8;F1
A4I1H9;F1
A4I1K3;F1
A4I1Y8;F1
A4I285;F1
A4I290;F1
A4I2B5;F1
A4I2E0;F1
A4I2E4;F1
A4I2E5;F1
A4I2E7;F1
A4I2L3;F1
A4I2L6;F1
A4I2U0;F1
A4I2U8;F1
A4I2Y6;F1
A4I319;F1
A4I321;F1
A4I396;F1
A4I3A0;F1
A4I3D2;F1
A4I3G8;F1
A4I3P8;F1
A4I3S5;F1
A4I3W3;F1
A4I448;F1
A4I490;F1
A4I4D7;F1
A4I4F4;F1
A4I4H5;F1
A4I4I0;F1
A4I4I2;F1
A4I4S6;F1
A4I4V7;F1
A4I525;F1
A4I577;F1
A4I584;F1
A4I5D3;F1
A4I5D9;F1
A4I5G2;F1
A4I5H5;F1
A4I5J0;F1
A4I5L0;F1
A4I5R2;F1
A4I5Y8;F1
A4I6A4;F1
A4I6G0;F1
A4I6Q8;F1
A4I6R3;F1
A4I6S5;F1
A4I6T1;F1
A4I6W7;F1
A4I6Y6;F1
A4I6Z1;F1
A4I6Z7;F1
A4I705;F1
A4I732;F1
A4I771;F1
A4I773;F1
A4I781;F1
A4I7J0;F1
A4I7J7;F1
A4I7M2;F1
A4I7Y6;F1
A4I811;F1
A4I818;F1
A4I854;F1
A4I863;F1
A4I886;F1
A4I8A4;F1
A4I8E0;F1
A4I8V6;F1
A4I9N2;F1
A4I9N9;F1
A4I9S3;F1
A4I9T5;F1
A4I9U7;F1
A4I9V6;F1
A4I9Y4;F1
A4IA32;F1
A4IA53;F1
A4IA98;F1
A4IAI2;F1
A4IAV1;F1
A4IAY8;F1
A4IAY9;F1
A4IAZ3;F1
A4IAZ9;F1
A4IB26;F1
A4IB61;F1
A4IB80;F1
A4IBF5;F1
A4IBH5;F1
A4IBH7;F1
A4IBK8;F1
A4IBQ4;F1
A4IC76;F1
A4ICI4;F1
A4ICI6;F1
A4ICV0;F1
A4ID80;F1
A4IDA3;F1
A4IDB6;F1
A4IDE1;F1
A4IDI5;F1
A4IDL5;F1
A4IDP7;F1
A4IDQ7;F1
A4L9P8;F1
A4UGR9;F8
A4UGR9;F7
A4UQV6;F1
A5D8S0;F1
A5PF31;F1
A5PF44;F1
A5PMR2;F1
A5PN09;F1
A5WUN7;F1
A5WWD4;F1
A5YM69;F1
A5Z2V1;F1
A6H619;F1
A6ND36;F1
A6NGB9;F1
A6NL46;F1
A6NM11;F1
A6NMS7;F1
A6NMZ7;F1
A6NNH2;F1
A6PWD2;F1
A6ZJ71;F1
A7KAX9;F1
A7MBM2;F1
A8B6E8;F1
A8C4G9;F1
A8DQW8;F1
A8DY97;F1
A8DYJ6;F1
A8DYJ9;F1
A8DYZ4;F1
A8DZ29;F1
A8DZA0;F1
A8DZE6;F1
A8JNI2;F1
A8JNM1;F1
A8JPC8;F1
A8JR05;F1
A8JUR1;F1
A8JUV3;F1
A8JUZ7;F1
A8K7I4;F1
A8KB74;F1
A8MQH6;F1
A8MRQ5;F1
A8MUU9;F1
A8MVM7;F1
A8MX80;F1
A8MYU2;F1
A8WFZ3;F1
A8Y5A2;F1
A9C474;F1
A9D2P7;F1
B0G126;F1
B0G181;F1
B0R147;F1
B0S4T8;F1
B0S6F3;F1
B0S6S7;F1
B0S776;F1
B0S8G4;F1
B0UYI3;F1
B0UYM8;F1
B0UYQ8;F1
B0V0F6;F1
B0V1F9;F1
B0V2Z3;F1
B0V3C8;F1
B0V3S7;F1
B1ASB6;F1
B1AV60;F1
B1AXN3;F1
B2CZC4;F1
B2GV04;F1
B2RQG2;F1
B2RTY4;F1
B2RUQ2;F1
B2RWS6;F1
B2RYL1;F1
B2RZ61;F1
B3DIZ6;F1
B3DJR0;F1
B3DK47;F1
B3DMV2;F1
B3H544;F1
B4DH59;F1
B4F7E8;F1
B4F7F3;F1
B4F8P1;F1
B4F8Y5;F1
B4FA36;F1
B4FBB6;F1
B4FDG8;F1
B4FEJ7;F1
B4FFF2;F1
B4FFL5;F1
B4FFP3;F1
B4FFZ2;F1
B4FIE9;F1
B4FIH0;F1
B4FJ38;F1
B4FJ72;F1
B4FPD6;F1
B4FQD4;F1
B4FRH4;F1
B4FWD2;F1
B4FXA9;F1
B4FYD7;F1
B4FZG4;F1
B4FZW2;F1
B4G0C9;F1
B4G107;F1
B4G1C5;F1
B4G1L2;F1
B4YB07;F1
B4YB10;F1
B5DEG1;F1
B5DEJ2;F1
B5DFG6;F1
B6RSP1;F1
B6SJT5;F1
B6SKL2;F1
B6T4K0;F1
B6T8Z1;F1
B6UEI1;F1
B7E3J2;F1
B7E3S3;F1
B7EIF2;F1
B7FAK7;F1
B7WNB4;F1
B7YZH1;F1
B7YZU2;F1
B7YZX0;F1
B7Z141;F1
B7ZY74;F1
B7ZYN1;F1
B8A068;F1
B8A0X5;F1
B8A1J6;F1
B8A3H2;F1
B8A4H7;F1
B8A4S4;F1
B8A4X7;F1
B8A574;F1
B8A5U4;F1
B8A5Y1;F1
B8A6E8;F1
B8A6I4;F1
B8JHS8;F1
B8JI51;F1
B8JIX7;F1
B8JIY2;F1
B8JKI7;F1
B8JLK8;F1
B8JLP7;F1
B8JM40;F1
B8YIE8;F1
B9FAP8;F1
B9G5N1;F1
B9GDU2;F1
B9WRU1;F1
B9ZSI9;F1
B9ZW35;F1
C0H4Q1;F1
C0H4R3;F1
C0H4X7;F1
C0H4Y4;F1
C0H575;F1
C0H5K2;F1
C0HEZ5;F1
C0HF23;F1
C0HF62;F1
C0HG45;F1
C0HKD1;F1
C0P3N6;F1
C0P3P5;F1
C0P7E6;F1
C0P833;F1
C0P8B5;F1
C0P8C5;F1
C0PBU4;F1
C0PD82;F1
C0PDK2;F1
C0PEM5;F1
C0PFF8;F1
C0PG49;F1
C0PNP7;F1
C1JIE2;F1
C1PHB8;F1
C4J620;F1
C4JB03;F1
C6KRI0;F1
C6KRL6;F1
C6KSN3;F1
C6KSQ6;F1
C6KSR5;F1
C6KSS0;F1
C6KSS7;F1
C6KSS9;F1
C6KT38;F1
C6KT62;F1
C6S3D1;F1
C6S3F2;F1
C6S3H2;F1
C6SXE4;F1
C6T8X9;F1
C6TAF1;F1
C6TCU8;F1
C6TH20;F1
C6TN56;F1
C7DZK3;F1
C7G008;F1
C7G014;F1
C7G083;F1
C7IVR4;F1
C7IW64;F1
C9JSJ3;F1
D0IQA3;F1
D0Z5N4;F1
D0Z740;F1
D1FTM8;F1
D3YWE6;F1
D3YXK0;F1
D3YZU1;F1
D3YZV8;F1
D3Z5T8;F1
D3Z896;F1
D3Z8N9;F1
D3Z8Q6;F1
D3Z908;F1
D3Z9C8;F1
D3Z9D0;F1
D3ZA12;F1
D3ZA21;F1
D3ZA46;F1
D3ZA55;F1
D3ZAC0;F1
D3ZB51;F1
D3ZBD0;F1
D3ZBU7;F1
D3ZBZ6;F1
D3ZC89;F1
D3ZC92;F1
D3ZCH1;F1
D3ZCP6;F1
D3ZCQ0;F1
D3ZCX1;F1
D3ZDI4;F1
D3ZDP4;F1
D3ZDS2;F1
D3ZDS4;F1
D3ZDX5;F1
D3ZE04;F1
D3ZE26;F1
D3ZF26;F1
D3ZF41;F1
D3ZFG7;F1
D3ZG21;F1
D3ZGK2;F1
D3ZH28;F1
D3ZH36;F1
D3ZHH5;F1
D3ZHK4;F1
D3ZHS6;F1
D3ZIF4;F1
D3ZII5;F1
D3ZJF8;F1
D3ZK16;F1
D3ZK81;F1
D3ZKC9;F1
D3ZKI5;F1
D3ZKR9;F1
D3ZLN2;F1
D3ZLQ9;F1
D3ZM69;F1
D3ZMD6;F1
D3ZMJ7;F1
D3ZMK5;F1
D3ZML2;F1
D3ZMR4;F1
D3ZN64;F1
D3ZN76;F1
D3ZNX2;F1
D3ZPW4;F1
D3ZQ60;F1
D3ZQ68;F1
D3ZQG0;F1
D3ZQL2;F1
D3ZQM0;F1
D3ZQM3;F1
D3ZQT7;F1
D3ZRB5;F1
D3ZRG8;F1
D3ZSC1;F1
D3ZSU6;F1
D3ZTA8;F1
D3ZTJ7;F1
D3ZTZ0;F1
D3ZUA4;F1
D3ZUH5;F1
D3ZUL3;F1
D3ZUT0;F1
D3ZV39;F1
D3ZVE5;F1
D3ZVI2;F1
D3ZVK5;F1
D3ZVT7;F1
D3ZW88;F1
D3ZWH1;F1
D3ZWL9;F1
D3ZX10;F1
D3ZXL8;F1
D3ZXN9;F1
D3ZXQ5;F1
D3ZYD7;F1
D3ZYT8;F1
D3ZYW8;F1
D3ZZ51;F1
D3ZZE0;F1
D4A024;F1
D4A0D9;F1
D4A0U3;F1
D4A123;F1
D4A1E5;F1
D4A1P7;F1
D4A1U8;F1
D4A206;F1
D4A2J9;F1
D4A3C2;F1
D4A3E3;F1
D4A3I5;F1
D4A3J0;F1
D4A3J9;F1
D4A3Q3;F1
D4A3R6;F1
D4A3X1;F1
D4A4R3;F1
D4A4Z9;F1
D4A532;F1
D4A582;F1
D4A5I4;F1
D4A633;F1
D4A6X9;F1
D4A6Z8;F1
D4A757;F1
D4A7S7;F1
D4A7V9;F1
D4A833;F1
D4A853;F1
D4A9W1;F1
D4AA06;F1
D4AA54;F1
D4AA82;F1
D4AAI9;F1
D4AAK3;F1
D4AAP6;F1
D4AAR7;F1
D4AAW9;F1
D4ABB3;F1
D4ABH1;F1
D4ABI4;F1
D4ABP8;F1
D4ABR5;F1
D4AC33;F1
D4AC70;F1
D4AD89;F1
D4ADC2;F1
D4ADC4;F1
D4ADG5;F1
D4ADI8;F1
D4ADX8;F1
D4AE58;F1
D4AE73;F1
D4AE81;F1
D4AE97;F1
D4AEB3;F1
D4AEL8;F1
D6MUD3;F1
D6RIA3;F1
D9PTN5;F1
E0CYV9;F1
E0CZH3;F1
E1AZ71;F1
E1JI78;F1
E1JIH4;F1
E1JIT7;F1
E3UJZ1;F1
E3UJZ2;F1
E5FYH1;F1
E7EXE8;F1
E7EXE9;F1
E7EXQ0;F1
E7EXQ2;F1
E7EY17;F1
E7EYB5;F1
E7EYB7;F1
E7EYC3;F1
E7EYF2;F1
E7EYJ5;F1
E7EZ01;F1
E7EZB0;F1
E7EZI4;F1
E7EZI7;F1
E7EZN5;F1
E7F011;F1
E7F092;F1
E7F0G8;F1
E7F0N0;F1
E7F1A2;F1
E7F1H1;F1
E7F1Y0;F1
E7F204;F1
E7F271;F1
E7F2A9;F1
E7F2T0;F1
E7F349;F1
E7F371;F1
E7F3N4;F1
E7F3P2;F1
E7F3U0;F1
E7F3X8;F1
E7F429;F1
E7F469;F1
E7F4B2;F1
E7F4M2;F1
E7F4R0;F1
E7F4T4;F1
E7F4U8;F1
E7F4Z4;F1
E7F568;F1
E7F5D0;F1
E7F5H0;F1
E7F5U2;F1
E7F662;F1
E7F6G9;F1
E7F6R0;F1
E7F726;F1
E7F742;F1
E7F7L7;F1
E7F958;F1
E7F9B1;F1
E7FA45;F1
E7FA74;F1
E7FAC3;F1
E7FAN6;F1
E7FB55;F1
E7FB78;F1
E7FBE2;F1
E7FBI2;F1
E7FBZ8;F1
E7FC27;F1
E7FCM1;F1
E7FCP9;F1
E7FCQ1;F1
E7FCT0;F1
E7FDL3;F1
E7FDR0;F1
E7FDX9;F1
E7FDY6;F1
E7FE14;F1
E7FE16;F1
E7FE29;F1
E7FE35;F1
E7FEJ5;F1
E7FEY7;F1
E7FF48;F1
E7FFM0;F1
E7FFM2;F1
E7FFM8;F1
E7FFR7;F1
E7FGC2;F1
E7FGZ9;F1
E9AG40;F1
E9AG64;F1
E9AGB6;F1
E9AGD3;F1
E9AGE9;F1
E9AGH1;F1
E9AGI7;F1
E9AGM0;F1
E9AGM9;F1
E9AGT6;F1
E9AGW5;F1
E9AGW8;F1
E9AGX2;F1
E9AGX9;F1
E9AGZ4;F1
E9AH53;F1
E9AH73;F1
E9AHB7;F1
E9AHF8;F1
E9AHH8;F1
E9AHI7;F1
E9AHK3;F1
E9AHK8;F1
E9AHN4;F1
E9AHP2;F1
E9AHV5;F1
E9AHY6;F1
E9PSN4;F1
E9PT49;F1
E9PU15;F1
E9PU57;F1
E9PUL3;F1
E9PUR0;F1
E9PV66;F1
E9PV87;F1
E9PVG8;F1
E9PW37;F1
E9PWM3;F1
E9PWW9;F1
E9PX29;F1
E9PY61;F1
E9PYH6;F1
E9PYK3;F1
E9PYL2;F1
E9PZM7;F1
E9PZZ1;F1
E9Q0B5;F1
E9Q1U1;F1
E9Q238;F1
E9Q286;F1
E9Q287;F1
E9Q368;F1
E9Q3M5;F1
E9Q3M9;F1
E9Q4F7;F1
E9Q4N7;F1
E9Q4X2;F1
E9Q4Y4;F1
E9Q5F9;F1
E9Q777;F1
E9Q784;F1
E9Q7C4;F1
E9Q7X6;F1
E9Q842;F1
E9Q8X5;F1
E9Q9K5;F1
E9QA35;F1
E9QAF1;F1
E9QAT4;F1
E9QB91;F1
E9QCS7;F1
E9QDA3;F1
E9QEL6;F1
E9QEX9;F1
E9QFG3;F1
E9QFH4;F1
E9QFK0;F1
E9QG28;F1
E9QGF9;F1
E9QGL6;F1
E9QGQ0;F1
E9QI21;F1
E9QJ97;F1
E9QJQ6;F1
F1DK02;F1
F1LMK2;F1
F1LMK8;F1
F1LN42;F1
F1LNT3;F1
F1LP13;F1
F1LP26;F1
F1LPJ7;F1
F1LQ00;F1
F1LQ08;F1
F1LQJ2;F1
F1LR02;F1
F1LR12;F1
F1LR71;F1
F1LRC7;F1
F1LRJ1;F1
F1LRZ9;F1
F1LSB5;F1
F1LTG2;F1
F1LU76;F1
F1LU78;F1
F1LUN5;F1
F1LWI7;F1
F1LWJ1;F1
F1LX60;F1
F1LXQ7;F1
F1LXT0;F1
F1LYC7;F1
F1LYH4;F1
F1LZ81;F1
F1LZD2;F1
F1M062;F1
F1M090;F1
F1M0H0;F1
F1M155;F1
F1M1Q8;F1
F1M1X0;F1
F1M2D4;F1
F1M386;F1
F1M4M5;F1
F1M5B9;F1
F1M5H6;F1
F1M5Q4;F1
F1M6T3;F1
F1M748;F1
F1M7J7;F1
F1M7N4;F1
F1M7Q7;F1
F1M842;F1
F1M8K0;F1
F1M8P4;F1
F1M9H1;F1
F1M9H4;F1
F1M9V4;F1
F1MA59;F1
F1MA98;F1
F1MAK0;F1
F1MAK3;F1
F1MAP4;F1
F1MAQ7;F1
F1Q4N0;F1
F1Q4U5;F1
F1Q4V3;F1
F1Q554;F1
F1Q588;F1
F1Q5B3;F1
F1Q5H5;F1
F1Q5P9;F1
F1Q6M9;F1
F1Q6T6;F1
F1Q6Y6;F1
F1Q712;F1
F1Q7V2;F1
F1Q816;F1
F1Q9U2;F1
F1Q9U9;F1
F1QA32;F1
F1QA47;F1
F1QAB3;F1
F1QAL1;F1
F1QBW8;F1
F1QCM6;F1
F1QD18;F1
F1QDF2;F1
F1QDN9;F1
F1QDP4;F1
F1QE14;F1
F1QES5;F1
F1QEV9;F1
F1QEY1;F1
F1QF92;F1
F1QFE6;F1
F1QG96;F1
F1QGD0;F1
F1QGN0;F1
F1QGQ8;F1
F1QH17;F1
F1QHY2;F1
F1QI79;F1
F1QI87;F1
F1QJJ4;F1
F1QK51;F1
F1QK55;F1
F1QK72;F1
F1QK75;F1
F1QKB6;F1
F1QM25;F1
F1QM29;F1
F1QMF0;F1
F1QMY9;F1
F1QN33;F1
F1QN90;F1
F1QNB9;F1
F1QNC0;F1
F1QP72;F1
F1QPU8;F1
F1QQ17;F1
F1QQW2;F1
F1QRV8;F1
F1QST2;F1
F1QTX6;F1
F1QU13;F1
F1QUF1;F1
F1QUT1;F1
F1QV08;F1
F1QV77;F1
F1QVM1;F1
F1QVW5;F1
F1QW26;F1
F1QWK4;F1
F1QWQ1;F1
F1QWV3;F1
F1QWY5;F1
F1QX32;F1
F1QX64;F1
F1QXK9;F1
F1QXN5;F1
F1QYN1;F1
F1QYS3;F1
F1QYT8;F1
F1QYU7;F1
F1QYX1;F1
F1QZE7;F1
F1QZF2;F1
F1QZX2;F1
F1R060;F1
F1R0L7;F1
F1R101;F1
F1R108;F1
F1R1Q1;F1
F1R226;F1
F1R356;F1
F1R3R6;F1
F1R3T1;F1
F1R405;F1
F1R454;F1
F1R4B2;F1
F1R4F8;F1
F1R4S2;F1
F1R4Z6;F1
F1R5H6;F1
F1R6C7;F1
F1R6L5;F1
F1R7D7;F1
F1R7F6;F1
F1R803;F1
F1R8N3;F1
F1R9D7;F1
F1R9L2;F1
F1R9S3;F1
F1R9Y1;F1
F1RA07;F1
F1RAZ0;F1
F1RB21;F1
F1RB79;F1
F1RC69;F1
F1RCC6;F1
F1RCL8;F1
F1RCM2;F1
F1RCN2;F1
F1RCP1;F1
F1RCT5;F1
F1RDL5;F1
F1RDM5;F1
F1REC9;F1
F1REF7;F1
F1REK0;F1
F1REM9;F1
F2Z3U3;F1
F2Z4R8;F1
F4HT76;F1
F4HTH8;F1
F4HUC4;F1
F4HUN8;F1
F4HV22;F1
F4HWC3;F1
F4HZ82;F1
F4HZU9;F1
F4I129;F1
F4I2G3;F1
F4I2H7;F1
F4I6U7;F1
F4IAT2;F1
F4IG49;F1
F4IGU5;F1
F4IIM1;F1
F4IK40;F1
F4IK92;F1
F4IL05;F1
F4IMB2;F1
F4IN30;F1
F4IN78;F1
F4IPM3;F1
F4IPV3;F1
F4ISE7;F1
F4ISL7;F1
F4ISN0;F1
F4ISU2;F1
F4ISY0;F1
F4IUJ7;F1
F4IUY8;F1
F4IV18;F1
F4IVR7;F1
F4IXI9;F1
F4IXT2;F1
F4IXU3;F1
F4IYM4;F1
F4J4Y8;F1
F4J6I7;F1
F4J6V1;F1
F4J7G2;F1
F4J7T2;F1
F4J7T3;F1
F4J827;F1
F4J8L3;F1
F4JCR3;F1
F4JCS8;F1
F4JCU0;F1
F4JEG0;F1
F4JH01;F1
F4JIK2;F1
F4JMA6;F1
F4JNM2;F1
F4JP43;F1
F4JP86;F1
F4JU03;F1
F4JV39;F1
F4JXC7;F1
F4JXH7;F1
F4JZ68;F1
F4K1W7;F1
F4K4W1;F1
F4K5D9;F1
F4K5P3;F1
F4KBP5;F1
F4KDC4;F1
F4KDE6;F1
F4KDI6;F1
F4KFG2;F1
F4KHQ8;F1
F4KIX0;F1
F5HSE3;F1
F6NI44;F1
F6NK88;F1
F6NM51;F1
F6NP92;F1
F6P2R0;F1
F6P6X1;F1
F6PDP0;F1
F6PEA7;F1
F6QRE9;F1
F6ZDS4;F1
F7F9X9;F1
F7FH45;F1
F7FL00;F1
F8VQB6;F1
F8VQG7;F1
F8W2W0;F1
F8W3C3;F1
F8W3J1;F1
F8W4I7;F1
F8W4J7;F1
F8W5R9;F1
G1UBC2;F1
G3V667;F1
G3V6F3;F1
G3V7M0;F1
G3V8U0;F1
G3V953;F1
G3V9G5;F1
G3V9L9;F1
G3V9W8;F1
G3X9F6;F1
G4S460;F1
G4SCE4;F1
G4SF97;F1
G5E893;F1
G5EBG6;F1
G5EBY6;F1
G5EC02;F1
G5ECD6;F1
G5ECK4;F1
G5ECW0;F1
G5ECZ7;F1
G5ECZ8;F1
G5EDE4;F1
G5EDK5;F1
G5EDU2;F1
G5EDU3;F1
G5EEA2;F1
G5EEB5;F1
G5EET2;F1
G5EET7;F1
G5EEW4;F1
G5EF08;F1
G5EFT0;F1
G5EGA4;F1
G5EGE9;F1
G5EGH4;F1
G5EGI1;F1
G5EGK6;F1
G5EGQ3;F1
G8GVE0;F1
H2KY58;F1
H2KYH3;F1
H2KYP2;F1
H2KZ66;F1
H2KZL0;F1
H2KZV4;F1
H2L0C5;F1
H2L0H1;F1
H3BKP8;F1
H3BSY2;F1
H7BZ55;F1
H8ESG5;F1
H9G2R4;F1
I1J4N2;F1
I1J4N6;F1
I1J4P2;F1
I1J4T4;F1
I1J591;F1
I1J5A4;F1
I1J5F7;F1
I1J5T5;F1
I1J7M7;F1
I1J896;F1
I1J8P1;F1
I1J8S3;F1
I1J986;F1
I1J9D7;F1
I1JAN2;F1
I1JAR7;F1
I1JD01;F1
I1JD80;F1
I1JDB6;F1
I1JF81;F1
I1JFC3;F1
I1JHC6;F1
I1JJG1;F1
I1JKI3;F1
I1JM41;F1
I1JNF1;F1
I1JPC8;F1
I1JPL8;F1
I1JPQ2;F1
I1JQT5;F1
I1JQV8;F1
I1JUS4;F1
I1JWB5;F1
I1JWH8;F1
I1JX06;F1
I1JYL9;F1
I1JYN1;F1
I1JYT1;F1
I1JZX8;F1
I1K0T6;F1
I1K3S2;F1
I1K492;F1
I1K4M8;F1
I1K6F5;F1
I1K8F5;F1
I1K997;F1
I1KAW1;F1
I1KAX7;F1
I1KDN7;F1
I1KDU2;F1
I1KDZ1;F1
I1KEI3;F1
I1KFL9;F1
I1KFX5;F1
I1KHA5;F1
I1KI89;F1
I1KJH0;F1
I1KKN0;F1
I1KL71;F1
I1KNL0;F1
I1KNT8;F1
I1KPI6;F1
I1KPW8;F1
I1KRS7;F1
I1KS63;F1
I1KSQ6;F1
I1KSR4;F1
I1KT67;F1
I1KU45;F1
