gene;model
A0A0G2K7F0;F1
A0A0G2K8H2;F1
A0A0G2K8R3;F1
A0A0G2K916;F1
A0A0G2K936;F1
A0A0G2K972;F1
A0A0G2K999;F1
A0A0G2KA68;F1
A0A0G2KAE5;F1
A0A0G2KAZ4;F1
A0A0G2KB10;F1
A0A0G2KB73;F1
A0A0G2KLK6;F1
A0A0G2KMQ4;F1
A0A0G2KPG1;F1
A0A0G2KZ18;F1
A0A0G2L354;F1
A0A0G2L7C5;F1
A0A0G2QC19;F1
A0A0G2QC59;F1
A0A0H2UKG9;F1
A0A0H2UKQ6;F1
A0A0H2UKU2;F1
A0A0K3ATL3;F1
A0A0K3AU53;F1
A0A0K3AUE4;F1
A0A0N4SUA6;F1
A0A0N7KCT2;F1
A0A0N7KD71;F1
A0A0N7KD84;F1
A0A0N7KDD6;F1
A0A0N7KFT6;F1
A0A0N7KI94;F1
A0A0N7KIN6;F1
A0A0N7KIU6;F1
A0A0N7KKC7;F1
A0A0N7KKJ5;F1
A0A0N7KMB7;F1
A0A0N7KNL1;F1
A0A0N7KQ01;F1
A0A0N7KR21;F1
A0A0N7KR55;F1
A0A0N7KS47;F1
A0A0N7KSV2;F1
A0A0N7KTM1;F1
A0A0N7KTM3;F1
A0A0P0UZ54;F1
A0A0P0UZN6;F1
A0A0P0V213;F1
A0A0P0V2N4;F1
A0A0P0V2Z9;F1
A0A0P0V3S3;F1
A0A0P0V510;F1
A0A0P0V597;F1
A0A0P0V8K7;F1
A0A0P0V8L7;F1
A0A0P0V8R7;F1
A0A0P0V946;F1
A0A0P0V9V5;F1
A0A0P0VAQ0;F1
A0A0P0VCF3;F1
A0A0P0VCP8;F1
A0A0P0VCT8;F1
A0A0P0VDI3;F1
A0A0P0VG98;F1
A0A0P0VHB1;F1
A0A0P0VHQ0;F1
A0A0P0VK12;F1
A0A0P0VL93;F1
A0A0P0VNJ6;F1
A0A0P0VQJ0;F1
A0A0P0VRS2;F1
A0A0P0VT99;F1
A0A0P0VTY1;F1
A0A0P0VV48;F1
A0A0P0VWW7;F1
A0A0P0VXN2;F1
A0A0P0VXZ6;F1
A0A0P0W077;F1
A0A0P0W234;F1
A0A0P0W3Q5;F1
A0A0P0W3X0;F1
A0A0P0W406;F1
A0A0P0W5W4;F1
A0A0P0W7C2;F1
A0A0P0W7M8;F1
A0A0P0W7V5;F1
A0A0P0W838;F1
A0A0P0W8I8;F1
A0A0P0W8Y4;F1
A0A0P0WA44;F1
A0A0P0WAN6;F1
A0A0P0WAT4;F1
A0A0P0WB79;F1
A0A0P0WBW8;F1
A0A0P0WGB6;F1
A0A0P0WJ09;F1
A0A0P0WK13;F1
A0A0P0WKK4;F1
A0A0P0WLI6;F1
A0A0P0WLV0;F1
A0A0P0WMD7;F1
A0A0P0WMF1;F1
A0A0P0WN36;F1
A0A0P0WPF2;F1
A0A0P0WPW9;F1
A0A0P0WRW9;F1
A0A0P0WS60;F1
A0A0P0WSD0;F1
A0A0P0WSX1;F1
A0A0P0WUQ9;F1
A0A0P0WUR7;F1
