Hist,BinEdges
24.0,0.1
0.0,0.13
0.0,0.16
20.0,0.19
0.0,0.22000000000000003
0.0,0.25
8.0,0.28
0.0,0.31000000000000005
0.0,0.34
0.0,0.37
8.0,0.4
0.0,0.43000000000000005
0.0,0.4600000000000001
13.0,0.49
0.0,0.52
0.0,0.55
15.0,0.5800000000000001
0.0,0.61
0.0,0.64
13.0,0.67
0.0,0.7000000000000001
0.0,0.73
0.0,0.76
13.0,0.79
0.0,0.8200000000000001
0.0,0.8500000000000001
10.0,0.88
0.0,0.91
0.0,0.9400000000000001
2.0,0.9700000000000001
