R_tag,R_pep,R_avg,R_ci_lower_delta,R_ci_upper_delta
R_E3P3,1.0,1.6684629156237898e-06,1.2563474954145216e-06,1.2563474954145218e-06
R_E3P3,2.5,3.1305695911805245e-05,1.0930833533532578e-05,1.0930833533532578e-05
R_E3P3,5.0,0.0005471676568303479,6.212384268772479e-05,6.212384268772472e-05
R_E3P3,7.5,0.0018380241485661788,0.00011297747951049803,0.00011297747951049803
R_E3P3,10.0,0.003030971061093247,0.00013533513371897433,0.00013533513371897433
R_E3P3,12.5,0.00323307303628847,0.0001297234763389084,0.0001297234763389084
R_E3P3,15.0,0.0021918159546776904,0.00010141638530465459,0.00010141638530465459
R_E3P3,17.5,0.0008138493339457966,1.6678909470364936e-05,1.6678909470364936e-05
R_E3P3,20.0,0.0009728678609707545,0.0010296531166826752,0.0010296531166826752
