N_tag,N_pep,N_avg,N_ci_lower_delta,N_ci_upper_delta
N_E4P1,1.0,4.74071461381974e-06,2.488640904865714e-06,2.488640904865714e-06
N_E4P1,2.5,8.390847496554892e-05,6.748018115168037e-06,6.748018115168037e-06
N_E4P1,5.0,0.0012873347168449371,0.0001499930785161866,0.0001499930785161866
N_E4P1,7.5,0.003659671422829582,0.0001598381475869451,0.0001598381475869451
N_E4P1,10.0,0.005960434083601286,0.0002752371727055315,0.0002752371727055315
N_E4P1,12.5,0.005959646302250803,0.0001799625092236651,0.0001799625092236651
N_E4P1,15.0,0.004016491403635408,0.00031481051748947255,0.00031481051748947304
N_E4P1,17.5,0.0011594756873810614,8.80203670031935e-05,8.80203670031935e-05
N_E4P1,20.0,0.0006263390806483367,0.00022508269750259565,0.00022508269750259568
