pep,N_avg,N_ci_lower_delta,N_ci_upper_delta
1.0,4.480718264912071e-06,1.6505798399394563e-06,1.6505798399394563e-06
2.5,7.221656453770058e-05,9.109490296005222e-06,9.109490296005222e-06
5.0,0.0010909301945660785,0.00012738916999392095,0.00012738916999392095
7.5,0.0030136841840836008,0.00034284316846861125,0.00034284316846861125
10.0,0.005230014469453375,0.00041029069641481796,0.00041029069641481796
12.5,0.00521520578778135,0.0004039244386671841,0.0004039244386671841
15.0,0.0036368662778616264,0.0002745644885277605,0.00027456448852776006
17.5,0.001071952856705383,0.00010927189697277262,0.00010927189697277251
20.0,0.0005664968720607215,0.00012526032117818212,0.00012526032117818212
