pep,R_avg,R_ci_lower_delta,R_ci_upper_delta
1.0,8.625927984979302e-06,6.229948860580507e-06,6.229948860580508e-06
2.5,8.448745095208452e-05,2.374066794033893e-05,2.374066794033893e-05
5.0,0.0007162898307375429,8.313881220147889e-05,8.313881220147889e-05
7.5,0.001859998400485596,0.00016083928446681303,0.0001608392844668128
10.0,0.0035319871382636647,0.0002710455539962904,0.0002710455539962904
12.5,0.003668027962792834,0.0002405736430148909,0.00024057364301489047
15.0,0.0022607540001531156,0.00014796141864787705,0.00014796141864787705
17.5,0.0007649349530809107,3.2921175354799575e-05,3.2921175354799575e-05
20.0,0.0004872751793643502,0.00029537142378916636,0.0002953714237891664
