buffer,essential,OR,OR_lb,OR_ub,pvalue
CD,essential,1.77962025205266,1.3498588075760032,2.3466763314289145,4.407681658147311e-05
CD,nonessential,1.3506689658837363,1.0470744109569372,1.7419409847740754,0.020667722139983358
CG,essential,1.2935624482674615,1.05548460215508,1.5856588512805472,0.013175130613838792
CG,nonessential,1.3056486929626985,1.0692954781746002,1.5952014034170006,0.009001425413473818
C,essential,1.5098344363287448,1.336427488025472,1.7040367583907279,3.011657589979677e-11
C,nonessential,1.4320399984115384,1.272521035308229,1.6112334440542406,2.4165540679632613e-09
