OR|OR_lb|OR_ub|pvalue|tag|buff|spa|LiPMScov|clientN_essentialN|clientY_essentialN|clientN_essentialY|clientY_essentialY|total_res|n|label
1.5260301507537688|0.9323944805194804|2.661423320141402|0.1080005231817468|AF_Knockout|C|0|50|104|199|25|73|401|401|AF
1.5260301507537688|0.9387707485123707|2.6501645899947555|0.1080005231817468|AF_Knockout|C|10|50|104|199|25|73|401|401|AF
1.5260301507537688|0.9321258900756564|2.627715903434542|0.1080005231817468|AF_Knockout|C|20|50|104|199|25|73|401|401|AF
1.5260301507537688|0.9374545704845816|2.6633930633387988|0.1080005231817468|AF_Knockout|C|30|50|104|199|25|73|401|401|AF
1.5260301507537688|0.9345839190695836|2.674875964445814|0.1080005231817468|AF_Knockout|C|40|50|104|199|25|73|401|401|AF
1.511356783919598|0.9188474755485064|2.6522217992640527|0.1347638820011996|AF_Knockout|C|50|50|103|199|25|73|400|400|AF
1.4377664974619289|0.8652912621359223|2.535363761864436|0.2075510964269331|AF_Knockout|C|60|50|97|197|25|73|392|392|AF
1.4867403314917127|0.8616957698189947|2.730198329641155|0.1752031091771576|AF_Knockout|C|70|50|78|181|20|69|348|348|AF
1.7027027027027026|0.8958316738734639|3.943725662678864|0.1442658449148863|AF_Knockout|C|80|50|48|148|12|63|271|271|AF
1.76|0.701839874411303|6.748717948717949|0.3495874097390175|AF_Knockout|C|90|50|18|75|6|44|143|143|AF
1.2921307941070788|0.7311790878754172|2.4069904548871714|0.3958351511916861|EXP_Knockout|C|0|50|62|121|23|58|264|264|EXP
1.2921307941070788|0.7355698529411765|2.380952380952381|0.3958351511916861|EXP_Knockout|C|10|50|62|121|23|58|264|264|EXP
1.2921307941070788|0.747008547008547|2.382370388833499|0.3958351511916861|EXP_Knockout|C|20|50|62|121|23|58|264|264|EXP
1.2921307941070788|0.7441751453488372|2.3846638655462176|0.3958351511916861|EXP_Knockout|C|30|50|62|121|23|58|264|264|EXP
1.2921307941070788|0.735283740512334|2.3636631016042777|0.3958351511916861|EXP_Knockout|C|40|50|62|121|23|58|264|264|EXP
1.2921307941070788|0.7378767775736546|2.3929541925465823|0.3958351511916861|EXP_Knockout|C|50|50|62|121|23|58|264|264|EXP
1.329075882794891|0.75195|2.454033799931717|0.3879254389350391|EXP_Knockout|C|60|50|61|121|22|58|262|262|EXP
1.3304347826086955|0.7179802955665024|2.600977901154892|0.437739314137441|EXP_Knockout|C|70|50|51|115|18|54|238|238|EXP
1.5473684210526315|0.7333333333333333|3.91752103786816|0.3403469249824956|EXP_Knockout|C|80|50|30|95|10|49|184|184|EXP
1.1882716049382716|0.3985204081632653|4.666666666666667|1.0|EXP_Knockout|C|90|50|11|54|6|35|106|106|EXP
