type,mean,lb,ub,perm_stat,pvalue
FracPureLoss,0.2897701576836879,0.2209651501398248,0.37227201318759273,0.16484260106060453,0.0006
FracPureGain,0.12492755662308339,0.08176546018161603,0.1860547132635967,0.16484260106060453,0.0006
FracbothLossGain,0.5796006150568325,0.5024630452191379,0.6548692288140506,,
FracLoss,0.5843174828039255,0.5251590591615738,0.6401735191724065,0.16863496560785107,0.0004
FracGain,0.4156825171960744,0.36062915880967994,0.4742918027468699,0.16863496560785107,0.0004
FracOverlap,0.3595533911670763,0.2866076786281353,0.4550217190026344,,
CondLossOverlap,0.34880150708608854,0.2741993154703903,0.4511055946648699,,
CondGainOverlap,0.37242366643749747,0.29382907220836907,0.48282868187694483,,
FracLossNoOverlap,0.6107186083008541,0.5299380127766189,0.6864705066548552,0.22143721660170818,0.0002
FracGainNoOverlap,0.38928139169914594,0.31269684575712825,0.4702597182520809,0.22143721660170818,0.0002
