gene pdb chain
P05719 AF A
P05791 AF A
P05793 AF A
P05804 AF A
P05824 AF A
P05825 AF A
P05827 AF A
P05847 AF A
P05852 AF A
P06129 AF A
P06134 AF A
P06136 AF A
P06149 AF A
P06282 AF A
P06609 AF A
P06610 AF A
P06611 AF A
P06612 AF A
P06616 AF A
P06709 AF A
P06710 AF A
P06715 AF A
P06720 AF A
P06721 AF A
P06722 AF A
P06846 AF A
P06864 AF A
P06959 AF A
P06960 AF A
P06961 AF A
P06965 AF A
P06966 AF A
P06968 AF A
P06971 AF A
P06972 AF A
P06974 AF A
P06983 AF A
P06986 AF A
P06987 AF A
P06988 AF A
P06989 AF A
P06992 AF A
P06993 AF A
P06996 AF A
P06999 AF A
P07000 AF A
P07001 AF A
P07003 AF A
P07004 AF A
P07010 AF A
P07012 AF A
P07013 AF A
P07014 AF A
P07017 AF A
P07018 AF A
P07021 AF A
P07023 AF A
P07024 AF A
P07026 AF A
P07102 AF A
P07109 AF A
P07117 AF A
P07118 AF A
P07330 AF A
P07363 AF A
P07364 AF A
P07395 AF A
P07464 AF A
P07604 AF A
P07623 AF A
P07639 AF A
P07648 AF A
P07649 AF A
P07650 AF A
P07654 AF A
P07762 AF A
P07813 AF A
P07821 AF A
P07822 AF A
P07862 AF A
P07913 AF A
P08142 AF A
P08178 AF A
P08179 AF A
P08189 AF A
P08190 AF A
P08191 AF A
P08192 AF A
P08194 AF A
P08200 AF A
P08201 AF A
P08202 AF A
P08203 AF A
P08204 AF A
P08244 AF A
P08245 AF A
P08312 AF A
P08331 AF A
P08337 AF A
P08365 AF A
P08368 AF A
P08369 AF A
P08370 AF A
P08371 AF A
P08372 AF A
P08373 AF A
P08390 AF A
P08394 AF A
P08395 AF A
P08400 AF A
P08401 AF A
P08506 AF A
P08550 AF A
P08555 AF A
P08622 AF A
P08660 AF A
P08722 AF A
P08839 AF A
P08956 AF A
P08957 AF A
P08997 AF A
P09029 AF A
P09030 AF A
P09053 AF A
P09099 AF A
P09126 AF A
P09127 AF A
P09147 AF A
P09148 AF A
P09151 AF A
P09152 AF A
P09153 AF A
P09154 AF A
P09155 AF A
P09158 AF A
P09162 AF A
P09163 AF A
P09169 AF A
P09184 AF A
P09323 AF A
P09348 AF A
P09372 AF A
P09373 AF A
P09377 AF A
P09378 AF A
P09391 AF A
P09394 AF A
P09424 AF A
P09546 AF A
P09549 AF A
P09551 AF A
P09557 AF A
P09831 AF A
P09832 AF A
P09833 AF A
P09835 AF A
P09836 AF A
P09980 AF A
P09996 AF A
P0A698 AF A
P0A6A0 AF A
P0A6A3 AF A
P0A6A6 AF A
P0A6A8 AF A
P0A6B4 AF A
P0A6B7 AF A
P0A6C1 AF A
P0A6C5 AF A
P0A6C8 AF A
P0A6D0 AF A
P0A6D3 AF A
P0A6D5 AF A
P0A6D7 AF A
P0A6E1 AF A
P0A6E4 AF A
P0A6E6 AF A
P0A6E9 AF A
P0A6F1 AF A
P0A6F3 AF A
P0A6F5 AF A
P0A6F9 AF A
P0A6G3 AF A
P0A6G5 AF A
P0A6G7 AF A
P0A6H1 AF A
P0A6H5 AF A
P0A6H8 AF A
P0A6I0 AF A
P0A6I3 AF A
P0A6I6 AF A
P0A6I9 AF A
P0A6J1 AF A
P0A6J3 AF A
P0A6J5 AF A
P0A6J8 AF A
P0A6K1 AF A
P0A6K3 AF A
P0A6K6 AF A
P0A6L0 AF A
P0A6L2 AF A
P0A6L4 AF A
P0A6L7 AF A
P0A6L9 AF A
P0A6M2 AF A
P0A6M4 AF A
P0A6M8 AF A
P0A6N4 AF A
P0A6N8 AF A
P0A6P1 AF A
P0A6P5 AF A
P0A6P7 AF A
P0A6P9 AF A
P0A6Q3 AF A
P0A6Q6 AF A
P0A6R0 AF A
P0A6R3 AF A
P0A6S0 AF A
P0A6S3 AF A
P0A6S5 AF A
P0A6S7 AF A
P0A6T1 AF A
P0A6T3 AF A
P0A6T5 AF A
P0A6T9 AF A
P0A6U3 AF A
