gene pdb chain
P0AFA2 AF A
P0AFA5 AF A
P0AFA7 AF A
P0AFA9 AF A
P0AFB1 AF A
P0AFB5 AF A
P0AFB8 AF A
P0AFC0 AF A
P0AFC3 AF A
P0AFC7 AF A
P0AFD1 AF A
P0AFD4 AF A
P0AFD6 AF A
P0AFE0 AF A
P0AFE4 AF A
P0AFE8 AF A
P0AFF0 AF A
P0AFF2 AF A
P0AFF4 AF A
P0AFF6 AF A
P0AFG0 AF A
P0AFG3 AF A
P0AFG6 AF A
P0AFG8 AF A
P0AFH0 AF A
P0AFH2 AF A
P0AFH6 AF A
P0AFH8 AF A
P0AFI0 AF A
P0AFI2 AF A
P0AFI5 AF A
P0AFI7 AF A
P0AFI9 AF A
P0AFJ1 AF A
P0AFJ5 AF A
P0AFJ7 AF A
P0AFK0 AF A
P0AFK2 AF A
P0AFK4 AF A
P0AFK6 AF A
P0AFK9 AF A
P0AFL1 AF A
P0AFL3 AF A
P0AFL6 AF A
P0AFL9 AF A
P0AFM2 AF A
P0AFM4 AF A
P0AFM6 AF A
P0AFM9 AF A
P0AFN6 AF A
P0AFP0 AF A
P0AFP2 AF A
P0AFP4 AF A
P0AFP6 AF A
P0AFP9 AF A
P0AFQ2 AF A
P0AFQ5 AF A
P0AFQ7 AF A
P0AFR0 AF A
P0AFR2 AF A
P0AFR4 AF A
P0AFR7 AF A
P0AFR9 AF A
P0AFS1 AF A
P0AFS3 AF A
P0AFS5 AF A
P0AFS7 AF A
P0AFS9 AF A
P0AFT2 AF A
P0AFT5 AF A
P0AFT8 AF A
P0AFU0 AF A
P0AFU2 AF A
P0AFU4 AF A
P0AFU6 AF A
P0AFU8 AF A
P0AFV0 AF A
P0AFV2 AF A
P0AFV4 AF A
P0AFV8 AF A
P0AFW0 AF A
P0AFW2 AF A
P0AFW4 AF A
P0AFX0 AF A
P0AFX4 AF A
P0AFX7 AF A
P0AFX9 AF A
P0AFY2 AF A
P0AFY6 AF A
P0AFY8 AF A
P0AFZ1 AF A
P0AFZ3 AF A
P0AFZ5 AF A
P0AFZ7 AF A
P0AG00 AF A
P0AG03 AF A
P0AG07 AF A
P0AG11 AF A
P0AG14 AF A
P0AG16 AF A
P0AG18 AF A
P0AG20 AF A
P0AG24 AF A
P0AG27 AF A
P0AG30 AF A
P0AG34 AF A
P0AG38 AF A
P0AG40 AF A
P0AG44 AF A
P0AG48 AF A
P0AG51 AF A
P0AG55 AF A
P0AG59 AF A
P0AG63 AF A
P0AG67 AF A
P0AG71 AF A
P0AG74 AF A
P0AG76 AF A
P0AG78 AF A
P0AG80 AF A
P0AG82 AF A
P0AG84 AF A
P0AG86 AF A
P0AG90 AF A
P0AG93 AF A
P0AG96 AF A
P0AGA2 AF A
P0AGA6 AF A
P0AGB0 AF A
P0AGB3 AF A
P0AGB6 AF A
P0AGC0 AF A
P0AGC3 AF A
P0AGC5 AF A
P0AGC7 AF A
P0AGD1 AF A
P0AGD3 AF A
P0AGD7 AF A
P0AGE0 AF A
P0AGE4 AF A
P0AGE6 AF A
P0AGE9 AF A
P0AGF2 AF A
P0AGF4 AF A
P0AGF6 AF A
P0AGG0 AF A
P0AGG2 AF A
P0AGG4 AF A
P0AGG8 AF A
P0AGH1 AF A
P0AGH3 AF A
P0AGH5 AF A
P0AGH8 AF A
P0AGI1 AF A
P0AGI4 AF A
P0AGI8 AF A
P0AGJ2 AF A
P0AGJ5 AF A
P0AGJ7 AF A
P0AGJ9 AF A
P0AGK1 AF A
P0AGK4 AF A
P0AGK8 AF A
P0AGL2 AF A
P0AGL5 AF A
P0AGL7 AF A
P0AGM0 AF A
P0AGM2 AF A
P0AGM5 AF A
P0AGM7 AF A
P0AGM9 AF A
P0C018 AF A
P0C037 AF A
P0C054 AF A
P0C058 AF A
P0C066 AF A
P0C077 AF A
P0C079 AF A
P0C093 AF A
P0C0K3 AF A
P0C0L2 AF A
P0C0L7 AF A
P0C0L9 AF A
P0C0R7 AF A
P0C0S1 AF A
P0C0T5 AF A
P0C0U4 AF A
P0C0V0 AF A
P0C7L2 AF A
P0C8J6 AF A
P0C8J8 AF A
P0C8K0 AF A
P0C960 AF A
P0CB39 AF A
P0CB62 AF A
P0CD93 AF A
P0CE44 AF A
P0CE47 AF A
P0CE48 AF A
P0CE49 AF A
P0CE50 AF A
P0CE51 AF A
P0CE52 AF A
P0CE53 AF A
P0CE54 AF A
P0CE55 AF A
P0CE56 AF A
P0CE57 AF A
P0CE58 AF A
P0CF07 AF A
P0CF08 AF A
P0CF09 AF A
P0CF10 AF A
P0CF11 AF A
P0CF12 AF A
P0CF25 AF A
P0CF26 AF A
P0CF27 AF A
P0CF28 AF A
P0CF29 AF A
P0CF40 AF A
P0CF41 AF A
P0CF42 AF A
P0CF43 AF A
P0CF44 AF A
P0CF45 AF A
P0CF53 AF A
P0CF54 AF A
P0CF55 AF A
P0CF56 AF A
P0CF57 AF A
P0CF58 AF A
P0CF60 AF A
P0CF66 AF A
P0CF67 AF A
P0CF68 AF A
P0CF69 AF A
P0CF70 AF A
P0CF79 AF A
P0CF80 AF A
P0CF81 AF A
P0CF82 AF A
P0CF83 AF A
P0CF88 AF A
P0CF89 AF A
P0CF90 AF A
P0CF91 AF A
P0CF92 AF A
P0CF93 AF A
P0CG19 AF A
P0CI31 AF A
P0CK95 AF A
P0DKB3 AF A
P0DM85 AF A
P0DMC5 AF A
P0DMC7 AF A
P0DMC9 AF A
P0DN74 AF A
P0DP21 AF A
P0DP22 AF A
P0DP63 AF A
P0DP64 AF A
P0DP69 AF A
P0DP70 AF A
P0DP89 AF A
P0DPC4 AF A
P0DPC7 AF A
P0DPC8 AF A
P0DPC9 AF A
P0DPD0 AF A
P0DPD1 AF A
P0DPM8 AF A
P0DPM9 AF A
P0DPN0 AF A
P0DPN1 AF A
P0DPN2 AF A
P0DPN3 AF A
P0DPN4 AF A
P0DPN6 AF A
P0DPN9 AF A
P0DPO1 AF A
P0DPO3 AF A
P0DPO4 AF A
P0DPO5 AF A
P0DPO7 AF A
P0DPO8 AF A
P0DPO9 AF A
P0DPP0 AF A
P0DPP1 AF A
P0DPP3 AF A
P0DPP4 AF A
P0DPP5 AF A
P0DPP6 AF A
P0DPP7 AF A
P0DSE5 AF A
P0DSE7 AF A
P0DSE8 AF A
P0DSE9 AF A
P0DSF3 AF A
P0DSF4 AF A
P0DSF5 AF A
P0DSG1 AF A
P0DSG3 AF A
P0DSG4 AF A
P0DSG5 AF A
P0DSG8 AF A
P0DSG9 AF A
P0DSH0 AF A
P0DSH1 AF A
P0DSH4 AF A
P0DSH5 AF A
P0DSH6 AF A
P0DSH7 AF A
P0DSH8 AF A
P0DSH9 AF A
P0DSI0 AF A
P0DTT0 AF A
P10100 AF A
P10121 AF A
P10151 AF A
P10346 AF A
P10371 AF A
P10378 AF A
P10384 AF A
P10408 AF A
P10423 AF A
P10441 AF A
P10442 AF A
P10443 AF A
P10805 AF A
P10902 AF A
P10903 AF A
P10905 AF A
P10906 AF A
P10907 AF A
P10908 AF A
P11071 AF A
P11072 AF A
P11286 AF A
P11289 AF A
P11290 AF A
P11349 AF A
P11350 AF A
P11446 AF A
P11447 AF A
P11454 AF A
P11458 AF A
P11551 AF A
P11553 AF A
P11663 AF A
P11664 AF A
P11667 AF A
P11868 AF A
P11875 AF A
P11880 AF A
P11988 AF A
P11989 AF A
P12008 AF A
P12281 AF A
P12282 AF A
P12295 AF A
P12758 AF A
P12994 AF A
P12995 AF A
P12996 AF A
P12998 AF A
P12999 AF A
P13000 AF A
P13001 AF A
P13009 AF A
P13016 AF A
P13024 AF A
P13029 AF A
P13033 AF A
P13035 AF A
P13036 AF A
P13039 AF A
P13445 AF A
P13458 AF A
P13482 AF A
P13518 AF A
P13656 AF A
P13669 AF A
P13738 AF A
P13857 AF A
P14081 AF A
P14175 AF A
P14176 AF A
P14294 AF A
P14375 AF A
P14377 AF A
P14407 AF A
P14900 AF A
P15005 AF A
P15006 AF A
P15028 AF A
P15029 AF A
P15030 AF A
P15031 AF A
P15032 AF A
P15033 AF A
P15034 AF A
P15038 AF A
P15042 AF A
P15043 AF A
P15047 AF A
P15067 AF A
P15070 AF A
P15078 AF A
P15081 AF A
P15082 AF A
P15254 AF A
P15286 AF A
P15288 AF A
P15373 AF A
P15639 AF A
P15640 AF A
P15723 AF A
P15770 AF A
P15877 AF A
P15977 AF A
P15993 AF A
P16095 AF A
P16256 AF A
P16384 AF A
P16429 AF A
P16430 AF A
P16431 AF A
P16432 AF A
P16433 AF A
P16456 AF A
P16525 AF A
P16528 AF A
P16659 AF A
P16676 AF A
P16677 AF A
P16678 AF A
P16679 AF A
P16681 AF A
P16682 AF A
P16684 AF A
P16685 AF A
P16686 AF A
P16687 AF A
P16688 AF A
P16689 AF A
P16690 AF A
P16691 AF A
P16692 AF A
P16700 AF A
P16701 AF A
P16703 AF A
P16869 AF A
P16916 AF A
P16917 AF A
P16918 AF A
P16919 AF A
P16926 AF A
P17109 AF A
P17115 AF A
P17117 AF A
P17169 AF A
P17315 AF A
P17334 AF A
P17410 AF A
P17411 AF A
P17443 AF A
P17444 AF A
P17445 AF A
P17446 AF A
P17583 AF A
P17802 AF A
P17846 AF A
P17854 AF A
P17888 AF A
P17952 AF A
P17993 AF A
P17994 AF A
P18133 AF A
P18196 AF A
P18200 AF A
P18335 AF A
P18390 AF A
P18392 AF A
P18393 AF A
P18775 AF A
P18776 AF A
P18777 AF A
P18811 AF A
P18843 AF A
P18956 AF A
P19317 AF A
P19318 AF A
P19319 AF A
P19323 AF A
P19624 AF A
P19636 AF A
P19642 AF A
P19767 AF A
P19768 AF A
P19769 AF A
P19925 AF A
P19926 AF A
P19930 AF A
P19931 AF A
P19932 AF A
P19934 AF A
P20083 AF A
P20099 AF A
P20605 AF A
P20966 AF A
P21151 AF A
P21156 AF A
P21165 AF A
P21169 AF A
P21170 AF A
P21177 AF A
P21179 AF A
P21189 AF A
P21338 AF A
P21345 AF A
P21362 AF A
P21363 AF A
P21365 AF A
P21367 AF A
P21369 AF A
P21418 AF A
P21420 AF A
P21437 AF A
P21499 AF A
P21503 AF A
P21507 AF A
P21514 AF A
P21515 AF A
P21517 AF A
P21599 AF A
P21645 AF A
P21693 AF A
P21829 AF A
P21865 AF A
P21866 AF A
P21888 AF A
P21889 AF A
P21893 AF A
P22106 AF A
P22186 AF A
P22188 AF A
P22255 AF A
P22256 AF A
P22259 AF A
P22333 AF A
P22523 AF A
P22524 AF A
P22525 AF A
P22564 AF A
P22586 AF A
P22634 AF A
P22729 AF A
P22731 AF A
P22787 AF A
P22939 AF A
P23003 AF A
P23173 AF A
P23200 AF A
P23256 AF A
P23305 AF A
P23325 AF A
P23331 AF A
P23367 AF A
P23481 AF A
P23482 AF A
P23484 AF A
P23485 AF A
P23522 AF A
P23524 AF A
P23538 AF A
P23721 AF A
P23827 AF A
P23830 AF A
P23836 AF A
P23837 AF A
P23839 AF A
P23840 AF A
P23841 AF A
P23842 AF A
P23843 AF A
P23845 AF A
P23847 AF A
P23849 AF A
P23857 AF A
P23862 AF A
P23865 AF A
P23869 AF A
P23871 AF A
P23872 AF A
P23873 AF A
P23874 AF A
P23876 AF A
P23877 AF A
P23878 AF A
P23882 AF A
P23883 AF A
P23886 AF A
P23890 AF A
P23893 AF A
P23894 AF A
P23895 AF A
P23898 AF A
P23908 AF A
P23909 AF A
P23910 AF A
P23917 AF A
P23930 AF A
P24077 AF A
P24169 AF A
P24171 AF A
P24173 AF A
P24174 AF A
P24175 AF A
P24177 AF A
P24178 AF A
P24180 AF A
P24181 AF A
P24182 AF A
P24186 AF A
P24188 AF A
P24192 AF A
P24193 AF A
P24197 AF A
P24200 AF A
P24202 AF A
P24203 AF A
P24205 AF A
P24207 AF A
P24211 AF A
P24215 AF A
P24216 AF A
P24218 AF A
P24224 AF A
P24228 AF A
P24230 AF A
P24232 AF A
P24238 AF A
P24240 AF A
P24241 AF A
P24242 AF A
P24244 AF A
P24251 AF A
P24252 AF A
P24255 AF A
P24554 AF A
P24555 AF A
P25396 AF A
P25397 AF A
P25437 AF A
P25516 AF A
P25519 AF A
P25522 AF A
P25524 AF A
P25526 AF A
P25527 AF A
P25531 AF A
P25534 AF A
P25535 AF A
P25536 AF A
P25539 AF A
P25549 AF A
P25550 AF A
P25552 AF A
P25553 AF A
P25665 AF A
P25666 AF A
P25714 AF A
P25718 AF A
P25728 AF A
P25736 AF A
P25737 AF A
P25738 AF A
P25740 AF A
P25741 AF A
P25742 AF A
P25743 AF A
P25744 AF A
P25745 AF A
P25746 AF A
P25747 AF A
P25748 AF A
P25772 AF A
P25798 AF A
P25888 AF A
P25889 AF A
P25894 AF A
P25906 AF A
P25907 AF A
P25960 AF A
P26218 AF A
P26266 AF A
P26281 AF A
P26365 AF A
P26458 AF A
P26459 AF A
P26602 AF A
P26608 AF A
P26612 AF A
P26616 AF A
P26646 AF A
P26647 AF A
P26648 AF A
P26649 AF A
P27111 AF A
P27125 AF A
P27126 AF A
P27127 AF A
P27128 AF A
P27129 AF A
P27238 AF A
P27240 AF A
P27241 AF A
P27242 AF A
P27243 AF A
P27245 AF A
P27247 AF A
P27248 AF A
P27249 AF A
P27250 AF A
P27253 AF A
P27254 AF A
P27278 AF A
P27294 AF A
P27296 AF A
P27297 AF A
P27298 AF A
P27300 AF A
P27302 AF A
P27303 AF A
P27305 AF A
P27306 AF A
P27375 AF A
P27431 AF A
P27434 AF A
P27550 AF A
P27828 AF A
P27829 AF A
P27830 AF A
P27832 AF A
P27833 AF A
P27835 AF A
P27836 AF A
P27837 AF A
P27838 AF A
P27840 AF A
P27842 AF A
P27843 AF A
P27844 AF A
P27848 AF A
P27859 AF A
P27862 AF A
P27896 AF A
P28224 AF A
P28246 AF A
P28248 AF A
P28249 AF A
P28303 AF A
P28304 AF A
P28305 AF A
P28306 AF A
P28307 AF A
P28369 AF A
P28629 AF A
P28630 AF A
P28631 AF A
P28632 AF A
P28634 AF A
P28635 AF A
P28638 AF A
P28696 AF A
P28721 AF A
P28722 AF A
P28861 AF A
P28903 AF A
P28904 AF A
P28905 AF A
P28911 AF A
P28912 AF A
P28915 AF A
P28916 AF A
P28917 AF A
P29009 AF A
P29010 AF A
P29012 AF A
P29013 AF A
P29018 AF A
P29208 AF A
P29217 AF A
P29680 AF A
P29744 AF A
P29745 AF A
P30011 AF A
P30014 AF A
P30015 AF A
P30125 AF A
P30126 AF A
P30128 AF A
P30130 AF A
P30131 AF A
P30136 AF A
P30137 AF A
P30138 AF A
P30139 AF A
P30140 AF A
P30143 AF A
P30147 AF A
P30149 AF A
P30176 AF A
P30177 AF A
P30178 AF A
P30192 AF A
P30235 AF A
P30744 AF A
P30745 AF A
P30748 AF A
P30749 AF A
P30750 AF A
P30843 AF A
P30844 AF A
P30845 AF A
P30847 AF A
P30850 AF A
P30852 AF A
P30855 AF A
P30859 AF A
P30860 AF A
P30863 AF A
P30864 AF A
P30866 AF A
P30870 AF A
P30871 AF A
P30958 AF A
P30979 AF A
P31057 AF A
P31058 AF A
P31060 AF A
P31061 AF A
P31062 AF A
P31063 AF A
P31064 AF A
P31068 AF A
P31069 AF A
P31119 AF A
P31120 AF A
P31122 AF A
P31125 AF A
P31126 AF A
P31129 AF A
P31130 AF A
P31131 AF A
P31133 AF A
P31134 AF A
P31135 AF A
P31142 AF A
P31224 AF A
P31433 AF A
P31434 AF A
P31435 AF A
P31436 AF A
P31437 AF A
P31440 AF A
P31441 AF A
P31443 AF A
P31446 AF A
P31447 AF A
P31448 AF A
P31449 AF A
P31450 AF A
P31452 AF A
P31453 AF A
P31455 AF A
P31456 AF A
P31459 AF A
P31460 AF A
P31462 AF A
P31463 AF A
P31466 AF A
P31467 AF A
P31468 AF A
P31469 AF A
P31470 AF A
P31471 AF A
P31473 AF A
P31474 AF A
P31475 AF A
P31545 AF A
P31547 AF A
P31548 AF A
P31549 AF A
P31550 AF A
P31551 AF A
P31552 AF A
P31553 AF A
P31554 AF A
P31572 AF A
P31574 AF A
P31600 AF A
P31658 AF A
P31660 AF A
P31663 AF A
P31665 AF A
P31666 AF A
P31667 AF A
P31675 AF A
P31677 AF A
P31678 AF A
P31679 AF A
P31680 AF A
P31697 AF A
P31801 AF A
P31802 AF A
P31806 AF A
P31808 AF A
P31825 AF A
P31826 AF A
P31827 AF A
P31828 AF A
P31979 AF A
P31991 AF A
P31992 AF A
P32051 AF A
P32053 AF A
P32055 AF A
P32056 AF A
P32057 AF A
P32099 AF A
P32106 AF A
P32108 AF A
P32109 AF A
P32125 AF A
P32128 AF A
P32129 AF A
P32131 AF A
P32134 AF A
P32135 AF A
P32136 AF A
P32138 AF A
P32139 AF A
P32140 AF A
P32141 AF A
P32143 AF A
P32144 AF A
P32151 AF A
P32152 AF A
P32153 AF A
P32154 AF A
P32155 AF A
P32156 AF A
P32157 AF A
P32160 AF A
P32162 AF A
P32166 AF A
P32167 AF A
P32169 AF A
P32170 AF A
P32171 AF A
P32173 AF A
P32177 AF A
P32662 AF A
P32664 AF A
P32668 AF A
P32669 AF A
P32670 AF A
P32672 AF A
P32674 AF A
P32675 AF A
P32676 AF A
P32677 AF A
P32680 AF A
P32681 AF A
P32684 AF A
P32685 AF A
P32687 AF A
P32688 AF A
P32689 AF A
P32690 AF A
P32695 AF A
P32696 AF A
P32701 AF A
P32703 AF A
P32704 AF A
P32705 AF A
P32709 AF A
P32710 AF A
P32711 AF A
P32712 AF A
P32714 AF A
P32715 AF A
P32716 AF A
P32717 AF A
P32718 AF A
P32719 AF A
P32720 AF A
P32721 AF A
P33011 AF A
P33012 AF A
P33013 AF A
P33014 AF A
P33015 AF A
P33018 AF A
P33020 AF A
P33021 AF A
P33022 AF A
P33024 AF A
P33025 AF A
P33026 AF A
P33029 AF A
P33030 AF A
P33128 AF A
P33129 AF A
P33135 AF A
P33136 AF A
P33195 AF A
P33218 AF A
P33219 AF A
P33221 AF A
P33222 AF A
P33224 AF A
P33225 AF A
P33226 AF A
P33227 AF A
P33228 AF A
P33229 AF A
P33230 AF A
P33231 AF A
P33232 AF A
P33234 AF A
P33235 AF A
P33340 AF A
P33341 AF A
P33342 AF A
P33343 AF A
P33344 AF A
P33345 AF A
P33346 AF A
P33347 AF A
P33348 AF A
P33349 AF A
P33352 AF A
P33353 AF A
P33354 AF A
P33355 AF A
P33358 AF A
P33359 AF A
P33360 AF A
P33361 AF A
P33362 AF A
P33363 AF A
P33366 AF A
P33368 AF A
P33371 AF A
P33554 AF A
P33570 AF A
P33590 AF A
P33591 AF A
P33593 AF A
P33594 AF A
P33595 AF A
P33596 AF A
P33599 AF A
P33602 AF A
P33607 AF A
P33634 AF A
P33643 AF A
P33644 AF A
P33647 AF A
P33650 AF A
P33666 AF A
P33667 AF A
P33668 AF A
P33669 AF A
P33913 AF A
P33915 AF A
P33916 AF A
P33919 AF A
P33920 AF A
P33924 AF A
P33927 AF A
P33931 AF A
P33934 AF A
P33937 AF A
P33940 AF A
P33941 AF A
P33997 AF A
P34209 AF A
P34749 AF A
P35340 AF A
P36547 AF A
P36548 AF A
P36553 AF A
P36554 AF A
P36561 AF A
P36562 AF A
P36566 AF A
P36645 AF A
P36646 AF A
P36647 AF A
P36649 AF A
P36655 AF A
P36659 AF A
P36662 AF A
P36667 AF A
P36672 AF A
P36673 AF A
P36675 AF A
P36677 AF A
P36678 AF A
P36680 AF A
P36683 AF A
P36767 AF A
P36771 AF A
P36837 AF A
P36879 AF A
P36881 AF A
P36928 AF A
P36929 AF A
P36930 AF A
P36937 AF A
P36938 AF A
P36943 AF A
P36979 AF A
P36995 AF A
P36999 AF A
P37001 AF A
P37002 AF A
P37005 AF A
P37007 AF A
P37008 AF A
P37009 AF A
P37013 AF A
P37014 AF A
P37016 AF A
P37017 AF A
P37018 AF A
P37019 AF A
P37024 AF A
P37025 AF A
P37028 AF A
P37047 AF A
P37049 AF A
P37050 AF A
P37051 AF A
P37052 AF A
P37056 AF A
P37057 AF A
P37095 AF A
P37127 AF A
P37128 AF A
P37146 AF A
P37147 AF A
P37177 AF A
P37180 AF A
P37182 AF A
P37188 AF A
P37194 AF A
P37195 AF A
P37197 AF A
P37306 AF A
P37309 AF A
P37313 AF A
P37325 AF A
P37326 AF A
P37327 AF A
P37329 AF A
P37330 AF A
P37338 AF A
P37339 AF A
P37340 AF A
P37342 AF A
P37344 AF A
P37348 AF A
P37349 AF A
P37351 AF A
P37353 AF A
P37355 AF A
P37387 AF A
P37388 AF A
P37440 AF A
P37443 AF A
P37590 AF A
P37595 AF A
P37596 AF A
P37597 AF A
P37610 AF A
P37613 AF A
P37614 AF A
P37615 AF A
P37617 AF A
P37619 AF A
P37621 AF A
P37623 AF A
P37624 AF A
P37626 AF A
P37627 AF A
P37629 AF A
P37630 AF A
P37631 AF A
P37634 AF A
P37636 AF A
P37637 AF A
P37639 AF A
P37640 AF A
P37641 AF A
P37642 AF A
P37643 AF A
P37645 AF A
P37646 AF A
P37647 AF A
P37648 AF A
P37649 AF A
P37650 AF A
P37651 AF A
P37652 AF A
P37653 AF A
P37655 AF A
P37657 AF A
P37659 AF A
P37660 AF A
P37661 AF A
P37662 AF A
P37664 AF A
P37665 AF A
P37666 AF A
P37669 AF A
P37671 AF A
P37672 AF A
P37673 AF A
P37674 AF A
P37675 AF A
P37676 AF A
P37677 AF A
P37678 AF A
P37679 AF A
P37680 AF A
P37681 AF A
P37682 AF A
P37683 AF A
P37685 AF A
P37686 AF A
P37689 AF A
P37690 AF A
P37691 AF A
P37692 AF A
P37744 AF A
P37745 AF A
P37746 AF A
P37747 AF A
P37749 AF A
P37750 AF A
P37751 AF A
P37757 AF A
P37758 AF A
P37759 AF A
P37760 AF A
P37765 AF A
P37766 AF A
P37767 AF A
P37769 AF A
P37772 AF A
P37773 AF A
P37774 AF A
P37794 AF A
P37902 AF A
P37903 AF A
P37906 AF A
P37908 AF A
P37909 AF A
P38035 AF A
P38036 AF A
P38038 AF A
P38051 AF A
P38052 AF A
P38054 AF A
P38055 AF A
P38097 AF A
P38101 AF A
P38104 AF A
P38105 AF A
P38134 AF A
P38135 AF A
P38392 AF A
P38393 AF A
P38394 AF A
P38489 AF A
P38506 AF A
P38521 AF A
P38683 AF A
P38684 AF A
P39099 AF A
P39160 AF A
P39161 AF A
P39163 AF A
P39165 AF A
P39172 AF A
P39173 AF A
P39176 AF A
P39177 AF A
P39180 AF A
P39187 AF A
P39196 AF A
P39199 AF A
P39206 AF A
P39208 AF A
P39212 AF A
P39263 AF A
P39264 AF A
P39265 AF A
P39267 AF A
P39270 AF A
P39274 AF A
P39276 AF A
P39277 AF A
P39279 AF A
P39280 AF A
P39282 AF A
P39283 AF A
P39284 AF A
P39285 AF A
P39286 AF A
P39288 AF A
P39293 AF A
P39297 AF A
P39298 AF A
P39300 AF A
P39301 AF A
P39304 AF A
P39305 AF A
P39306 AF A
P39309 AF A
P39314 AF A
P39315 AF A
P39321 AF A
P39325 AF A
P39328 AF A
P39332 AF A
P39333 AF A
P39334 AF A
P39337 AF A
P39338 AF A
P39342 AF A
P39343 AF A
P39344 AF A
P39346 AF A
P39347 AF A
P39352 AF A
P39353 AF A
P39354 AF A
P39355 AF A
P39356 AF A
P39357 AF A
P39358 AF A
P39359 AF A
P39360 AF A
P39361 AF A
P39362 AF A
P39363 AF A
P39364 AF A
P39365 AF A
P39366 AF A
P39367 AF A
P39368 AF A
P39369 AF A
P39370 AF A
P39371 AF A
P39375 AF A
P39376 AF A
P39377 AF A
P39379 AF A
P39380 AF A
P39381 AF A
P39382 AF A
P39383 AF A
P39384 AF A
P39385 AF A
P39386 AF A
P39389 AF A
P39390 AF A
P39391 AF A
P39393 AF A
P39394 AF A
P39396 AF A
P39398 AF A
P39399 AF A
P39400 AF A
P39401 AF A
P39404 AF A
P39405 AF A
P39406 AF A
P39407 AF A
P39408 AF A
P39409 AF A
P39410 AF A
P39411 AF A
P39414 AF A
P39451 AF A
P39452 AF A
P39453 AF A
P39829 AF A
P39830 AF A
P39831 AF A
P39832 AF A
P39834 AF A
P39835 AF A
P39836 AF A
P39838 AF A
P39902 AF A
P40120 AF A
P40191 AF A
P40710 AF A
P40711 AF A
P40719 AF A
P40874 AF A
P40876 AF A
P41036 AF A
P41039 AF A
P41052 AF A
P41407 AF A
P41409 AF A
P41441 AF A
P41442 AF A
P41443 AF A
P42588 AF A
P42589 AF A
P42590 AF A
P42591 AF A
P42592 AF A
P42593 AF A
P42596 AF A
P42597 AF A
P42598 AF A
P42599 AF A
P42601 AF A
P42603 AF A
P42604 AF A
P42615 AF A
P42616 AF A
P42619 AF A
P42620 AF A
P42624 AF A
P42625 AF A
P42626 AF A
P42628 AF A
P42630 AF A
P42632 AF A
P42640 AF A
P42641 AF A
P42904 AF A
P42905 AF A
P42906 AF A
P42907 AF A
P42909 AF A
P42910 AF A
P42911 AF A
P42912 AF A
P42913 AF A
P42914 AF A
P42915 AF A
P43319 AF A
P43329 AF A
P43337 AF A
P43340 AF A
P43341 AF A
P43531 AF A
P43533 AF A
P43671 AF A
P43672 AF A
P43674 AF A
P43676 AF A
P45394 AF A
P45395 AF A
P45420 AF A
P45421 AF A
P45422 AF A
P45423 AF A
P45424 AF A
P45425 AF A
P45428 AF A
P45463 AF A
P45464 AF A
P45465 AF A
P45468 AF A
P45469 AF A
P45470 AF A
P45472 AF A
P45475 AF A
P45505 AF A
P45508 AF A
P45522 AF A
P45523 AF A
P45524 AF A
P45527 AF A
P45530 AF A
P45531 AF A
P45532 AF A
P45537 AF A
P45539 AF A
P45541 AF A
P45543 AF A
P45544 AF A
P45545 AF A
P45546 AF A
P45548 AF A
P45549 AF A
P45550 AF A
P45551 AF A
P45552 AF A
P45562 AF A
P45563 AF A
P45564 AF A
P45565 AF A
P45566 AF A
P45568 AF A
P45570 AF A
P45577 AF A
P45578 AF A
P45579 AF A
P45581 AF A
P45736 AF A
P45748 AF A
P45750 AF A
P45751 AF A
P45753 AF A
P45756 AF A
P45758 AF A
P45759 AF A
P45760 AF A
P45761 AF A
P45762 AF A
P45763 AF A
P45767 AF A
P45768 AF A
P45769 AF A
P45771 AF A
P45795 AF A
P45799 AF A
P45800 AF A
P45804 AF A
P45807 AF A
P45848 AF A
P45955 AF A
P45956 AF A
P46022 AF A
P46068 AF A
P46118 AF A
P46119 AF A
P46122 AF A
P46125 AF A
P46126 AF A
P46130 AF A
P46133 AF A
P46136 AF A
P46139 AF A
P46141 AF A
P46142 AF A
P46144 AF A
P46187 AF A
P46474 AF A
P46478 AF A
P46481 AF A
P46482 AF A
P46837 AF A
P46846 AF A
P46849 AF A
P46850 AF A
P46852 AF A
P46853 AF A
P46854 AF A
P46855 AF A
P46856 AF A
P46857 AF A
P46859 AF A
P46883 AF A
P46887 AF A
P46888 AF A
P46890 AF A
P46891 AF A
P46923 AF A
P50456 AF A
P50457 AF A
P50465 AF A
P50466 AF A
P51020 AF A
P51024 AF A
P51025 AF A
P51981 AF A
P52005 AF A
P52006 AF A
P52007 AF A
P52037 AF A
P52043 AF A
P52044 AF A
P52045 AF A
P52048 AF A
P52052 AF A
P52060 AF A
P52061 AF A
P52062 AF A
P52067 AF A
P52073 AF A
P52074 AF A
P52076 AF A
P52086 AF A
P52094 AF A
P52095 AF A
P52096 AF A
P52097 AF A
P52101 AF A
P52102 AF A
P52106 AF A
P52107 AF A
P52108 AF A
P52119 AF A
P52123 AF A
P52124 AF A
P52125 AF A
P52126 AF A
P52127 AF A
P52128 AF A
P52129 AF A
P52130 AF A
P52131 AF A
P52132 AF A
P52133 AF A
P52134 AF A
P52135 AF A
P52138 AF A
P52139 AF A
P52140 AF A
P52141 AF A
P52143 AF A
P52598 AF A
P52599 AF A
P52600 AF A
P52612 AF A
P52613 AF A
P52627 AF A
P52636 AF A
