OR|OR_lb|OR_ub|pvalue|tag|buff|spa|LiPMScov|entN_nonrefoldedN|entY_nonrefoldedN|entN_nonrefoldedY|entY_nonrefoldedY|total_res|n|label
1.8558333333333328|1.121131589960099|3.0680099067599067|0.0132632121766251|AF_all_CD_spa0_LiPMScov50|CD|0|50|51|80|45|131|307|307|AF
1.8558333333333328|1.1470729831033113|3.056427952677951|0.0132632121766251|AF_all_CD_spa10_LiPMScov50|CD|10|50|51|80|45|131|307|307|AF
1.8558333333333328|1.1368426686570536|3.05887321144674|0.0132632121766251|AF_all_CD_spa20_LiPMScov50|CD|20|50|51|80|45|131|307|307|AF
1.898011363636364|1.173529086700993|3.1408438794967672|0.0124089184899369|AF_all_CD_spa30_LiPMScov50|CD|30|50|51|80|44|131|306|306|AF
1.8607954545454544|1.1381339279554743|3.078745357199304|0.016981037800356|AF_all_CD_spa40_LiPMScov50|CD|40|50|50|80|44|131|305|305|AF
1.80897583429229|1.1063205095213586|3.0036223744609822|0.0225436183033709|AF_all_CD_spa50_LiPMScov50|CD|50|50|48|79|44|131|302|302|AF
1.6034271725826192|0.9493788249694004|2.701239766081871|0.0848015184487541|AF_all_CD_spa60_LiPMScov50|CD|60|50|40|76|43|131|290|290|AF
1.5017253278122844|0.8651609820315599|2.568934615872211|0.1637225920774645|AF_all_CD_spa70_LiPMScov50|CD|70|50|34|69|42|128|273|273|AF
1.6820175438596492|0.9077540466275206|3.140800060154898|0.1147958947988405|AF_all_CD_spa80_LiPMScov50|CD|80|50|26|48|38|118|230|230|AF
2.132|0.8850486815415822|5.000649350649341|0.0777341168488091|AF_all_CD_spa90_LiPMScov50|CD|90|50|13|20|25|82|140|140|AF
2.035836828059474|1.3150885820269065|3.2684794844603964|0.0027496230529573|AF_all_CG_spa0_LiPMScov50|CG|0|50|60|122|43|178|403|403|AF
2.035836828059474|1.295449134199134|3.2611565964968667|0.0027496230529573|AF_all_CG_spa10_LiPMScov50|CG|10|50|60|122|43|178|403|403|AF
2.035836828059474|1.3055309409248863|3.268607119949129|0.0027496230529573|AF_all_CG_spa20_LiPMScov50|CG|20|50|60|122|43|178|403|403|AF
2.1351459416233505|1.352845128537673|3.471996767937944|0.0012105185097557|AF_all_CG_spa30_LiPMScov50|CG|30|50|60|122|41|178|401|401|AF
2.099560175929628|1.3413512058570198|3.4035483670424385|0.0017016305820861|AF_all_CG_spa40_LiPMScov50|CG|40|50|59|122|41|178|400|400|AF
2.0639744102359057|1.3124203379737307|3.315794268336119|0.0023893127841802|AF_all_CG_spa50_LiPMScov50|CG|50|50|58|122|41|178|399|399|AF
1.9924953095684803|1.247693806168176|3.254495699106088|0.0042858426834921|AF_all_CG_spa60_LiPMScov50|CG|60|50|54|117|41|177|389|389|AF
2.18134110787172|1.3124929298642534|3.6719123804871217|0.0037777051204865|AF_all_CG_spa70_LiPMScov50|CG|70|50|43|98|35|174|350|350|AF
2.771929824561404|1.528470193166139|5.074759083132044|0.0006578255932665|AF_all_CG_spa80_LiPMScov50|CG|80|50|31|57|31|158|277|277|AF
7.361111111111111|3.018964855939255|20.340759259259247|1.9178668642154653e-05|AF_all_CG_spa90_LiPMScov50|CG|90|50|15|12|18|106|151|151|AF
2.5698214285714287|1.6014719838780445|4.127862746929434|9.995324161809086e-05|AF_all_C_spa0_LiPMScov50|C|0|50|41|50|112|351|554|554|AF
2.5698214285714287|1.6163602810384952|4.177349074193133|9.995324161809086e-05|AF_all_C_spa10_LiPMScov50|C|10|50|41|50|112|351|554|554|AF
2.5698214285714287|1.610136456996922|4.141071428571428|9.995324161809086e-05|AF_all_C_spa20_LiPMScov50|C|20|50|41|50|112|351|554|554|AF
2.507142857142857|1.5563819847605225|4.006037986575831|0.0001590195569546|AF_all_C_spa30_LiPMScov50|C|30|50|40|50|112|351|553|553|AF
2.507142857142857|1.5456750569497748|4.004691192786951|0.0001590195569546|AF_all_C_spa40_LiPMScov50|C|40|50|40|50|112|351|553|553|AF
2.420560747663552|1.4719823429654508|3.9254953298381343|0.0004869738348397|AF_all_C_spa50_LiPMScov50|C|50|50|37|50|107|350|544|544|AF
2.467555555555556|1.4779567690176096|4.133987088934457|0.0005988846087593|AF_all_C_spa60_LiPMScov50|C|60|50|32|45|100|347|524|524|AF
2.3873626373626373|1.2927935840768892|4.342305150236412|0.0063441429920727|AF_all_C_spa70_LiPMScov50|C|70|50|22|32|91|316|461|461|AF
3.880597014925373|1.5301027639971652|10.056290849673198|0.002989404598982|AF_all_C_spa80_LiPMScov50|C|80|50|11|11|67|260|349|349|AF
21.846153846153847|3.323961794019934|41.37931034482759|0.0008226890074894|AF_all_C_spa90_LiPMScov50|C|90|50|6|1|39|142|188|188|AF
4.768627450980392|2.517482517482517|10.256249999999994|4.435219962957368e-06|EXP_all_CD_spa0_LiPMScov50|CD|0|50|38|45|17|96|196|196|EXP
4.768627450980392|2.5216964534559643|10.131342364532015|4.435219962957368e-06|EXP_all_CD_spa10_LiPMScov50|CD|10|50|38|45|17|96|196|196|EXP
4.768627450980392|2.5037515203182723|10.153877314814814|4.435219962957368e-06|EXP_all_CD_spa20_LiPMScov50|CD|20|50|38|45|17|96|196|196|EXP
5.066666666666666|2.647812252964427|10.731707317073171|1.7590742496946414e-06|EXP_all_CD_spa30_LiPMScov50|CD|30|50|38|45|16|96|195|195|EXP
4.933333333333334|2.514703389830508|10.64930555555554|3.2312282193801684e-06|EXP_all_CD_spa40_LiPMScov50|CD|40|50|37|45|16|96|194|194|EXP
4.666666666666667|2.4155411255411257|10.180026455026454|6.631730837291069e-06|EXP_all_CD_spa50_LiPMScov50|CD|50|50|35|45|16|96|192|192|EXP
4.835555555555556|2.5183725915042405|10.56060606060606|8.071146997755197e-06|EXP_all_CD_spa60_LiPMScov50|CD|60|50|34|45|15|96|190|190|EXP
4.585365853658536|2.315946293290043|10.055282413350444|3.556356065521e-05|EXP_all_CD_spa70_LiPMScov50|CD|70|50|30|41|15|94|180|180|EXP
5.571428571428571|2.6875|13.183409090909068|1.3895143336304224e-05|EXP_all_CD_spa80_LiPMScov50|CD|80|50|26|29|14|87|156|156|EXP
9.489795918367347|3.466666666666667|34.67647058823529|2.077900125897714e-05|EXP_all_CD_spa90_LiPMScov50|CD|90|50|15|14|7|62|98|98|EXP
3.96671826625387|2.190879964471514|7.784491626794255|1.0789328847442737e-05|EXP_all_CG_spa0_LiPMScov50|CG|0|50|41|68|19|125|253|253|EXP
3.96671826625387|2.1976491465088355|7.801337363712603|1.0789328847442737e-05|EXP_all_CG_spa10_LiPMScov50|CG|10|50|41|68|19|125|253|253|EXP
3.96671826625387|2.185132575757576|7.951930223285484|1.0789328847442737e-05|EXP_all_CG_spa20_LiPMScov50|CG|20|50|41|68|19|125|253|253|EXP
