OR,OR_lb,OR_ub,pvalue,tag,buff,spa,LiPMScov,entN_nonrefoldedN,entY_nonrefoldedN,entN_nonrefoldedY,entY_nonrefoldedY,total_res,n,label
4.247159090909091,1.8992673992673992,11.060393939393936,0.0005680256439968,EXP_nonessential_CD_spa50_LiPMScov50,CD,50,50,23,32,11,65,131,131,EXP
4.46875,1.9431737012987007,12.132352941176473,0.0007655523446017,EXP_nonessential_CD_spa60_LiPMScov50,CD,60,50,22,32,10,65,129,129,EXP
4.275,1.8101010101010104,12.143697478991584,0.0018582057511395,EXP_nonessential_CD_spa70_LiPMScov50,CD,70,50,19,28,10,63,120,120,EXP
5.426900584795321,2.1471861471861478,16.8,0.0005698751076165,EXP_nonessential_CD_spa80_LiPMScov50,CD,80,50,16,19,9,58,102,102,EXP
8.36111111111111,1.9576704545454544,49.0,0.0036732150418712,EXP_nonessential_CD_spa90_LiPMScov50,CD,90,50,7,9,4,43,63,63,EXP
3.8165680473372783,1.9053002070393372,8.676456350734362,0.0003728683099971,EXP_nonessential_CG_spa0_LiPMScov50,CG,0,50,30,52,13,86,181,181,EXP
3.8165680473372783,1.9247625612745096,8.741416256157635,0.0003728683099971,EXP_nonessential_CG_spa10_LiPMScov50,CG,10,50,30,52,13,86,181,181,EXP
3.8165680473372783,1.849472646714188,8.651286159954621,0.0003728683099971,EXP_nonessential_CG_spa20_LiPMScov50,CG,20,50,30,52,13,86,181,181,EXP
3.996794871794872,1.9461309523809525,9.598415616246491,0.000287266167563,EXP_nonessential_CG_spa30_LiPMScov50,CG,30,50,29,52,12,86,179,179,EXP
3.996794871794872,1.9556400243713303,9.774074074074074,0.000287266167563,EXP_nonessential_CG_spa40_LiPMScov50,CG,40,50,29,52,12,86,179,179,EXP
4.07516339869281,1.9856595960926768,9.761686046511626,0.0002756368976191,EXP_nonessential_CG_spa50_LiPMScov50,CG,50,50,29,51,12,86,178,178,EXP
3.689236111111111,1.7547952586206896,9.157894736842104,0.0012012497337426,EXP_nonessential_CG_spa60_LiPMScov50,CG,60,50,25,48,12,85,170,170,EXP
