OR|OR_lb|OR_ub|pvalue|tag|buff|spa|LiPMScov|entN_nonrefoldedN|entY_nonrefoldedN|entN_nonrefoldedY|entY_nonrefoldedY|total_res|n|label
5.8|1.6805210084033613|29.578021978022043|0.0103639345463118|EXP_essential_CD_spa80_LiPMScov50|CD|80|50|10|10|5|29|54|54|EXP
10.133333333333333|2.2222222222222223|70.0|0.0068522759493118|EXP_essential_CD_spa90_LiPMScov50|CD|90|50|8|5|3|19|35|35|EXP
4.46875|1.4415584415584417|19.50139860139863|0.0110096464676146|EXP_essential_CG_spa0_LiPMScov50|CG|0|50|11|16|6|39|72|72|EXP
4.46875|1.44023569023569|18.49287749287745|0.0110096464676146|EXP_essential_CG_spa10_LiPMScov50|CG|10|50|11|16|6|39|72|72|EXP
4.46875|1.4471014492753624|18.536631016042765|0.0110096464676146|EXP_essential_CG_spa20_LiPMScov50|CG|20|50|11|16|6|39|72|72|EXP
4.46875|1.4285714285714286|18.880158730158744|0.0110096464676146|EXP_essential_CG_spa30_LiPMScov50|CG|30|50|11|16|6|39|72|72|EXP
4.46875|1.4245486111111112|18.86746031746028|0.0110096464676146|EXP_essential_CG_spa40_LiPMScov50|CG|40|50|11|16|6|39|72|72|EXP
4.46875|1.425|19.5|0.0110096464676146|EXP_essential_CG_spa50_LiPMScov50|CG|50|50|11|16|6|39|72|72|EXP
4.46875|1.4761904761904765|18.873015873015877|0.0110096464676146|EXP_essential_CG_spa60_LiPMScov50|CG|60|50|11|16|6|39|72|72|EXP
3.033333333333333|0.8125|13.090909090909092|0.1012746572058481|EXP_essential_CG_spa70_LiPMScov50|CG|70|50|7|15|6|39|67|67|EXP
3.712121212121212|0.9636904761904762|17.1|0.0842763602232029|EXP_essential_CG_spa80_LiPMScov50|CG|80|50|7|11|6|35|59|59|EXP
5.0|0.9333333333333332|36.25|0.0849834404463386|EXP_essential_CG_spa90_LiPMScov50|CG|90|50|5|6|4|24|39|39|EXP
3.294117647058824|0.9090909090909092|11.10954968944098|0.0488022267062151|EXP_essential_C_spa0_LiPMScov50|C|0|50|7|9|17|72|105|105|EXP
3.294117647058824|0.9208333333333334|11.386813186813155|0.0488022267062151|EXP_essential_C_spa10_LiPMScov50|C|10|50|7|9|17|72|105|105|EXP
3.294117647058824|0.9102564102564102|10.924423076923055|0.0488022267062151|EXP_essential_C_spa20_LiPMScov50|C|20|50|7|9|17|72|105|105|EXP
3.294117647058824|0.9333333333333332|10.85840336134452|0.0488022267062151|EXP_essential_C_spa30_LiPMScov50|C|30|50|7|9|17|72|105|105|EXP
3.294117647058824|0.9375|11.684518113465478|0.0488022267062151|EXP_essential_C_spa40_LiPMScov50|C|40|50|7|9|17|72|105|105|EXP
3.294117647058824|0.9220833333333336|11.769318181818182|0.0488022267062151|EXP_essential_C_spa50_LiPMScov50|C|50|50|7|9|17|72|105|105|EXP
2.320261437908497|0.4545454545454545|8.337857142857127|0.1753958202683798|EXP_essential_C_spa60_LiPMScov50|C|60|50|5|9|17|71|102|102|EXP
2.9017857142857144|0.5798863636363636|11.663690476190476|0.1336418096894608|EXP_essential_C_spa70_LiPMScov50|C|70|50|5|7|16|65|93|93|EXP
4.666666666666667|0.0|26.0|0.0934370772386358|EXP_essential_C_spa80_LiPMScov50|C|80|50|3|3|12|56|74|74|EXP
7.272727272727272|0.0|22.0|0.140461215932914|EXP_essential_C_spa90_LiPMScov50|C|90|50|2|1|11|40|54|54|EXP
