buff,spa,cov,OR,OR_lb,OR_ub,pvalues,n
C,0,50,1.3594769089657193,1.2008144080808307,1.538795549956865,1.127333302708422e-06,243
C,10,50,1.3594769089657193,1.2008144080808307,1.538795549956865,1.127333302708422e-06,243
C,20,50,1.3594769089657193,1.2008144080808307,1.538795549956865,1.127333302708422e-06,243
C,30,50,1.3594769089657193,1.2008144080808307,1.538795549956865,1.127333302708422e-06,243
C,40,50,1.3594769089657193,1.2008144080808307,1.538795549956865,1.127333302708422e-06,243
C,50,50,1.3505339057402677,1.1936310931271388,1.5280615937840571,1.926360484238998e-06,240
C,60,50,1.3401747286806638,1.1841201389239695,1.5174025129350848,3.56937479906172e-06,236
C,70,50,1.3198261191437588,1.1629966580818203,1.4963068916635829,1.5960290329575244e-05,209
C,80,50,1.2684554763588385,1.1129342544793257,1.4462876036747396,0.0003823148604509,154
C,90,50,1.2345419369203752,1.0618365465453596,1.4361989419603518,0.0062002293038061,78
