buff,spa,cov,OR,OR_lb,OR_ub,pvalues,n
C,0,50,1.3133747898248154,1.1864907490217118,1.4549914146182013,1.597087155857935e-07,348
C,10,50,1.3133747898248154,1.1864907490217118,1.4549914146182013,1.597087155857935e-07,348
C,20,50,1.3133747898248154,1.1864907490217118,1.4549914146182013,1.597087155857935e-07,348
C,30,50,1.3133747898248154,1.1864907490217118,1.4549914146182013,1.597087155857935e-07,348
C,40,50,1.3133747898248154,1.1864907490217118,1.4549914146182013,1.597087155857935e-07,348
C,50,50,1.3074778812658912,1.180573101723276,1.4477346146633243,2.577230360234495e-07,345
C,60,50,1.2986171921594074,1.1723379466807176,1.4376358592412095,5.358789687548438e-07,338
C,70,50,1.2889139956886682,1.161834242728283,1.430465620479898,1.6845164858558803e-06,302
C,80,50,1.2549553572014318,1.1274968515793755,1.397940385222467,3.488229502202067e-05,228
C,90,50,1.2307207827649702,1.0908966797182778,1.3881889722894123,0.000759906883464,132
