R6_wavelength R6_emi_intensity
3.800000000000000000e+02 7.230000000000000000e+02
3.830000000000000000e+02 6.350000000000000000e+02
3.860000000000000000e+02 5.850000000000000000e+02
3.890000000000000000e+02 7.200000000000000000e+02
3.920000000000000000e+02 6.010000000000000000e+02
3.950000000000000000e+02 7.410000000000000000e+02
3.980000000000000000e+02 6.730000000000000000e+02
4.010000000000000000e+02 6.740000000000000000e+02
4.040000000000000000e+02 8.880000000000000000e+02
4.070000000000000000e+02 1.129000000000000000e+03
4.100000000000000000e+02 1.188000000000000000e+03
4.130000000000000000e+02 1.513000000000000000e+03
4.160000000000000000e+02 2.039000000000000000e+03
4.190000000000000000e+02 2.756000000000000000e+03
4.220000000000000000e+02 3.484000000000000000e+03
4.250000000000000000e+02 4.406000000000000000e+03
4.280000000000000000e+02 5.640000000000000000e+03
4.310000000000000000e+02 7.187000000000000000e+03
4.340000000000000000e+02 8.557000000000000000e+03
4.370000000000000000e+02 1.016000000000000000e+04
4.400000000000000000e+02 1.180100000000000000e+04
4.430000000000000000e+02 1.289800000000000000e+04
4.460000000000000000e+02 1.531500000000000000e+04
4.490000000000000000e+02 1.840100000000000000e+04
4.520000000000000000e+02 1.981600000000000000e+04
4.550000000000000000e+02 2.249700000000000000e+04
4.580000000000000000e+02 2.561800000000000000e+04
4.610000000000000000e+02 2.894400000000000000e+04
4.640000000000000000e+02 3.332800000000000000e+04
4.670000000000000000e+02 3.727800000000000000e+04
4.700000000000000000e+02 4.355400000000000000e+04
4.730000000000000000e+02 4.842500000000000000e+04
4.760000000000000000e+02 5.224000000000000000e+04
4.790000000000000000e+02 5.559000000000000000e+04
4.820000000000000000e+02 5.739800000000000000e+04
4.850000000000000000e+02 6.305300000000000000e+04
4.880000000000000000e+02 6.508000000000000000e+04
4.910000000000000000e+02 6.797400000000000000e+04
4.940000000000000000e+02 7.089600000000000000e+04
4.970000000000000000e+02 7.290200000000000000e+04
5.000000000000000000e+02 7.369500000000000000e+04
5.030000000000000000e+02 7.578000000000000000e+04
5.060000000000000000e+02 7.640100000000000000e+04
5.090000000000000000e+02 7.766500000000000000e+04
5.120000000000000000e+02 7.562600000000000000e+04
5.150000000000000000e+02 7.687400000000000000e+04
5.180000000000000000e+02 7.517200000000000000e+04
5.210000000000000000e+02 7.498100000000000000e+04
5.240000000000000000e+02 7.550300000000000000e+04
5.270000000000000000e+02 7.313700000000000000e+04
5.300000000000000000e+02 7.266200000000000000e+04
5.330000000000000000e+02 7.070700000000000000e+04
5.360000000000000000e+02 6.968500000000000000e+04
5.390000000000000000e+02 6.724200000000000000e+04
5.420000000000000000e+02 6.551800000000000000e+04
5.450000000000000000e+02 6.264900000000000000e+04
5.480000000000000000e+02 6.007900000000000000e+04
5.510000000000000000e+02 5.761800000000000000e+04
5.540000000000000000e+02 5.647700000000000000e+04
5.570000000000000000e+02 5.375100000000000000e+04
5.600000000000000000e+02 5.151300000000000000e+04
5.630000000000000000e+02 4.934400000000000000e+04
5.660000000000000000e+02 4.784600000000000000e+04
5.690000000000000000e+02 4.399300000000000000e+04
5.720000000000000000e+02 4.140700000000000000e+04
5.750000000000000000e+02 3.950700000000000000e+04
5.780000000000000000e+02 3.756800000000000000e+04
5.810000000000000000e+02 3.623000000000000000e+04
5.840000000000000000e+02 3.380300000000000000e+04
5.870000000000000000e+02 3.254500000000000000e+04
5.900000000000000000e+02 3.023000000000000000e+04
5.930000000000000000e+02 2.880800000000000000e+04
5.960000000000000000e+02 2.718400000000000000e+04
5.990000000000000000e+02 2.652400000000000000e+04
6.020000000000000000e+02 2.431400000000000000e+04
6.050000000000000000e+02 2.268100000000000000e+04
6.080000000000000000e+02 2.130500000000000000e+04
6.110000000000000000e+02 2.006400000000000000e+04
6.140000000000000000e+02 1.909200000000000000e+04
6.170000000000000000e+02 1.746500000000000000e+04
6.200000000000000000e+02 1.633700000000000000e+04
6.230000000000000000e+02 1.546700000000000000e+04
6.260000000000000000e+02 1.416500000000000000e+04
6.290000000000000000e+02 1.313100000000000000e+04
6.320000000000000000e+02 1.199700000000000000e+04
6.350000000000000000e+02 1.090900000000000000e+04
6.380000000000000000e+02 1.007100000000000000e+04
6.410000000000000000e+02 9.338000000000000000e+03
6.440000000000000000e+02 8.816000000000000000e+03
6.470000000000000000e+02 7.977000000000000000e+03
6.500000000000000000e+02 7.180000000000000000e+03
6.530000000000000000e+02 6.739000000000000000e+03
6.560000000000000000e+02 6.108000000000000000e+03
6.590000000000000000e+02 5.214000000000000000e+03
6.620000000000000000e+02 5.166000000000000000e+03
6.650000000000000000e+02 4.868000000000000000e+03
6.680000000000000000e+02 4.091000000000000000e+03
6.710000000000000000e+02 3.570000000000000000e+03
6.740000000000000000e+02 3.451000000000000000e+03
6.770000000000000000e+02 3.193000000000000000e+03
6.800000000000000000e+02 2.800000000000000000e+03
6.830000000000000000e+02 2.800000000000000000e+03
6.860000000000000000e+02 2.542000000000000000e+03
6.890000000000000000e+02 2.138000000000000000e+03
6.920000000000000000e+02 2.183000000000000000e+03
6.950000000000000000e+02 2.124000000000000000e+03
6.980000000000000000e+02 1.678000000000000000e+03
