N8_wavelength N8_emi_intensity
3.800000000000000000e+02 7.830000000000000000e+02
3.830000000000000000e+02 6.510000000000000000e+02
3.860000000000000000e+02 6.170000000000000000e+02
3.890000000000000000e+02 5.980000000000000000e+02
3.920000000000000000e+02 6.220000000000000000e+02
3.950000000000000000e+02 5.930000000000000000e+02
3.980000000000000000e+02 6.020000000000000000e+02
4.010000000000000000e+02 7.410000000000000000e+02
4.040000000000000000e+02 9.340000000000000000e+02
4.070000000000000000e+02 8.860000000000000000e+02
4.100000000000000000e+02 1.030000000000000000e+03
4.130000000000000000e+02 1.194000000000000000e+03
4.160000000000000000e+02 1.495000000000000000e+03
4.190000000000000000e+02 2.096000000000000000e+03
4.220000000000000000e+02 2.261000000000000000e+03
4.250000000000000000e+02 2.778000000000000000e+03
4.280000000000000000e+02 3.083000000000000000e+03
4.310000000000000000e+02 3.782000000000000000e+03
4.340000000000000000e+02 4.534000000000000000e+03
4.370000000000000000e+02 5.078000000000000000e+03
4.400000000000000000e+02 5.588000000000000000e+03
4.430000000000000000e+02 6.625000000000000000e+03
4.460000000000000000e+02 7.634000000000000000e+03
4.490000000000000000e+02 9.028000000000000000e+03
4.520000000000000000e+02 1.011800000000000000e+04
4.550000000000000000e+02 1.171000000000000000e+04
4.580000000000000000e+02 1.309600000000000000e+04
4.610000000000000000e+02 1.552400000000000000e+04
4.640000000000000000e+02 1.790600000000000000e+04
4.670000000000000000e+02 2.048500000000000000e+04
4.700000000000000000e+02 2.374000000000000000e+04
4.730000000000000000e+02 2.760100000000000000e+04
4.760000000000000000e+02 3.139200000000000000e+04
4.790000000000000000e+02 3.396900000000000000e+04
4.820000000000000000e+02 3.689900000000000000e+04
4.850000000000000000e+02 3.941200000000000000e+04
4.880000000000000000e+02 4.180500000000000000e+04
4.910000000000000000e+02 4.468000000000000000e+04
4.940000000000000000e+02 4.757800000000000000e+04
4.970000000000000000e+02 4.962600000000000000e+04
5.000000000000000000e+02 5.179900000000000000e+04
5.030000000000000000e+02 5.440300000000000000e+04
5.060000000000000000e+02 5.538800000000000000e+04
5.090000000000000000e+02 5.709500000000000000e+04
5.120000000000000000e+02 5.703300000000000000e+04
5.150000000000000000e+02 5.795500000000000000e+04
5.180000000000000000e+02 5.792800000000000000e+04
5.210000000000000000e+02 5.933600000000000000e+04
5.240000000000000000e+02 5.921000000000000000e+04
5.270000000000000000e+02 5.930100000000000000e+04
5.300000000000000000e+02 5.848100000000000000e+04
5.330000000000000000e+02 5.823600000000000000e+04
5.360000000000000000e+02 5.791200000000000000e+04
5.390000000000000000e+02 5.685400000000000000e+04
5.420000000000000000e+02 5.506400000000000000e+04
5.450000000000000000e+02 5.293400000000000000e+04
5.480000000000000000e+02 5.223500000000000000e+04
5.510000000000000000e+02 4.973300000000000000e+04
5.540000000000000000e+02 4.948600000000000000e+04
5.570000000000000000e+02 4.661400000000000000e+04
5.600000000000000000e+02 4.546600000000000000e+04
5.630000000000000000e+02 4.362300000000000000e+04
5.660000000000000000e+02 4.228500000000000000e+04
5.690000000000000000e+02 4.026500000000000000e+04
5.720000000000000000e+02 3.866500000000000000e+04
5.750000000000000000e+02 3.653700000000000000e+04
5.780000000000000000e+02 3.478500000000000000e+04
5.810000000000000000e+02 3.224400000000000000e+04
5.840000000000000000e+02 3.115400000000000000e+04
5.870000000000000000e+02 2.912800000000000000e+04
5.900000000000000000e+02 2.854600000000000000e+04
5.930000000000000000e+02 2.720700000000000000e+04
5.960000000000000000e+02 2.556700000000000000e+04
5.990000000000000000e+02 2.465300000000000000e+04
6.020000000000000000e+02 2.268000000000000000e+04
6.050000000000000000e+02 2.143600000000000000e+04
6.080000000000000000e+02 2.035000000000000000e+04
6.110000000000000000e+02 1.864100000000000000e+04
6.140000000000000000e+02 1.823200000000000000e+04
6.170000000000000000e+02 1.659300000000000000e+04
6.200000000000000000e+02 1.510400000000000000e+04
6.230000000000000000e+02 1.479800000000000000e+04
6.260000000000000000e+02 1.354700000000000000e+04
6.290000000000000000e+02 1.253400000000000000e+04
6.320000000000000000e+02 1.158800000000000000e+04
6.350000000000000000e+02 1.058700000000000000e+04
6.380000000000000000e+02 9.777000000000000000e+03
6.410000000000000000e+02 9.002000000000000000e+03
6.440000000000000000e+02 8.261000000000000000e+03
6.470000000000000000e+02 7.766000000000000000e+03
6.500000000000000000e+02 7.108000000000000000e+03
6.530000000000000000e+02 6.432000000000000000e+03
6.560000000000000000e+02 5.779000000000000000e+03
6.590000000000000000e+02 5.430000000000000000e+03
6.620000000000000000e+02 5.227000000000000000e+03
6.650000000000000000e+02 4.486000000000000000e+03
6.680000000000000000e+02 4.297000000000000000e+03
6.710000000000000000e+02 3.955000000000000000e+03
6.740000000000000000e+02 3.423000000000000000e+03
6.770000000000000000e+02 3.143000000000000000e+03
6.800000000000000000e+02 2.808000000000000000e+03
6.830000000000000000e+02 2.797000000000000000e+03
6.860000000000000000e+02 2.500000000000000000e+03
6.890000000000000000e+02 2.281000000000000000e+03
6.920000000000000000e+02 2.039000000000000000e+03
6.950000000000000000e+02 2.071000000000000000e+03
6.980000000000000000e+02 1.818000000000000000e+03
