N5_wavelength N5_emi_intensity
3.800000000000000000e+02 5.600000000000000000e+02
3.830000000000000000e+02 4.930000000000000000e+02
3.860000000000000000e+02 5.430000000000000000e+02
3.890000000000000000e+02 5.420000000000000000e+02
3.920000000000000000e+02 5.600000000000000000e+02
3.950000000000000000e+02 5.710000000000000000e+02
3.980000000000000000e+02 5.760000000000000000e+02
4.010000000000000000e+02 6.910000000000000000e+02
4.040000000000000000e+02 6.640000000000000000e+02
4.070000000000000000e+02 7.680000000000000000e+02
4.100000000000000000e+02 9.430000000000000000e+02
4.130000000000000000e+02 1.107000000000000000e+03
4.160000000000000000e+02 1.408000000000000000e+03
4.190000000000000000e+02 1.576000000000000000e+03
4.220000000000000000e+02 1.666000000000000000e+03
4.250000000000000000e+02 2.220000000000000000e+03
4.280000000000000000e+02 2.694000000000000000e+03
4.310000000000000000e+02 3.252000000000000000e+03
4.340000000000000000e+02 3.384000000000000000e+03
4.370000000000000000e+02 3.973000000000000000e+03
4.400000000000000000e+02 4.761000000000000000e+03
4.430000000000000000e+02 5.320000000000000000e+03
4.460000000000000000e+02 5.670000000000000000e+03
4.490000000000000000e+02 6.485000000000000000e+03
4.520000000000000000e+02 7.310000000000000000e+03
4.550000000000000000e+02 8.778000000000000000e+03
4.580000000000000000e+02 9.822000000000000000e+03
4.610000000000000000e+02 1.129400000000000000e+04
4.640000000000000000e+02 1.345900000000000000e+04
4.670000000000000000e+02 1.519400000000000000e+04
4.700000000000000000e+02 1.832200000000000000e+04
4.730000000000000000e+02 2.043400000000000000e+04
4.760000000000000000e+02 2.297600000000000000e+04
4.790000000000000000e+02 2.532200000000000000e+04
4.820000000000000000e+02 2.678100000000000000e+04
4.850000000000000000e+02 2.917200000000000000e+04
4.880000000000000000e+02 3.162900000000000000e+04
4.910000000000000000e+02 3.324000000000000000e+04
4.940000000000000000e+02 3.545700000000000000e+04
4.970000000000000000e+02 3.760100000000000000e+04
5.000000000000000000e+02 3.950800000000000000e+04
5.030000000000000000e+02 4.046000000000000000e+04
5.060000000000000000e+02 4.083600000000000000e+04
5.090000000000000000e+02 4.266100000000000000e+04
5.120000000000000000e+02 4.271700000000000000e+04
5.150000000000000000e+02 4.352300000000000000e+04
5.180000000000000000e+02 4.333300000000000000e+04
5.210000000000000000e+02 4.414400000000000000e+04
5.240000000000000000e+02 4.415300000000000000e+04
5.270000000000000000e+02 4.504900000000000000e+04
5.300000000000000000e+02 4.458500000000000000e+04
5.330000000000000000e+02 4.435400000000000000e+04
5.360000000000000000e+02 4.220100000000000000e+04
5.390000000000000000e+02 4.186700000000000000e+04
5.420000000000000000e+02 4.064400000000000000e+04
5.450000000000000000e+02 3.977100000000000000e+04
5.480000000000000000e+02 3.881200000000000000e+04
5.510000000000000000e+02 3.740300000000000000e+04
5.540000000000000000e+02 3.696300000000000000e+04
5.570000000000000000e+02 3.532600000000000000e+04
5.600000000000000000e+02 3.409600000000000000e+04
5.630000000000000000e+02 3.290500000000000000e+04
5.660000000000000000e+02 3.143900000000000000e+04
5.690000000000000000e+02 3.004700000000000000e+04
5.720000000000000000e+02 2.907000000000000000e+04
5.750000000000000000e+02 2.715600000000000000e+04
5.780000000000000000e+02 2.632900000000000000e+04
5.810000000000000000e+02 2.490400000000000000e+04
5.840000000000000000e+02 2.328100000000000000e+04
5.870000000000000000e+02 2.307200000000000000e+04
5.900000000000000000e+02 2.132400000000000000e+04
5.930000000000000000e+02 2.056700000000000000e+04
5.960000000000000000e+02 1.944400000000000000e+04
5.990000000000000000e+02 1.856200000000000000e+04
6.020000000000000000e+02 1.723500000000000000e+04
6.050000000000000000e+02 1.636500000000000000e+04
6.080000000000000000e+02 1.514600000000000000e+04
6.110000000000000000e+02 1.430200000000000000e+04
6.140000000000000000e+02 1.412700000000000000e+04
6.170000000000000000e+02 1.238500000000000000e+04
6.200000000000000000e+02 1.172100000000000000e+04
6.230000000000000000e+02 1.143500000000000000e+04
6.260000000000000000e+02 1.030200000000000000e+04
6.290000000000000000e+02 1.012800000000000000e+04
6.320000000000000000e+02 8.959000000000000000e+03
6.350000000000000000e+02 8.070000000000000000e+03
6.380000000000000000e+02 7.426000000000000000e+03
6.410000000000000000e+02 6.767000000000000000e+03
6.440000000000000000e+02 6.476000000000000000e+03
6.470000000000000000e+02 5.970000000000000000e+03
6.500000000000000000e+02 5.449000000000000000e+03
6.530000000000000000e+02 4.809000000000000000e+03
6.560000000000000000e+02 4.566000000000000000e+03
6.590000000000000000e+02 4.071000000000000000e+03
6.620000000000000000e+02 3.768000000000000000e+03
6.650000000000000000e+02 3.420000000000000000e+03
6.680000000000000000e+02 3.242000000000000000e+03
6.710000000000000000e+02 2.805000000000000000e+03
6.740000000000000000e+02 2.789000000000000000e+03
6.770000000000000000e+02 2.469000000000000000e+03
6.800000000000000000e+02 2.527000000000000000e+03
6.830000000000000000e+02 2.035000000000000000e+03
6.860000000000000000e+02 2.049000000000000000e+03
6.890000000000000000e+02 1.835000000000000000e+03
6.920000000000000000e+02 1.595000000000000000e+03
6.950000000000000000e+02 1.489000000000000000e+03
6.980000000000000000e+02 1.531000000000000000e+03
