N7_wavelength N7_emi_intensity
3.800000000000000000e+02 6.460000000000000000e+02
3.830000000000000000e+02 6.560000000000000000e+02
3.860000000000000000e+02 6.150000000000000000e+02
3.890000000000000000e+02 6.100000000000000000e+02
3.920000000000000000e+02 6.290000000000000000e+02
3.950000000000000000e+02 6.750000000000000000e+02
3.980000000000000000e+02 6.500000000000000000e+02
4.010000000000000000e+02 7.270000000000000000e+02
4.040000000000000000e+02 7.250000000000000000e+02
4.070000000000000000e+02 9.280000000000000000e+02
4.100000000000000000e+02 9.770000000000000000e+02
4.130000000000000000e+02 1.346000000000000000e+03
4.160000000000000000e+02 1.715000000000000000e+03
4.190000000000000000e+02 1.965000000000000000e+03
4.220000000000000000e+02 2.190000000000000000e+03
4.250000000000000000e+02 2.504000000000000000e+03
4.280000000000000000e+02 3.077000000000000000e+03
4.310000000000000000e+02 3.605000000000000000e+03
4.340000000000000000e+02 4.106000000000000000e+03
4.370000000000000000e+02 4.850000000000000000e+03
4.400000000000000000e+02 5.585000000000000000e+03
4.430000000000000000e+02 6.169000000000000000e+03
4.460000000000000000e+02 7.172000000000000000e+03
4.490000000000000000e+02 8.244000000000000000e+03
4.520000000000000000e+02 9.300000000000000000e+03
4.550000000000000000e+02 1.056700000000000000e+04
4.580000000000000000e+02 1.267400000000000000e+04
4.610000000000000000e+02 1.387100000000000000e+04
4.640000000000000000e+02 1.674300000000000000e+04
4.670000000000000000e+02 1.911600000000000000e+04
4.700000000000000000e+02 2.190600000000000000e+04
4.730000000000000000e+02 2.525500000000000000e+04
4.760000000000000000e+02 2.812600000000000000e+04
4.790000000000000000e+02 3.137700000000000000e+04
4.820000000000000000e+02 3.377900000000000000e+04
4.850000000000000000e+02 3.600300000000000000e+04
4.880000000000000000e+02 3.815400000000000000e+04
4.910000000000000000e+02 4.123000000000000000e+04
4.940000000000000000e+02 4.349800000000000000e+04
4.970000000000000000e+02 4.609300000000000000e+04
5.000000000000000000e+02 4.762900000000000000e+04
5.030000000000000000e+02 4.952000000000000000e+04
5.060000000000000000e+02 5.142100000000000000e+04
5.090000000000000000e+02 5.174600000000000000e+04
5.120000000000000000e+02 5.270400000000000000e+04
5.150000000000000000e+02 5.366000000000000000e+04
5.180000000000000000e+02 5.360600000000000000e+04
5.210000000000000000e+02 5.438300000000000000e+04
5.240000000000000000e+02 5.453800000000000000e+04
5.270000000000000000e+02 5.443400000000000000e+04
5.300000000000000000e+02 5.409300000000000000e+04
5.330000000000000000e+02 5.388400000000000000e+04
5.360000000000000000e+02 5.213700000000000000e+04
5.390000000000000000e+02 5.128200000000000000e+04
5.420000000000000000e+02 5.010000000000000000e+04
5.450000000000000000e+02 4.916800000000000000e+04
5.480000000000000000e+02 4.783900000000000000e+04
5.510000000000000000e+02 4.617800000000000000e+04
5.540000000000000000e+02 4.459700000000000000e+04
5.570000000000000000e+02 4.290600000000000000e+04
5.600000000000000000e+02 4.208700000000000000e+04
5.630000000000000000e+02 4.093300000000000000e+04
5.660000000000000000e+02 3.859800000000000000e+04
5.690000000000000000e+02 3.734000000000000000e+04
5.720000000000000000e+02 3.508400000000000000e+04
5.750000000000000000e+02 3.405000000000000000e+04
5.780000000000000000e+02 3.214200000000000000e+04
5.810000000000000000e+02 3.071100000000000000e+04
5.840000000000000000e+02 2.877800000000000000e+04
5.870000000000000000e+02 2.702500000000000000e+04
5.900000000000000000e+02 2.581800000000000000e+04
5.930000000000000000e+02 2.427300000000000000e+04
5.960000000000000000e+02 2.393700000000000000e+04
5.990000000000000000e+02 2.281600000000000000e+04
6.020000000000000000e+02 2.077700000000000000e+04
6.050000000000000000e+02 1.959100000000000000e+04
6.080000000000000000e+02 1.875200000000000000e+04
6.110000000000000000e+02 1.826100000000000000e+04
6.140000000000000000e+02 1.658700000000000000e+04
6.170000000000000000e+02 1.508500000000000000e+04
6.200000000000000000e+02 1.399400000000000000e+04
6.230000000000000000e+02 1.311900000000000000e+04
6.260000000000000000e+02 1.270200000000000000e+04
6.290000000000000000e+02 1.125300000000000000e+04
6.320000000000000000e+02 1.107700000000000000e+04
6.350000000000000000e+02 1.005500000000000000e+04
6.380000000000000000e+02 9.153000000000000000e+03
6.410000000000000000e+02 8.278000000000000000e+03
6.440000000000000000e+02 7.541000000000000000e+03
6.470000000000000000e+02 7.218000000000000000e+03
6.500000000000000000e+02 6.515000000000000000e+03
6.530000000000000000e+02 6.044000000000000000e+03
6.560000000000000000e+02 5.510000000000000000e+03
6.590000000000000000e+02 4.858000000000000000e+03
6.620000000000000000e+02 4.555000000000000000e+03
6.650000000000000000e+02 4.085000000000000000e+03
6.680000000000000000e+02 3.922000000000000000e+03
6.710000000000000000e+02 3.631000000000000000e+03
6.740000000000000000e+02 3.426000000000000000e+03
6.770000000000000000e+02 3.124000000000000000e+03
6.800000000000000000e+02 2.583000000000000000e+03
6.830000000000000000e+02 2.604000000000000000e+03
6.860000000000000000e+02 2.337000000000000000e+03
6.890000000000000000e+02 1.884000000000000000e+03
6.920000000000000000e+02 1.953000000000000000e+03
6.950000000000000000e+02 1.807000000000000000e+03
6.980000000000000000e+02 1.610000000000000000e+03
