R5_wavelength R5_emi_intensity
3.800000000000000000e+02 6.330000000000000000e+02
3.830000000000000000e+02 4.860000000000000000e+02
3.860000000000000000e+02 5.440000000000000000e+02
3.890000000000000000e+02 5.240000000000000000e+02
3.920000000000000000e+02 5.410000000000000000e+02
3.950000000000000000e+02 5.750000000000000000e+02
3.980000000000000000e+02 7.340000000000000000e+02
4.010000000000000000e+02 6.930000000000000000e+02
4.040000000000000000e+02 7.580000000000000000e+02
4.070000000000000000e+02 8.150000000000000000e+02
4.100000000000000000e+02 1.089000000000000000e+03
4.130000000000000000e+02 1.383000000000000000e+03
4.160000000000000000e+02 1.788000000000000000e+03
4.190000000000000000e+02 2.347000000000000000e+03
4.220000000000000000e+02 2.920000000000000000e+03
4.250000000000000000e+02 3.915000000000000000e+03
4.280000000000000000e+02 4.856000000000000000e+03
4.310000000000000000e+02 6.108000000000000000e+03
4.340000000000000000e+02 7.598000000000000000e+03
4.370000000000000000e+02 8.660000000000000000e+03
4.400000000000000000e+02 1.020600000000000000e+04
4.430000000000000000e+02 1.179700000000000000e+04
4.460000000000000000e+02 1.363400000000000000e+04
4.490000000000000000e+02 1.521900000000000000e+04
4.520000000000000000e+02 1.719700000000000000e+04
4.550000000000000000e+02 1.968800000000000000e+04
4.580000000000000000e+02 2.194900000000000000e+04
4.610000000000000000e+02 2.510200000000000000e+04
4.640000000000000000e+02 2.982100000000000000e+04
4.670000000000000000e+02 3.285700000000000000e+04
4.700000000000000000e+02 3.800600000000000000e+04
4.730000000000000000e+02 4.222900000000000000e+04
4.760000000000000000e+02 4.521700000000000000e+04
4.790000000000000000e+02 4.871000000000000000e+04
4.820000000000000000e+02 5.189500000000000000e+04
4.850000000000000000e+02 5.458900000000000000e+04
4.880000000000000000e+02 5.683300000000000000e+04
4.910000000000000000e+02 6.035800000000000000e+04
4.940000000000000000e+02 6.178300000000000000e+04
4.970000000000000000e+02 6.424200000000000000e+04
5.000000000000000000e+02 6.379300000000000000e+04
5.030000000000000000e+02 6.639000000000000000e+04
5.060000000000000000e+02 6.696800000000000000e+04
5.090000000000000000e+02 6.715900000000000000e+04
5.120000000000000000e+02 6.628900000000000000e+04
5.150000000000000000e+02 6.731500000000000000e+04
5.180000000000000000e+02 6.750900000000000000e+04
5.210000000000000000e+02 6.613800000000000000e+04
5.240000000000000000e+02 6.554300000000000000e+04
5.270000000000000000e+02 6.460300000000000000e+04
5.300000000000000000e+02 6.354000000000000000e+04
5.330000000000000000e+02 6.215200000000000000e+04
5.360000000000000000e+02 6.036100000000000000e+04
5.390000000000000000e+02 5.907100000000000000e+04
5.420000000000000000e+02 5.684300000000000000e+04
5.450000000000000000e+02 5.541000000000000000e+04
5.480000000000000000e+02 5.294600000000000000e+04
5.510000000000000000e+02 5.105100000000000000e+04
5.540000000000000000e+02 4.956000000000000000e+04
5.570000000000000000e+02 4.736900000000000000e+04
5.600000000000000000e+02 4.531300000000000000e+04
5.630000000000000000e+02 4.358300000000000000e+04
5.660000000000000000e+02 4.129900000000000000e+04
5.690000000000000000e+02 3.922900000000000000e+04
5.720000000000000000e+02 3.644300000000000000e+04
5.750000000000000000e+02 3.551200000000000000e+04
5.780000000000000000e+02 3.302200000000000000e+04
5.810000000000000000e+02 3.149400000000000000e+04
5.840000000000000000e+02 2.935400000000000000e+04
5.870000000000000000e+02 2.809300000000000000e+04
5.900000000000000000e+02 2.674700000000000000e+04
5.930000000000000000e+02 2.559900000000000000e+04
5.960000000000000000e+02 2.425600000000000000e+04
5.990000000000000000e+02 2.246700000000000000e+04
6.020000000000000000e+02 2.166100000000000000e+04
6.050000000000000000e+02 2.025600000000000000e+04
6.080000000000000000e+02 1.886100000000000000e+04
6.110000000000000000e+02 1.798600000000000000e+04
6.140000000000000000e+02 1.658300000000000000e+04
6.170000000000000000e+02 1.535100000000000000e+04
6.200000000000000000e+02 1.417100000000000000e+04
6.230000000000000000e+02 1.369700000000000000e+04
6.260000000000000000e+02 1.256800000000000000e+04
6.290000000000000000e+02 1.157500000000000000e+04
6.320000000000000000e+02 1.018700000000000000e+04
6.350000000000000000e+02 9.669000000000000000e+03
6.380000000000000000e+02 8.522000000000000000e+03
6.410000000000000000e+02 8.256000000000000000e+03
6.440000000000000000e+02 7.647000000000000000e+03
6.470000000000000000e+02 7.036000000000000000e+03
6.500000000000000000e+02 6.563000000000000000e+03
6.530000000000000000e+02 5.729000000000000000e+03
6.560000000000000000e+02 5.173000000000000000e+03
6.590000000000000000e+02 5.028000000000000000e+03
6.620000000000000000e+02 4.566000000000000000e+03
6.650000000000000000e+02 4.172000000000000000e+03
6.680000000000000000e+02 3.562000000000000000e+03
6.710000000000000000e+02 3.327000000000000000e+03
6.740000000000000000e+02 3.130000000000000000e+03
6.770000000000000000e+02 2.822000000000000000e+03
6.800000000000000000e+02 2.620000000000000000e+03
6.830000000000000000e+02 2.561000000000000000e+03
6.860000000000000000e+02 2.251000000000000000e+03
6.890000000000000000e+02 2.145000000000000000e+03
6.920000000000000000e+02 1.873000000000000000e+03
6.950000000000000000e+02 1.814000000000000000e+03
6.980000000000000000e+02 1.779000000000000000e+03
