R2_wavelength R2_emi_intensity
3.800000000000000000e+02 7.760000000000000000e+02
3.830000000000000000e+02 7.860000000000000000e+02
3.860000000000000000e+02 8.020000000000000000e+02
3.890000000000000000e+02 9.020000000000000000e+02
3.920000000000000000e+02 8.480000000000000000e+02
3.950000000000000000e+02 7.630000000000000000e+02
3.980000000000000000e+02 9.000000000000000000e+02
4.010000000000000000e+02 8.980000000000000000e+02
4.040000000000000000e+02 1.004000000000000000e+03
4.070000000000000000e+02 1.207000000000000000e+03
4.100000000000000000e+02 1.150000000000000000e+03
4.130000000000000000e+02 1.788000000000000000e+03
4.160000000000000000e+02 1.963000000000000000e+03
4.190000000000000000e+02 2.666000000000000000e+03
4.220000000000000000e+02 3.291000000000000000e+03
4.250000000000000000e+02 4.027000000000000000e+03
4.280000000000000000e+02 5.177000000000000000e+03
4.310000000000000000e+02 5.956000000000000000e+03
4.340000000000000000e+02 7.768000000000000000e+03
4.370000000000000000e+02 9.133000000000000000e+03
4.400000000000000000e+02 1.067900000000000000e+04
4.430000000000000000e+02 1.186500000000000000e+04
4.460000000000000000e+02 1.423600000000000000e+04
4.490000000000000000e+02 1.532800000000000000e+04
4.520000000000000000e+02 1.754800000000000000e+04
4.550000000000000000e+02 1.979800000000000000e+04
4.580000000000000000e+02 2.221700000000000000e+04
4.610000000000000000e+02 2.536800000000000000e+04
4.640000000000000000e+02 2.985500000000000000e+04
4.670000000000000000e+02 3.309400000000000000e+04
4.700000000000000000e+02 3.749100000000000000e+04
4.730000000000000000e+02 4.270600000000000000e+04
4.760000000000000000e+02 4.633800000000000000e+04
4.790000000000000000e+02 4.774400000000000000e+04
4.820000000000000000e+02 5.194000000000000000e+04
4.850000000000000000e+02 5.500300000000000000e+04
4.880000000000000000e+02 5.771100000000000000e+04
4.910000000000000000e+02 6.011200000000000000e+04
4.940000000000000000e+02 6.186900000000000000e+04
4.970000000000000000e+02 6.388300000000000000e+04
5.000000000000000000e+02 6.633400000000000000e+04
5.030000000000000000e+02 6.664800000000000000e+04
5.060000000000000000e+02 6.698200000000000000e+04
5.090000000000000000e+02 6.722500000000000000e+04
5.120000000000000000e+02 6.811200000000000000e+04
5.150000000000000000e+02 6.718700000000000000e+04
5.180000000000000000e+02 6.687000000000000000e+04
5.210000000000000000e+02 6.657200000000000000e+04
5.240000000000000000e+02 6.604400000000000000e+04
5.270000000000000000e+02 6.518800000000000000e+04
5.300000000000000000e+02 6.415600000000000000e+04
5.330000000000000000e+02 6.235900000000000000e+04
5.360000000000000000e+02 6.146600000000000000e+04
5.390000000000000000e+02 5.921200000000000000e+04
5.420000000000000000e+02 5.750700000000000000e+04
5.450000000000000000e+02 5.504800000000000000e+04
5.480000000000000000e+02 5.312300000000000000e+04
5.510000000000000000e+02 5.195400000000000000e+04
5.540000000000000000e+02 4.918100000000000000e+04
5.570000000000000000e+02 4.691200000000000000e+04
5.600000000000000000e+02 4.576400000000000000e+04
5.630000000000000000e+02 4.395500000000000000e+04
5.660000000000000000e+02 4.197200000000000000e+04
5.690000000000000000e+02 3.947900000000000000e+04
5.720000000000000000e+02 3.717200000000000000e+04
5.750000000000000000e+02 3.547600000000000000e+04
5.780000000000000000e+02 3.333500000000000000e+04
5.810000000000000000e+02 3.207800000000000000e+04
5.840000000000000000e+02 3.001900000000000000e+04
5.870000000000000000e+02 2.844800000000000000e+04
5.900000000000000000e+02 2.697200000000000000e+04
5.930000000000000000e+02 2.552100000000000000e+04
5.960000000000000000e+02 2.448600000000000000e+04
5.990000000000000000e+02 2.302200000000000000e+04
6.020000000000000000e+02 2.113900000000000000e+04
6.050000000000000000e+02 1.962300000000000000e+04
6.080000000000000000e+02 1.887100000000000000e+04
6.110000000000000000e+02 1.789200000000000000e+04
6.140000000000000000e+02 1.667600000000000000e+04
6.170000000000000000e+02 1.542300000000000000e+04
6.200000000000000000e+02 1.432500000000000000e+04
6.230000000000000000e+02 1.336800000000000000e+04
6.260000000000000000e+02 1.274800000000000000e+04
6.290000000000000000e+02 1.192400000000000000e+04
6.320000000000000000e+02 1.071000000000000000e+04
6.350000000000000000e+02 9.761000000000000000e+03
6.380000000000000000e+02 8.969000000000000000e+03
6.410000000000000000e+02 8.356000000000000000e+03
6.440000000000000000e+02 7.536000000000000000e+03
6.470000000000000000e+02 7.210000000000000000e+03
6.500000000000000000e+02 6.874000000000000000e+03
6.530000000000000000e+02 6.229000000000000000e+03
6.560000000000000000e+02 5.421000000000000000e+03
6.590000000000000000e+02 4.891000000000000000e+03
6.620000000000000000e+02 4.637000000000000000e+03
6.650000000000000000e+02 4.377000000000000000e+03
6.680000000000000000e+02 3.925000000000000000e+03
6.710000000000000000e+02 3.607000000000000000e+03
6.740000000000000000e+02 3.320000000000000000e+03
6.770000000000000000e+02 3.105000000000000000e+03
6.800000000000000000e+02 2.787000000000000000e+03
6.830000000000000000e+02 2.582000000000000000e+03
6.860000000000000000e+02 2.025000000000000000e+03
6.890000000000000000e+02 2.045000000000000000e+03
6.920000000000000000e+02 2.052000000000000000e+03
6.950000000000000000e+02 1.881000000000000000e+03
6.980000000000000000e+02 1.881000000000000000e+03
