,C,<BA>,BA_lb,BA_ub,pvalue,num_nonzero,num_nonzero_and_robust,buff,xlabel,spa,label
7,1.5,0.5610977187859254,0.557297088592642,0.5648983489792088,0.0001,13,10,C,cyto-serum,0,EXP
7,1.5,0.5399175412293854,0.5308814065879688,0.548953675870802,0.2081636743385316,10,8,CD,+DnaK,0,EXP
7,1.5,0.5723440285204993,0.5665131341581573,0.5781749228828412,1.0061769028766568e-08,14,13,CG,+GroEL,0,EXP
7,1.5,0.5551187416015747,0.5434973851615783,0.5667400980415711,0.0001,12,12,C,cyto-serum,10,EXP
7,1.5,0.5433658170914544,0.5294510548117549,0.5572805793711538,0.2432758756164714,9,9,CD,+DnaK,10,EXP
7,1.5,0.5778631907308378,0.5603647126026747,0.5953616688590009,0.0001,13,12,CG,+GroEL,10,EXP
7,1.5,0.5551038451777689,0.5504243226120202,0.5597833677435176,0.0001,13,13,C,cyto-serum,20,EXP
7,1.5,0.5394947263210499,0.5213008308427408,0.557688621799359,0.1458254940807157,11,9,CD,+DnaK,20,EXP
7,1.5,0.5922170231729055,0.581957283875423,0.602476762470388,0.0001,13,11,CG,+GroEL,20,EXP
7,1.5,0.5604542999938016,0.5530548182926616,0.5678537816949416,0.0001,14,12,C,cyto-serum,30,EXP
7,1.5,0.555735619032589,0.5480636107392584,0.5634076273259195,0.0030538283577208,9,8,CD,+DnaK,30,EXP
7,1.5,0.5860672905525848,0.5764936564171915,0.595640924687978,0.0001,12,12,CG,+GroEL,30,EXP
7,1.5,0.5519738638662754,0.5436048020919746,0.5603429256405763,0.0001,13,12,C,cyto-serum,40,EXP
7,1.5,0.5442650385333648,0.531164782879436,0.5573652941872936,0.0869370890961354,10,9,CD,+DnaK,40,EXP
7,1.5,0.5743872549019609,0.5622939415525592,0.5864805682513625,0.0001,14,11,CG,+GroEL,40,EXP
7,1.5,0.557061387300002,0.5463409702508164,0.5677818043491876,0.0001,15,14,C,cyto-serum,50,EXP
7,1.5,0.5303065572476919,0.5192907419779759,0.541322372517408,0.6494439815546482,10,8,CD,+DnaK,50,EXP
7,1.5,0.5702577619079854,0.5560757571412981,0.5844397666746727,0.0001,13,12,CG,+GroEL,50,EXP
7,1.5,0.5573567794370292,0.5474976019225899,0.5672159569514685,0.0001,12,12,C,cyto-serum,60,EXP
7,1.5,0.5427523080564981,0.5297161496614218,0.5557884664515744,0.3564311184374393,10,8,CD,+DnaK,60,EXP
7,1.5,0.5795008912655971,0.5731656212087417,0.5858361613224525,4.466793688503387e-09,14,12,CG,+GroEL,60,EXP
7,1.5,0.5770960909793731,0.5613814891042626,0.5928106928544836,0.0001,14,14,C,cyto-serum,70,EXP
7,1.5,0.5310813099943534,0.5154415336721391,0.5467210863165678,0.4312026351959226,7,7,CD,+DnaK,70,EXP
7,1.5,0.5880396079454299,0.5783749140851274,0.5977043018057323,0.0001,10,10,CG,+GroEL,70,EXP
7,1.5,0.5982405782214772,0.5850813312790767,0.6113998251638778,0.0001,15,14,C,cyto-serum,80,EXP
7,1.5,0.5397625231910946,0.5278958616651107,0.5516291847170786,0.5224057405045914,8,7,CD,+DnaK,80,EXP
7,1.5,0.5854805107526883,0.5597293299196662,0.6112316915857103,0.0001,13,12,CG,+GroEL,80,EXP
7,1.5,0.6121820928441555,0.6024728413848178,0.6218913443034931,8.676615438560576e-05,11,11,C,cyto-serum,90,EXP
7,1.5,0.5851851562377878,0.5656469210797501,0.6047233913958254,0.0053459818764887,8,8,CD,+DnaK,90,EXP
7,1.5,0.6422757475083056,0.6180201787739609,0.6665313162426504,0.0001,13,12,CG,+GroEL,90,EXP
7,1.5,0.5570210888145671,0.5467184157749014,0.5673237618542328,0.0001,15,10,C,cyto-serum,0,AF
7,1.5,0.5973745819397993,0.584834949927731,0.6099142139518676,0.0001,11,10,CD,+DnaK,0,AF
7,1.5,0.6025318007041288,0.587500092820836,0.6175635085874216,0.0001,14,13,CG,+GroEL,0,AF
7,1.5,0.5628135451505016,0.5564121936307095,0.5692148966702938,0.0001,13,12,C,cyto-serum,10,AF
7,1.5,0.587312470138557,0.5779996592938408,0.5966252809832733,0.0001,13,11,CD,+DnaK,10,AF
7,1.5,0.6002981635873101,0.5925578149468115,0.6080385122278088,0.0001,15,14,CG,+GroEL,10,AF
7,1.5,0.5531447417316983,0.5463945475489476,0.5598949359144489,0.0001,13,11,C,cyto-serum,20,AF
7,1.5,0.5808910654562829,0.5704013296021702,0.5913808013103956,0.0001,13,10,CD,+DnaK,20,AF
7,1.5,0.5987915828992879,0.5914974196538815,0.6060857461446943,0.0001,12,12,CG,+GroEL,20,AF
7,1.5,0.5550887216648086,0.5469675115818026,0.5632099317478146,0.0001,13,11,C,cyto-serum,30,AF
7,1.5,0.5762876254180602,0.5618860454291997,0.5906892054069207,0.0001,13,12,CD,+DnaK,30,AF
7,1.5,0.599574421160171,0.5878418885105079,0.6113069538098341,0.0001,15,14,CG,+GroEL,30,AF
7,1.5,0.5599080267558528,0.5564485207656088,0.5633675327460969,0.0001,12,11,C,cyto-serum,40,AF
7,1.5,0.5884113712374581,0.5736658143689677,0.6031569281059486,0.0001,12,10,CD,+DnaK,40,AF
7,1.5,0.589515553212322,0.5782420598503776,0.6007890465742663,0.0001,13,12,CG,+GroEL,40,AF
7,1.5,0.5560363022372309,0.5492252975755448,0.5628473068989169,0.0001,13,12,C,cyto-serum,50,AF
7,1.5,0.5912087912087912,0.5872795712822957,0.5951380111352867,0.0001,11,10,CD,+DnaK,50,AF
7,1.5,0.5942540232482239,0.5891430318923484,0.5993650146040993,0.0001,12,12,CG,+GroEL,50,AF
7,1.5,0.5621430881198057,0.5549818709407495,0.569304305298862,0.0001,13,12,C,cyto-serum,60,AF
7,1.5,0.5928196896736223,0.5817315455725389,0.6039078337747057,0.0001,14,12,CD,+DnaK,60,AF
7,1.5,0.6144362596102272,0.6010877745310655,0.6277847446893888,0.0001,14,14,CG,+GroEL,60,AF
7,1.5,0.5578944447365499,0.5529952487688108,0.562793640704289,0.0001,15,13,C,cyto-serum,70,AF
7,1.5,0.5879773978556939,0.5825182315048959,0.5934365642064919,0.0001,12,12,CD,+DnaK,70,AF
7,1.5,0.5993512677798393,0.5859719230062277,0.6127306125534508,0.0001,14,14,CG,+GroEL,70,AF
7,1.5,0.5732384706914581,0.5669740842163582,0.5795028571665579,0.0001,14,12,C,cyto-serum,80,AF
7,1.5,0.6106105852975546,0.6015730971981109,0.6196480733969983,0.0001,11,11,CD,+DnaK,80,AF
7,1.5,0.6142400883515127,0.6029782268059742,0.6255019498970511,0.0001,16,14,CG,+GroEL,80,AF
7,1.5,0.6434094465784608,0.6336166243328493,0.6532022688240723,0.0001,13,12,C,cyto-serum,90,AF
7,1.5,0.6192631578947367,0.5960910932002607,0.6424352225892128,0.0001,11,10,CD,+DnaK,90,AF
7,1.5,0.666485345255837,0.6478743136891226,0.6850963768225514,0.0001,15,15,CG,+GroEL,90,AF
