motif,D_type,Ess_n,NonEss_n,Ess_hits,NonEss_hits,Ess_mean,Ess_lower_ci,Ess_upper_ci,NonEss_mean,NonEss_lower_ci,NonEss_upper_ci,ratio,proportion,abs_diff,p_value,OnlyEnt,buff,spa,q_value
Schymkowitz,D_Loop,105,243,1,3,3.840245775729647e-05,0.0,0.0002304147465437,2.4985954802244388e-05,7.156915369475757e-06,7.269084351423198e-05,1.5369617875818349,0.6058277247631807,1.341650295505208e-05,0.8519,False,C,20,1.0
Schymkowitz,D_All,81,183,4,5,0.0001436676713517,2.083535248968416e-05,0.0004531842014272,5.818231444776735e-05,2.1814294907452853e-05,0.0001307931289676,2.4692670395701777,0.711754676537124,8.548535690401231e-05,0.2363,True,C,20,0.990132
Schymkowitz,D_Thread,81,183,1,1,4.978096375945838e-05,0.0,0.0002489048187972,1.2767478678310609e-05,0.0,6.383739339155304e-05,3.8990442054958185,0.7958785513961713,3.7013485081147775e-05,0.3084,True,C,20,0.990132
Schymkowitz,D_Loop,81,183,1,3,4.978096375945838e-05,0.0,0.0002489048187972,3.31780711308491e-05,9.50344499881207e-06,9.471455853918508e-05,1.500417657287251,0.6000668140038179,1.660289262860928e-05,0.8525,True,C,20,1.0
Emperical4,D_All,105,243,13,26,0.0005662987912896,0.0002853494169113,0.0010222125758266,0.0003003573359223,0.000196184620807,0.0004365432706455,1.8854168803658096,0.6534296285557111,0.0002659414553673,0.0784,False,C,20,0.990132
Emperical4,D_Thread,105,243,1,6,6.76887670491082e-06,0.0,3.38443835245541e-05,6.534643733886924e-05,2.4308524195931997e-05,0.0001463155668279,0.1035844795915839,0.0938618488273037,5.8577560633958425e-05,0.2228,False,C,20,0.990132
Emperical4,D_Loop,105,243,7,17,0.0001654798071804,6.734181360241979e-05,0.0003572949866216,0.000210744642345,0.0001263010537138,0.0003380486389515,0.7852147762289527,0.4398433099952391,4.5264835164629774e-05,0.6301,False,C,20,0.990132
Emperical4RF,D_All,105,243,56,138,0.0025397511296522,0.0020141779468857,0.0032196504106343,0.0029955802827088,0.0025740822929261,0.0034879577029544,0.8478327702690178,0.4588254867595976,0.0004558291530565,0.2566,False,C,20,0.990132
Emperical4RF,D_Thread,105,243,11,36,0.0003043078030845,0.000144244600368,0.0006308283925074,0.0006027980503524,0.0004224636699229,0.0008490292460588,0.5048254600469206,0.3354711050882806,0.0002984902472678,0.0991,False,C,20,0.990132
Emperical4RF,D_Loop,105,243,30,68,0.0010248928052258,0.00071383349498,0.0014712589788831,0.0011423819383879,0.0008958853773255,0.0014493901733953,0.8971542448159765,0.4728947302347576,0.0001174891331621,0.6347,False,C,20,0.990132
Emperical4LF,D_All,105,243,66,152,0.0032886118255664,0.0026824467723866,0.004021683305084,0.0036909627036214,0.0031990054407733,0.0043394392434759,0.8909902617926071,0.4711765469103858,0.000402350878055,0.4046,False,C,20,0.990132
Emperical4LF,D_Thread,105,243,18,48,0.0005648424520085,0.0003329291928554,0.0009057951853812,0.0006536149102857,0.0004848878452226,0.0008733366977512,0.8641823237501949,0.4635717830494767,8.877245827723613e-05,0.6132,False,C,20,0.990132
Emperical4LF,D_Loop,105,243,32,80,0.0012210683427372,0.0008417728405805,0.0017002248011134,0.0013798620847776,0.0011025909043929,0.0017238754797954,0.8849205701119109,0.4694736659695807,0.0001587937420403,0.5631,False,C,20,0.990132
Emperical4,D_All,81,183,12,26,0.0006320606206851,0.0003054153945186,0.0011837353169146,0.0003988351509788,0.0002656604375513,0.0005809928754478,1.584766586229772,0.6131178709414401,0.0002332254697063,0.2137,True,C,20,0.990132
Emperical4,D_Thread,81,183,1,6,8.774469802662174e-06,0.0,4.387234901331087e-05,8.677149876144932e-05,3.3352405405841366e-05,0.0001926408182327,0.1011215655820904,0.0918350604900141,7.799702895878714e-05,0.2079,True,C,20,0.990132
Emperical4,D_Loop,81,183,7,17,0.0002145108611597,9.017986295278538e-05,0.0004506256327117,0.0002798412463926,0.0001675325887722,0.0004483614783728,0.766544831846737,0.4339232257385707,6.533038523280323e-05,0.5905,True,C,20,0.990132
