,Metric,Essential,Essential_lb,Essential_ub,Essential_n,NonEssential,NonEssential_lb,NonEssential_ub,NonEssential_n,pvalues
72,Hydrophob-Hydrophob,0.6136363636363636,0.15909090909090912,0.13636363636363635,44,0.7938144329896907,0.09278350515463918,0.07216494845360832,97,0.3695630436956304
73,StrHydrophob-StrHydrophob,0.45454545454545453,0.13636363636363635,0.15873841580456766,44,0.5567010309278351,0.10309278350515466,0.09278350515463918,97,0.6687331266873313
74,Aromatic-Aromatic,0.045454545454545456,0.045454545454545456,0.11363636363636363,44,0.13402061855670103,0.061855670103092786,0.08247422680412372,97,0.6107389261073892
75,Hydrophil-Hydrophil,0.25,0.11363636363636365,0.13636363636363635,44,0.35051546391752575,0.09278350515463918,0.09278350515463918,97,0.6687331266873313
76,Hydrophob-Aromatic,0.45454545454545453,0.13636363636363635,0.15909090909090912,44,0.6185567010309279,0.10309278350515472,0.09278350515463918,97,0.45715428457154283
77,Hydrophob-Charged,0.4772727272727273,0.1363636363636364,0.13636363636363635,44,0.5876288659793815,0.10309278350515466,0.09278350515463918,97,0.6687331266873313
78,Hydrophob-NegCharged,0.22727272727272727,0.11363636363636363,0.13636363636363638,44,0.35051546391752575,0.09278350515463918,0.10309278350515466,97,0.6107389261073892
79,Hydrophob-PosCharged,0.38636363636363635,0.13636363636363635,0.13636363636363635,44,0.41237113402061853,0.09278350515463918,0.1030927835051546,97,1.0
80,PosCharged-PosCharged,0.022727272727272728,0.022727272727272728,0.09090909090909091,44,0.010309278350515464,0.010309278350515464,0.041237113402061855,97,1.0
81,NegCharged-NegCharged,0.0,,,44,0.0,,,97,1.0
82,FF-FY-SY-TY-HC,0.0,,,44,0.09278350515463918,0.051546391752577324,0.07216494845360824,97,0.3695630436956304
83,FF-FY-SY-HC,0.0,,,44,0.09278350515463918,0.051546391752577324,0.07216494845360824,97,0.3695630436956304
84,FF,0.0,,,44,0.010309278350515464,0.010309278350515464,0.041237113402061855,97,1.0
85,FY,0.0,,,44,0.020618556701030927,0.020618556701030927,0.05154639175257732,97,1.0
86,TY,0.0,,,44,0.010309278350515464,0.010309278350515464,0.041237113402061855,97,1.0
87,SY,0.0,,,44,0.0,,,97,1.0
88,HC,0.0,,,44,0.0,,,97,1.0
89,MR,0.0,,,44,0.0,,,97,1.0
