,Metric,Essential,Essential_lb,Essential_ub,Essential_n,NonEssential,NonEssential_lb,NonEssential_ub,NonEssential_n,pvalues
0,Hydrophob-Hydrophob,0.8727272727272727,0.10909090909090902,0.07272727272727275,55,0.9708029197080292,0.04379562043795626,0.021897810218978075,137,0.125987401259874
1,StrHydrophob-StrHydrophob,0.8545454545454545,0.10909090909090902,0.07272727272727275,55,0.9124087591240876,0.058394160583941646,0.03649635036496346,137,0.5213478652134786
2,Aromatic-Aromatic,0.2909090909090909,0.10909090909090907,0.12727272727272726,55,0.5328467153284672,0.08759124087591241,0.08029197080291972,137,0.026397360263973605
3,Hydrophil-Hydrophil,0.6909090909090909,0.12727272727272732,0.10909090909090913,55,0.7591240875912408,0.08029197080291972,0.06569343065693434,137,0.573450347272965
4,Hydrophob-Aromatic,0.6909090909090909,0.12727272727272732,0.10909090909090913,55,0.8248175182481752,0.07299270072992703,0.058394160583941646,137,0.16153384661533848
5,Hydrophob-Charged,0.8727272727272727,0.10909090909090902,0.07272727272727275,55,0.8978102189781022,0.058394160583941646,0.04379562043795615,137,0.8563143685631437
6,Hydrophob-NegCharged,0.6545454545454545,0.12877656257441883,0.12727272727272732,55,0.7518248175182481,0.07299270072992703,0.06569343065693434,137,0.39170628391706286
7,Hydrophob-PosCharged,0.7636363636363637,0.12727272727272732,0.10909090909090902,55,0.7883211678832117,0.07299270072992703,0.058394160583941535,137,0.8563143685631437
8,PosCharged-PosCharged,0.3090909090909091,0.10909090909090907,0.12727272727272726,55,0.3357664233576642,0.07299270072992697,0.08029197080291972,137,0.8563143685631437
9,NegCharged-NegCharged,0.2727272727272727,0.10909090909090907,0.12727272727272732,55,0.22627737226277372,0.06569343065693431,0.08029197080291972,137,0.7501649835016498
10,FF-FY-SY-TY-HC,0.18181818181818182,0.09090909090909091,0.12727272727272726,55,0.45255474452554745,0.08029197080291972,0.08759124087591241,137,0.0053994600539946005
11,FF-FY-SY-HC,0.18181818181818182,0.09090909090909091,0.12727272727272726,55,0.45255474452554745,0.08029197080291972,0.08029197080291972,137,0.0053994600539946005
12,FF,0.05454545454545454,0.03636363636363636,0.09090909090909091,55,0.16058394160583941,0.0510948905109489,0.06569343065693431,137,0.16153384661533848
13,FY,0.07272727272727272,0.05454545454545454,0.09090909090909091,55,0.24817518248175183,0.06569343065693431,0.0802919708029197,137,0.0323967603239676
14,TY,0.09090909090909091,0.05454545454545455,0.1090909090909091,55,0.2116788321167883,0.06569343065693431,0.072992700729927,137,0.16153384661533848
15,SY,0.03636363636363636,0.03636363636363636,0.0909090909090909,55,0.12408759124087591,0.05109489051094891,0.0656934306569343,137,0.18466153384661535
16,HC,0.03636363636363636,0.03636363636363636,0.0909090909090909,55,0.12408759124087591,0.05109489051094891,0.0656934306569343,137,0.18466153384661535
17,MR,0.14545454545454545,0.07272727272727272,0.10909090909090907,55,0.0948905109489051,0.0437956204379562,0.05839416058394162,137,0.5841701544131301
