Metric|Essential True Mean|Essential True 95% CI low|Essential True 95% CI high|Essential False Mean|Essential False 95% CI low|Essential False 95% CI high|Permutation Test p-value|n|Essential True n|Essential False n
Hydrophob-Hydrophob|0.8727272727272727|0.7636363636363637|0.9454545454545454|0.9708029197080292|0.927007299270073|0.9927007299270073|0.025997400259974|1|55|137
StrHydrophob-StrHydrophob|0.8545454545454545|0.7454545454545455|0.9272727272727272|0.9124087591240876|0.8540145985401459|0.948905109489051|0.35156484351564843|1|55|137
Aromatic-Aromatic|0.2909090909090909|0.18181818181818182|0.41818181818181815|0.5328467153284672|0.44525547445255476|0.6131386861313869|0.0033996600339966003|1|55|137
Hydrophil-Hydrophil|0.6909090909090909|0.5636363636363636|0.8|0.7591240875912408|0.6788321167883211|0.8248175182481752|0.42915708429157085|1|55|137
Hydrophob-Aromatic|0.6909090909090909|0.5636363636363636|0.8|0.8248175182481752|0.7518248175182481|0.8832116788321168|0.0685931406859314|1|55|137
Hydrophob-Charged|0.8727272727272727|0.7636363636363637|0.9454545454545454|0.8978102189781022|0.8394160583941606|0.9416058394160584|0.7785221477852214|1|55|137
Hydrophob-NegCharged|0.6545454545454545|0.5272727272727272|0.7636363636363637|0.7518248175182481|0.6788321167883211|0.8175182481751825|0.24077592240775922|1|55|137
Hydrophob-PosCharged|0.7636363636363637|0.6363636363636364|0.8545454545454545|0.7883211678832117|0.7153284671532847|0.8540145985401459|0.8449155084491551|1|55|137
PosCharged-PosCharged|0.3090909090909091|0.2|0.43636363636363634|0.3357664233576642|0.26277372262773724|0.41605839416058393|0.8669133086691331|1|55|137
NegCharged-NegCharged|0.2727272727272727|0.16363636363636364|0.4|0.22627737226277372|0.16058394160583941|0.29927007299270075|0.6147385261473852|1|55|137
FF-FY-SY-TY-HC|0.18181818181818182|0.09090909090909091|0.3090909090909091|0.45255474452554745|0.3722627737226277|0.5328467153284672|0.0005999400059994001|1|55|137
FF|0.05454545454545454|0.01818181818181818|0.14545454545454545|0.16058394160583941|0.10218978102189781|0.22627737226277372|0.07019298070192981|1|55|137
FY|0.07272727272727272|0.01818181818181818|0.16363636363636364|0.24817518248175183|0.18248175182481752|0.3284671532846715|0.0081991800819918|1|55|137
TY|0.09090909090909091|0.03636363636363636|0.2|0.2116788321167883|0.145985401459854|0.2846715328467153|0.06679332066793321|1|55|137
SY|0.03636363636363636|0.0|0.12727272727272726|0.12408759124087591|0.072992700729927|0.1897810218978102|0.10998900109989002|1|55|137
HC|0.03636363636363636|0.0|0.12727272727272726|0.12408759124087591|0.072992700729927|0.1897810218978102|0.10898910108989102|1|55|137
MR|0.14545454545454545|0.07272727272727272|0.2545454545454545|0.0948905109489051|0.051094890510948905|0.15328467153284672|0.42875712428757123|1|55|137
Hydrophob-Hydrophob|0.7818181818181819|0.6545454545454545|0.8727272727272727|0.8686131386861314|0.8029197080291971|0.9197080291970803|0.200979902009799|2|55|137
StrHydrophob-StrHydrophob|0.7272727272727273|0.6|0.8363636363636363|0.8029197080291971|0.7299270072992701|0.8613138686131386|0.35896410358964104|2|55|137
Aromatic-Aromatic|0.16363636363636364|0.09090909090909091|0.2727272727272727|0.31386861313868614|0.24087591240875914|0.39416058394160586|0.054594540545945404|2|55|137
Hydrophil-Hydrophil|0.5636363636363636|0.43636363636363634|0.6909090909090909|0.5985401459854015|0.5109489051094891|0.6788321167883211|0.7737226277372263|2|55|137
Hydrophob-Aromatic|0.6|0.4727272727272727|0.7272727272727273|0.7664233576642335|0.6861313868613139|0.8321167883211679|0.03899610038996101|2|55|137
Hydrophob-Charged|0.6909090909090909|0.5636363636363636|0.8|0.7883211678832117|0.7153284671532847|0.8540145985401459|0.22237776222377761|2|55|137
Hydrophob-NegCharged|0.509090909090909|0.38181818181818183|0.6363636363636364|0.5912408759124088|0.5036496350364964|0.6715328467153284|0.39636036396360363|2|55|137
Hydrophob-PosCharged|0.6|0.45454545454545453|0.7272727272727273|0.6642335766423357|0.583941605839416|0.7372262773722628|0.5157484251574842|2|55|137
PosCharged-PosCharged|0.2|0.10909090909090909|0.32727272727272727|0.0948905109489051|0.051094890510948905|0.15328467153284672|0.09399060093990601|2|55|137
NegCharged-NegCharged|0.07272727272727272|0.01818181818181818|0.16363636363636364|0.058394160583941604|0.029197080291970802|0.10948905109489052|0.9391060893910609|2|55|137
FF-FY-SY-TY-HC|0.07272727272727272|0.01818181818181818|0.16363636363636364|0.24087591240875914|0.17518248175182483|0.32116788321167883|0.009999000099990002|2|55|137
FF|0.0|||0.06569343065693431|0.029197080291970802|0.11678832116788321|0.0861913808619138|2|55|137
FY|0.01818181818181818|0.0|0.09090909090909091|0.0948905109489051|0.051094890510948905|0.15328467153284672|0.10358964103589641|2|55|137
TY|0.0|||0.0364963503649635|0.014598540145985401|0.08029197080291971|0.3645635436456354|2|55|137
SY|0.0|||0.06569343065693431|0.029197080291970802|0.11678832116788321|0.08959104089591041|2|55|137
HC|0.0|||0.06569343065693431|0.029197080291970802|0.11678832116788321|0.09119088091190881|2|55|137
MR|0.09090909090909091|0.03636363636363636|0.2|0.0072992700729927005|0.0|0.043795620437956206|0.015398460153984602|2|55|137
Hydrophob-Hydrophob|0.7272727272727273|0.6|0.8363636363636363|0.8540145985401459|0.7883211678832117|0.9051094890510949|0.07279272072792721|3|55|137
StrHydrophob-StrHydrophob|0.6181818181818182|0.4909090909090909|0.7454545454545455|0.7299270072992701|0.6496350364963503|0.8029197080291971|0.18598140185981402|3|55|137
Aromatic-Aromatic|0.09090909090909091|0.03636363636363636|0.2|0.18248175182481752|0.12408759124087591|0.25547445255474455|0.1725827417258274|3|55|137
Hydrophil-Hydrophil|0.509090909090909|0.38181818181818183|0.6363636363636364|0.49635036496350365|0.41178570889556265|0.583941605839416|1.0|3|55|137
Hydrophob-Aromatic|0.5636363636363636|0.43636363636363634|0.6909090909090909|0.6788321167883211|0.5985401459854015|0.7518248175182481|0.18018198180181982|3|55|137
Hydrophob-Charged|0.6545454545454545|0.5272727272727272|0.7818181818181819|0.7299270072992701|0.6496350364963503|0.7956204379562044|0.38516148385161486|3|55|137
Hydrophob-NegCharged|0.41818181818181815|0.2909090909090909|0.5636363636363636|0.49635036496350365|0.41605839416058393|0.583941605839416|0.41315868413158685|3|55|137
Hydrophob-PosCharged|0.5636363636363636|0.43636363636363634|0.6909090909090909|0.5620437956204379|0.48175182481751827|0.6496350364963503|1.0|3|55|137
PosCharged-PosCharged|0.14545454545454545|0.07272727272727272|0.2545454545454545|0.06569343065693431|0.029197080291970802|0.11678832116788321|0.14778522147785222|3|55|137
NegCharged-NegCharged|0.03636363636363636|0.0|0.12727272727272726|0.014598540145985401|0.0|0.051094890510948905|0.6471352864713529|3|55|137
FF-FY-SY-TY-HC|0.01818181818181818|0.0|0.09090909090909091|0.17518248175182483|0.11678832116788321|0.24817518248175183|0.0035996400359964|3|55|137
FF|0.0|||0.014598540145985401|0.0|0.051094890510948905|1.0|3|55|137
FY|0.01818181818181818|0.0|0.09090909090909091|0.0364963503649635|0.014598540145985401|0.08029197080291971|0.8747125287471252|3|55|137
TY|0.0|||0.014598540145985401|0.0|0.051094890510948905|1.0|3|55|137
SY|0.0|||0.014598540145985401|0.0|0.051094890510948905|1.0|3|55|137
HC|0.0|||0.014598540145985401|0.0|0.051094890510948905|1.0|3|55|137
MR|0.05454545454545454|0.01818181818181818|0.14545454545454545|0.0072992700729927005|0.0|0.03761959066490233|0.146985301469853|3|55|137
Hydrophob-Hydrophob|0.7090909090909091|0.5818181818181818|0.8181818181818182|0.7956204379562044|0.7226277372262774|0.8613138686131386|0.273972602739726|4|55|137
StrHydrophob-StrHydrophob|0.6|0.4727272727272727|0.7272727272727273|0.6642335766423357|0.583941605839416|0.7445255474452555|0.49135086491350866|4|55|137
Aromatic-Aromatic|0.07272727272727272|0.01818181818181818|0.16363636363636364|0.15328467153284672|0.10218978102189781|0.21897810218978103|0.19818018198180182|4|55|137
Hydrophil-Hydrophil|0.38181818181818183|0.2545454545454545|0.509090909090909|0.40875912408759124|0.3284671532846715|0.49635036496350365|0.8609139086091391|4|55|137
Hydrophob-Aromatic|0.4909090909090909|0.36363636363636365|0.6181818181818182|0.6277372262773723|0.5474452554744526|0.708029197080292|0.1217878212178782|4|55|137
Hydrophob-Charged|0.6|0.4727272727272727|0.7272727272727273|0.6204379562043796|0.5401459854014599|0.7007299270072993|0.9241075892410759|4|55|137
Hydrophob-NegCharged|0.34545454545454546|0.21818181818181817|0.4727272727272727|0.4233576642335766|0.34306569343065696|0.5036496350364964|0.3999600039996|4|55|137
Hydrophob-PosCharged|0.5272727272727272|0.4|0.6545454545454545|0.5109489051094891|0.4306569343065693|0.5985401459854015|0.9573042695730427|4|55|137
PosCharged-PosCharged|0.05454545454545454|0.01818181818181818|0.14545454545454545|0.051094890510948905|0.021897810218978103|0.10218978102189781|1.0|4|55|137
NegCharged-NegCharged|0.0|||0.0|||1.0|4|55|137
FF-FY-SY-TY-HC|0.01818181818181818|0.0|0.1010064783757116|0.10948905109489052|0.06569343065693431|0.1678832116788321|0.062193780621937804|4|55|137
FF|0.0|||0.014598540145985401|0.0|0.051094890510948905|1.0|4|55|137
FY|0.0|||0.014598540145985401|0.0|0.051094890510948905|1.0|4|55|137
TY|0.0|||0.014598540145985401|0.0|0.051094890510948905|1.0|4|55|137
SY|0.0|||0.0|||1.0|4|55|137
HC|0.0|||0.0|||1.0|4|55|137
MR|0.03636363636363636|0.0|0.12727272727272726|0.0|||0.15778422157784222|4|55|137
Hydrophob-Hydrophob|0.6545454545454545|0.5272727272727272|0.7636363636363637|0.7737226277372263|0.7007299270072993|0.8394160583941606|0.12618738126187382|5|55|137
StrHydrophob-StrHydrophob|0.5272727272727272|0.38181818181818183|0.6545454545454545|0.5766423357664233|0.48905109489051096|0.656934306569343|0.6405359464053595|5|55|137
Aromatic-Aromatic|0.07272727272727272|0.01818181818181818|0.16363636363636364|0.1386861313868613|0.08759124087591241|0.20437956204379562|0.3087691230876912|5|55|137
Hydrophil-Hydrophil|0.32727272727272727|0.21818181818181817|0.45454545454545453|0.3357664233576642|0.26277372262773724|0.42255764326814543|1.0|5|55|137
Hydrophob-Aromatic|0.4727272727272727|0.34545454545454546|0.6|0.583941605839416|0.49635036496350365|0.6642335766423357|0.22077792220777923|5|55|137
Hydrophob-Charged|0.5454545454545454|0.41818181818181815|0.6727272727272727|0.583941605839416|0.49635036496350365|0.656934306569343|0.7513248675132487|5|55|137
Hydrophob-NegCharged|0.2727272727272727|0.16363636363636364|0.4|0.34306569343065696|0.26277372262773724|0.4233576642335766|0.4497550244975502|5|55|137
Hydrophob-PosCharged|0.4727272727272727|0.34545454545454546|0.6|0.4306569343065693|0.35036496350364965|0.5109489051094891|0.6951304869513049|5|55|137
PosCharged-PosCharged|0.03636363636363636|0.0|0.12208142386490096|0.014598540145985401|0.0|0.051094890510948905|0.636936306369363|5|55|137
NegCharged-NegCharged|0.0|||0.0|||1.0|5|55|137
FF-FY-SY-TY-HC|0.0|||0.08029197080291971|0.043795620437956206|0.13138686131386862|0.04459554044595541|5|55|137
FF|0.0|||0.0072992700729927005|0.0|0.0364963503649635|1.0|5|55|137
FY|0.0|||0.014598540145985401|0.0|0.051094890510948905|1.0|5|55|137
TY|0.0|||0.0072992700729927005|0.0|0.0364963503649635|1.0|5|55|137
SY|0.0|||0.0|||1.0|5|55|137
HC|0.0|||0.0|||1.0|5|55|137
MR|0.01818181818181818|0.0|0.09090909090909091|0.0|||0.5663433656634337|5|55|137
