buffer,essential,OR,OR_lb,OR_ub,pvalue
CD,essential,1.104066299558882,0.7430440123619398,1.640498239057044,0.6241338988347811
CD,nonessential,1.9933168300080863,1.228753203995312,3.234906419426039,0.005222169194676107
CG,essential,1.0409148604740348,0.7580544971105083,1.430465620479898,0.8049082240738077
CG,nonessential,1.4073380327677272,0.9801986733067554,2.019803036548759,0.06388235865455538
C,essential,1.4565927857669416,1.2201819658998725,1.7384605843650696,3.25287542284336e-05
C,nonessential,1.3183751086148017,1.0789625741572837,1.6112334440542406,0.006871674636795833
