,length,ENT-ID,Gn,#N-cross,Gc,#C-cross,loopsize,#Zip-NC,%BB-loop,#Loop-Cont.,#Cross-Cont.,EntCov,NprotDepth,NthreadDepth,NthreadSlip,CprotDepth,CthreadDepth,CthreadSlip,ACO,RCO,#-mapped,#-unmapped,#-missing
count,9.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,9.0,9.0,9.0
mean,109.55555555555556,1.0,-0.010183333333333334,0.0,-0.6131099999999999,1.0,59.333333333333336,1.3333333333333333,0.4981917874147029,92.66666666666667,34.333333333333336,0.44805915078178266,,,,0.1975632673874307,0.48333333333333334,24.333333333333332,59.5,0.49954680096483844,97.55555555555556,0.3333333333333333,12.0
std,34.81418931668204,0.0,0.017638050723743068,0.0,0.015053208960218452,0.0,10.214368964029708,0.5773502691896257,0.1275459375849407,4.932882862316247,1.1547005383792517,0.09360193466205316,,,,0.1176726724513178,0.17559422921421233,15.01110699893027,10.037429949942366,0.12636003435797596,29.601989422634716,0.5,21.581241854907237
min,55.0,1.0,-0.03055,0.0,-0.62982,1.0,52.0,1.0,0.4227642276422764,87.0,33.0,0.3727272727272727,,,,0.0818181818181818,0.3,9.0,52.5,0.4263565891472868,51.0,0.0,0.0
25%,100.0,1.0,-0.015275,0.0,-0.61936,1.0,53.5,1.0,0.4245604083947816,91.0,34.0,0.3956659619450317,,,,0.13780831571529245,0.4,17.0,53.75,0.4265929287199849,83.0,0.0,1.0
50%,110.0,1.0,0.0,0.0,-0.6089,1.0,55.0,1.0,0.4263565891472868,95.0,35.0,0.4186046511627907,,,,0.1937984496124031,0.5,25.0,55.0,0.4268292682926829,96.0,0.0,4.0
75%,129.0,1.0,0.0,0.0,-0.6047549999999999,1.0,63.0,1.5,0.5359055673009161,95.5,35.0,0.4857250898090376,,,,0.2554358101720552,0.575,32.0,63.0,0.5361419068736142,123.0,1.0,5.0
max,161.0,1.0,0.0,0.0,-0.60061,1.0,71.0,2.0,0.6454545454545455,96.0,35.0,0.5528455284552846,,,,0.3170731707317073,0.65,39.0,71.0,0.6454545454545455,134.0,1.0,65.0
