,length,ENT-ID,Gn,#N-cross,Gc,#C-cross,loopsize,#Zip-NC,%BB-loop,#Loop-Cont.,#Cross-Cont.,EntCov,NprotDepth,NthreadDepth,NthreadSlip,CprotDepth,CthreadDepth,CthreadSlip,ACO,RCO,#-mapped,#-unmapped,#-missing
count,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,24.0,24.0,24.0,18.0,18.0,18.0,40.0,40.0,40.0,40.0,40.0
mean,394.675,2.825,0.2951315,0.6,0.04297375,0.575,104.6,13.15,0.28311259817125034,158.95,38.725,0.18859495869097065,0.3661909277610646,0.7109604374215271,150.25,0.34215976730597375,0.7488852766045475,137.27777777777777,123.23656875070847,0.3300340388875903,387.975,0.625,6.7
std,127.28030594735104,1.5994790818680102,0.5321171465659486,0.49613893835683387,0.6487016516154818,0.7807787039970957,91.5167912293863,14.177537307394546,0.22860581888993556,102.27011744921839,13.861933672046089,0.06942458171621638,0.29325226228631124,0.2756521405592631,148.85161855964512,0.23501051175470633,0.26161527668735257,113.25650510108643,88.0788225040976,0.2245760911428174,126.54004889503943,1.1477402547212903,9.829834231849533
min,207.0,1.0,-0.86515,0.0,-1.78504,0.0,13.0,1.0,0.0258481421647819,39.0,23.0,0.0791599353796446,0.0171232876712328,0.0918367346938775,5.0,0.011308562197092,0.0255474452554744,6.0,13.0,0.0354223433242506,205.0,0.0,0.0
25%,292.0,1.75,-0.0057525,0.0,-0.06342249999999999,0.0,35.0,2.0,0.08565459610027853,80.0,32.0,0.14714919916434535,0.0844686648501362,0.602108768035516,30.75,0.1474634353676956,0.6413621402650013,57.25,57.38571428571429,0.16573966188381511,292.0,0.0,0.0
50%,367.0,2.5,0.6115550000000001,1.0,0.05049000000000001,0.0,69.5,6.5,0.17498033928772044,124.0,35.0,0.16844799301551083,0.31426789897553636,0.8326113483831604,95.5,0.3421673126614987,0.8671357734529508,126.5,91.0625,0.2536866303395932,367.0,0.0,1.0
75%,480.0,4.0,0.706235,1.0,0.4166425,1.0,167.25,19.0,0.46587743732590525,214.5,38.25,0.2253342169253086,0.6110906697175447,0.9082276119402986,253.25,0.511673033775999,0.9093588798820929,165.25,178.38020833333334,0.49403425190824246,479.0,1.0,16.0
max,619.0,7.0,1.0477,1.0,1.04454,3.0,347.0,48.0,0.7294520547945206,420.0,83.0,0.3891213389121339,0.8562197092084006,0.979539641943734,530.0,0.7729166666666667,0.9814814814814816,430.0,347.0,0.7493188010899182,603.0,3.0,34.0
